诶你好我问一下那个保金视频定向流量那个是怎么使用啊 对对 
你好诶我我这个号码原来在八月八月八号的时候嗯嗯有办理那个什么兑换积分十五元兑换那个电子欠十五元的那个我不知道这个电子券怎么使用啊 我不知道他他们说呃只是电话口头跟我 
关掉啦这样呢好请问一下那个打国际那个美国那边电话线打什么比较加什么前面加什么比较优惠移动 呃是在本地的流量包 
诶你好我想问一下就是呃打那个国际业务打那个国佳苑呢前面是叫什么代码 移动的号码 
诶你好我要打美国电话前面那个这个电话号码前面要加叫什么来的我 噢那就是零零幺幺七九五幺 
诶您好我办一个那个安装机的新卡吗那能跟你那个和包支付进去不知道怎么弄 他叫我用本地的那个然后问我们本地的幺零零八六 
哎你好我想问一下哦就是我们国际漫游的话出国然后在国外拨打我们国内的手机的话前面是要加什么呢 噢的呗阿联酋的吧那边 
哎你好我想跟你请问一下噢就是那个我手机如果开通了那个国际漫游的话那在国外那边拨打国内的电话或者当地的电话前面还要在加拨什么东西呢 呃九八 
喂你好我想问一下那个我之前有用这个手机收到了两个号因为不用付记得了这边从哪里能查到呀 不是就是一个号申请多个那叫多少多少通是吧 
唉你好我是幺三六五幺七四七五零一个用户我收到短信就是呃赠送每三个月每个月两百分钟的高清通话怎样使用啊 哎去的显示在哪里啊 
哎你好我想咨询一下就是我上个月月底的时候呃我买的那个六十块别的什么半年流量包啊 然后这个流量是怎么使用了因为我现在在那个和教授 
您好很高兴服务噢你好我想查一下我那个每个月话费的账单怎么查的 可以好的 
不好意讲不是现在就是如果说我想把那个查一下我的这个电话修厂嗯怎么查呀 那如果说我他别人的号码能查得到吗 
哎你好我想问一下就是我之前那个办宽带的时候然后送了一个那个不换吗我想一下那个固话的那个插口插在哪打固话 对对对 
你好我想那个呃不是把我的套餐下个月五十块改成五十块钱七g呀具体地址 噢就是他不是不是全国流全球通有其他对你我想问一下那个咪咕流量我该怎么下载是在专属的 
哎你好我想问一下用我的手机号码拨打美国的电话号码应该是怎么个就是拨打顺序我现在好像打不通了 七二零二幺等会儿等会儿我记一下幺七九五幺再加零零幺 
唉你好嗯那个我是这边就是上次他开学的时候办的那个移动手机号然后当时送了一个宽带然后我现在就是想用这个宽带日登上怎么拨号那个应该怎么用 呃就是我我现在打过来的这个要我报一下号码呃幺五二 
喂 喂你好我想问一下就是我那个电子发票在那个那个中国官网里面在哪个地方稍等 
唉你好那个我那个要带掌上营业厅查我当月那个话费记录怎么查确定 对对对对他记录 
唉你好 呃那个集团账号的话在网上怎么查 
喂你好您好请说你们那个我如何收到你们那个那个电子账单啊 我的对电子发票我要报销的发票凭证 
喂你好 噢是这样我想请教你一下哦 
呃我问一下就是说这个腾讯视频这个流量的话我下载怎么会用的那个通用流量里面去了 对啊 
呃你好我咨询一下就是呃什么情况下是对方包它那个把我的手机拉黑了什么提示能够证明退款他手机拉黑了 呃不是我现在打电话它会提示他会提示老是在通话中那我稍后再拨就一直这样 
哦谢谢 我这个手机对不对但是这个月开始的唉我已经 
哎你好我想问一下现在那个呃你们移动的那个发票我从哪里下载 能力 
喂你好我我已经开通了那个香港漫游包吧然后是这样我说我去香港的话我今天上海这边打电话打给我手机要加还是支付还是在直拨就可以了那我那我在香港打的打到上海来呢 呃如果从香港那边打过来加加零零八六是吧 
您好很高兴为您服务唉你好 就是我是问刚那个副号码问的就是幺三九幺七七八三六七三的这个号他那个手机上和教授里面付款就是那个绑定的银行卡然后这边点击确认付款他老是说那个就是密码不对吗那我想重置一下那个输入和包支付密码 
我想问一下就是说我当时装的那个 宽带那个密码我搞忘记了我现在就是说登陆那个wifi密码现在不知道怎么那我 
你好就是我打那个国外的长途就是他说完成正常然后他说要看还是跟什么什么时候我忘了 打到国外的电话 
唉你好我是想问一下我这个号码它的一个流量的情况因为我办这张卡的时候它上面显示是每个月是八块钱的什么基础套餐然后的话好像是每天有一个一块钱五佰兆的那个流量我不知道这个是怎么使用呀 呃就是说我现在里面是每个月好像是有五十兆的流量用完之后就就开始使用都是每天是一块钱五百兆这个是吗 
我想问一下我我我想打一个美国的手机号码但是怎么打我不知道他他给我他就给我一个电话号码 我不知道呀 
唉你好那个我想问一下我这个流量里面有一个三g什么定向视频套餐是该怎么用的 噢就下载一个咪咕视频 
唉你好呃我想问一下我的积分已经八五天了我如何去换这个话费 对对对 
喂你好我想问一下 在那个省呃上海市以外可以用吗 
喂你好 哎我想问一下就是那个中国移动那个广那个账单啊主要想把它搞出来什么东西 
唉你好小姐我想咨询一下如果说那个报菲律宾的话 呃七天有吧 
唉你好我就是呃我想问一下这个中国移动的话费可以充出去吗 是的 
喂小姐你好我想问一下上海本地的手机要拨打的香港的那个长途啊肯定是三个幺七九五幺打一次电话对吧 就是本地的手机啊拨香港长途 
唉你好我问一下就是你们那个幺三九邮箱里那个话费的账单那个我怎么下载啊 我账单看到了不是账单没复件的如果不是账单先生 
哎你好我想问一下就是呃比如说我想开通一下就是呃我的手机号对跟我家人的手机号共共享我的流量的话需要操作呢 两个人都要开吗 
唉你好那个我有一个号码就是幺呃他那个我因为我看流量快不够了嘛它里面是那个全国流量和本地流量呃但是我已经购买流量加油包以后我发现那个流量加油包的流量只能先用了 送的东西其实就是最后用呢在都营业厅能不能调呀因为我这个号码为什么就这个 
咨询一个问题啊 手机来批噢上海移动手机就是营业厅的那个pp上面吗对吧应该查询里面看到我好像里面就是流量里面我看到有一个什么赠送的什么wifi呃就是在唉对对对那个五g的什么cmcc 
服务你好我刚刚打过电话就是咨询一下那个电话打不进来嗯 多 
哎你好我想问一下这个是我的套餐里面的cmcc的地方cmcc五八怎样登陆啊 对 
我那个手机的流量的变更基本共享怎么手机啊 连接笔记本电脑怎么连接 
那那个小姐我想问一下就是我这个月开始就是那个新签了一个合约吗然后我想问一下那个我这个两g的本地流量是怎么使用的 那个通用流量然后一个本地流量那本地流量怎么用的 
为您服务不好意思我问一下就是我不是有一个就是四十八元的那个预付费套餐吗 我问一下我这个绑在那个主号码后面一起付费的那么付费怎么付啊是我上个月的权限 
唉你好麻烦你帮我问一下转接一下客服经理可以吧 嗯对 
喂你好 我想问一下现在我这个电话是怎么打电话呢 
唉我问一下我这个号码怎么发彩信发 人家对方收不到 
身份证号码 我想请问我那个嗯嗯我用积分换的那个时候包可不券是怎么使用的 
哎麻烦你我刚才看到手机微信上它有送了是上个月的五佰什么嗯流量啊叫我赶紧收怎么收到什么我弄不来我不会操作嗯 噢那我没有了我就要到营业所去吃饭 
嗯 好好幺兑换wifi办嗯是本机号码吗然后知道吧不可以 
唉你好就是我问一下我前两天不小心把那个短信删掉了怎么恢复啊 就是我那个快递过来然后发送我的验证码我丢了 
唉你好我问一下那个对账单港就集团付费的再往上是怎么缴费集团付费的对然后我看了一下嗯我看了一下幺零零八六上面好像没有这个界面吗 嗯我们没有银行转账你之前是一直是有个去那个营业厅缴的但是我不知道今因为网上的话网上它因为针对这种充值缴费的现在个人身份证号的嗯嗯公司的 
唉你好先生那个昨天我在你们那个移动营业厅里面办了一个那个就是装宽带的 然后你们不是给我发一个短信就是账户密码吗我昨天今天他过来装的时候要那个身份证密码我现在等等发短信怎么弄 
啊 宽带还需要把宽带 
喂你好那个到英国的流量怎么用啊 一天哪个发短信到我手机对吧 
您好我想问一下我的中国拿手机打美国的号码前面加 好谢谢 
喂我想问你们一下你们这个在网上怎么怎么下载你们的电子发票 噢对的那你要帮我催一下我好像没收到过 
呼叫等待吗噢对对您这边首先得话卡上面先开通好了这个功能开通好之后激活的才能用您现在卡上已经有开通了只要激活就可以用了激活方式稍后会发短信给您通过短信的提示在手机的拨号键里操作 谢谢给到您的 
唉你好唉我想问一下就是说呃我这个月十九号要去台湾那我想问一下我的那个网络的话还有就是说在台湾直接用这个现在的手机号码就可以直接用吗还是要另外开通 呃我我我想问一下因为我不用还是用户好像是你们这边有什么套餐啊 
你好你好我刚才就是开了一个十块钱的那个加油包吗对吧 然后他发了一个微信给我那个微信的话怎么开啊不是发了一个短信啊短信给我 
你好我问一下就是我有一个优酷的就是三三g还是三十g的那个免流量它是怎么用呢 啊 
你刚说你好我刚才手机你们看发个信息链接的话可以申请一个副号是吧我这个申请成功了我这个副号怎么用啊 是app是吧 
唉你好麻烦我想咨询一下我上个月有更改过我这个自自己的一个自选套餐嘛然后里面好像有一个什么赠送二十元话费的然后我前面收到一条短信是说返回话费可抵扣是本月的一个什么四g自选套餐基本费用吗那这个的话是需要我呃上网去自己办理吗还是它自动会抵扣掉我这个话费 噢那我就不用去管他我以为需要那个噢好的好的那我明白了谢谢啊 
唉喂你好我想问一下手机的套餐就是流量我只有一个g的是我那个叫什么这个歪wifi吗它有五个g 如果说我不连接的话我就就用不了对吧 
唉我问一下那个我办理的app就是那个定向流量的话是即时用吗我帮您看 下载一个咪咕什么东西 
呃我问一下我这个优惠专属流量包看那个三十g又流量包怎么用啊 喂点进去它什么有个那个选择我好像还是要还是得用这个流量呀 
唉你好先生我请教一下因为我过两天去一下泰国那么像我这个手机拉到泰国的话那个不是要那个数据流量嘛它是怎么个使用方法嗯 一个随心随地上流量就可以了 
唉我这个手机啊那个什么什么流量啊我弄不来他可以蒋耀华务员帮忙能够帮我忙吗 嗯他短信发给我的呀 
你好我想问一下我那个早晚早晚工帮然后推荐买上不了 七幺幺零四二八 
你好我想问一下我在国外的话要拨打你们客服热线是怎么怎么拨法然后是怎么收费的 零零八六二幺幺零零八六是吧 
我问一下我这个手机号码那个到香港的话那个四g怎么用啊 对对对 
哎你好我想请问一下我刚刚那个手机上面的钱一分按照你们那个发送的信息提示兑换的是二十五元的那个要怎么使用啊 然后 
唉喂你好那是这样的就是我今天下午的飞机我要去办理老的然后我不因为我出了一个那个wifi的地方方面我不知道我这个移动还要网络要不要关 噢就是我自己关还是你们这边关 
