这种卡 您好请说 
喂再见 您好很高兴为您服务您好 
高兴为您服务 哎你好我想问一下就是果住在浦东新区浦山路这边我想去把我的宽带就是开机我想问一下最近的营业厅办呢 
可以您您好很高兴服务你好你帮我查一下你还四g信号收进去路这边的最近的那个语音营业厅网点在哪里 看一路的吧 
为您服务 哎我想问一下那个宽带转接的话是要多少时间你们这个 
您好很高兴为您服务 我你好问一下我这个安徽了然后幺零零八六还是上海的我在上海的还是安徽了 
您好很高兴为您服务 哎你好我想问一下就是你们这边能不能帮我查一下上海市杨浦区平凉路迎宾路最近的移动营业厅的那个 
您好很高兴为您服务您好 喂你们这个四川北路一千五百号营业厅是不是没啦 
您好很高兴服务 唉我这个高速跟你们那个家里路哪里有这个移动营业厅啊 
您好很高兴为您服务您好 喂你们这个四川北路一千五百号营业厅是不是没啦 
您好很高兴为您服务 唉你好我想问一下我现在再续交费就是徐家汇的交通大学这里附近我想问问这附近有没有什么营业厅吧中国移动营业厅 
高兴为您服务唉你好 呃我在营业呃移动营业厅办那个业务嘛然后他有推荐了一个就是那个就充充话费然后送手机的一个活动吗他不是也能送手机优惠活动啊然后他这个手机没有我想查一下附近有什么营业厅有这个手机吗爱疯七的 
您好很高兴为您服务 你好帮我查一下 
您好请讲 唉你好我现在在西藏南路一千五百五十八那我这边然后我想问一下这边最近的营业厅在哪 
您好很高兴为您服务您好 喂你们这个四川北路一千五百号营业厅是不是没啦 
您好很高兴服务 唉你好呃我想你帮我查一下我在那个上海徐汇区因为我知道他那个年初的时候广元西路有一张那个就是你们移动营业厅的时候见就您能不能帮我确认一下那个十几遍现在还算吗 
编号预处理专席代表很高兴为您服务 唉领导你好你工号多少啊 
您好很高兴为您服务 哎你好我想请问一下就是我是青海的卡 
您好很高兴为您服务唉你好 是这样的 
您好兴服务 哎是我我请问你我得朝阳路那边移动公司这个知道网上有没有啊 
您好很高兴为您服务 哎你好我想问一下就是上海杨浦这边有没有呃移动营业厅在哪里 
您好很高兴服务 哎你好我想咨询一下你们那个移动营业厅啊每天下午几点钟下班呀 
您好很高兴服务 我问一下那个麻烦你们登录到营业厅上班吗 
您好很高兴服务哎您好请讲 哎我想问一下那个长寿路那个和陕西北路交叉口 
您好高兴为您服务 哎你好我想咨询一下刚才有一个电话显示是幺零零八五它显示这个中国移动经理是是是不是你们的 
您好很高兴为您服务 喂你好我就是想问一下这个就是移动嗯移动营业厅是几点下班因为我要退一下宽带 
喂您好您好很高兴为您服务唉您好听得见吗 嗯可以您请说 
您好很高兴为您服务 哎你好我想问一下就是说杨浦区大连路附近营业厅吗 
为您服务 哎你好移动是吧就是我想问一下啊呃我呢以前是铁通的用户我拥有一个铁通的那个幺四七开头的号和它对应的移动固话然后我那个sim卡掉了我现在想要去补办信用卡我要到移动的哪个营业厅去补办 
您好很高兴为您服务 唉喂你好我是因为家我是那个中文走动长途了青岛有限公司的 
您好您好您好请讲 啊我那个我那个在那个积分商城上那个呃不是呃积分加现金楼对话费吗 
高兴服务喂你好您好请讲我觉得直接到过你们电话我不知道什么时间 您好 
您好很高兴为您服务 啊你好就是我问一下现在苹果手机有什么活动呀 
您好很高兴为您服务 唉你好麻烦帮我看一下呃杨浦的营业厅那个控江地区的除了工江路中江路这边一个还有那边有啊 
您好很高兴服务 哎你好我想问一下啊那个是中行百联那个咱们移动营业厅在哪儿在几楼 
诶诶直接 您好很高兴为您服务 
为您服务您好 呃你好你我想咨询一下就是在那个这个只要定安红路这里附近有有那个最近的营业厅在哪里 
您好很高兴为您服务 唉你好就是那个行查得到那个办就是补卡的那个支付宝什么时候我手机卡的记录查不到的 
泰国 噢 
很高兴为您 你好我想问一下我那个是集团客户吗然后我现在每月这都是那个付费通知单给我我那个想把他改成电子发票我是哪个网点办可以弄这个东西 
您好很高兴为您服务 哎你好我想问一下就是你这边是那个集团的客服是吧 
您好很高兴为您服务 就是请问一下在上海这边哪里有那个补办外省的手机卡 
您好很高兴为您服务 噢您好我是好像是这边的学生就想问一下您知道的话是附近的移动营业厅是在哪个地方吗 
您好很高兴为您服务 唉你好 
很高兴为您服务 唉你好你刚才那个那个那个那个短信没有发给我 
您好很高兴为您服务喂你好你好我想问一下这个彩铃中心他那个电话服务电话是多少对幺二五三零 噢好的好的 
您好很高兴为您服务 哎你好我想确认一下那个幺零零八五是你们移动的客户的 
您好很高兴为您服务您好 唉你好呃我想查询一下就是说我在国权路那个 
