您要办理的那个地址哪里报一下 十七号省军区第六感觉吗稍等一下七 
呃我我想问一下我如果要改这个套餐的话我现在套餐是一百兆流量的是吗 里面有如果说我想改那个现在不是有那个三十八元的套餐吗 
喂你好我想请问一下我那个手机短信里面收到什么统付流量还剩余七十兆是什么意思啊 我没有买啊没有买哪一个就是自己本来每个月三十兆我都用不完我还去买流量干嘛 
嗯您好 喂诶您好很高兴为您服务块请问一下我现在改这个套餐那个有什么什么具体是什么什么什么什么东西 
喂你好 现在这种那个移动移动卡是有什么套餐是那个就说一个什么幺三八的套餐是那个流量无限用的是吧 
啊你好呃请问一下那个现在那个上网套餐有没有什么比较优惠的 六十块钱 
诶你好我想问一下 南平地区五十八套餐到底有多少分钟话费啊 
哎你好我收到一条是十七号他说我什么呃升级什么三星客户这什么意思啊有有什么优惠活动吗诶姓名 噢这个关系啊 
喂你好我想问一下我的套餐里面有一个微信烟什么时候选包二十五打电话大概是什么东西 呃对 
诶请问一下那个流量国内流量跟跟那个什么省内流量是什么意思 那我们的流量就一般跟这我们在当地用的那个流量是叫什么流量嘞 
诶嗯嗯喂您好 我我我想换一个那个手机那个套 
哎你好诶可以帮我把下个月呃在高一千与那个五十几块那个套餐嘛就是两g的全国流量的 对对对 
喂你好 诶可以给我加一个叫什么流量流量加三十元的多少 
诶你好额我刚才到密码他说他说我这个号码可以变更成三十八元套餐然后送三百分钟的那种送送一百兆国内流量然后一千四百兆省内流量这个是真的还是假的 嗯嗯有这种套餐是吧 
喂 我问一下那个现在有什么省内省内流量 
嗯 诶我问一下我这手机号有没有积分呐 
噢你好我想问一下我本机的这个号码的 诶你噢每个月是十八元啊 
哎你好我的流量用完了现在怎么办呢要加加什么流量包还是什么 好的 
喂你好 哎你好我问一下我这个流量套餐是多少是多少的 
喂你好诶帮我查一下三零四g流量什么套餐是不是啊 噢能不能下个月帮我停掉 
你好帮我查一下我那个多少流量的那个套餐就是另外的套餐就是多买的套餐是买的什么套餐 帮我退掉吧我他们刚刚不是你们移动打电话给我就换一个套餐那个有一个月g的流量这个就够了 
喂你好 要想到一个信息他请问那个国内流量是什么意思 
诶问一下我这个手机号有没有语音套餐可以订 他不是你们语音什么阅阅的套餐 
卡哼 那我想问下呃现在什么套餐适合流量无限使用 
哎你好请帮我查一下我那个三五分钟 好的谢 
喂你好呃我想问一下最近有没有什么比较优惠的那个流量套餐 长期用因为我现在一个月只剩下三百兆了有点不够用 
对诶我这个手机号是那个每个月是赠送给几分钟那你帮我查一下 只有一百分钟是啊 
噢现在是不是有那个多少话费七十元的套餐呢 三g的这换怎么过去的 
我想问一下现在是不是有个套餐是三十八的然后有通话分钟还有流量一g什么的 那能不能帮我这套餐改为这个这个三十八的套餐 
诶你好我办你现在现在因为我以前是老套餐我想问一下就是说现在我这种消费的有没有什么新套餐呐 短信套餐我这边转不了吗 
呃就是现在有没有那个五十元套餐呢 呃话话费通话的呢 
喂然后能开呃流量包啊哎 对 
诶你好我问一下就是说家庭网就是说一个月三块钱它是几个人你能能联系几个号码呀 呃 
喂麻烦你问一下现在那个全球通八十八套餐是什么什么样的 一百分钟吗 
嗯 诶你好现在有什么那个流量包吗 
诶你们有个新秋的一个什么飞享套餐是什么 那我昨天问你们你们居然跟我说没有就有什么五十八块钱是五五百兆跟一百分钟的 
诶你帮我查一下我这个套餐就是有多少流量 就原价了 
刚才给我发的这个哎你好美女 诶我问一下你们那个上移动的有那个呃幺八八套餐那个一千两百二十 
喂你好请问下现在有什么流量包呃不要那个了 十块钱一个g是吧 
嗯 呃我想请问一下那个视频定向流量是说就说只能看视频嘛 
喂你好 收到你们公司发一条短信来什么彩信业务每月扣三块什么东西呢 
啊 喂 
噢你好就是我想问一下咱们移动有没有那种无限流量卡那个业务 话费 
呃喂 哎你好那个我想问一下我那个套餐 
嗯 呃就是我想问一下我那个流量快用完了呃然后它不是有发那个微信给我们然后是那个营业厅的然后直接取消有一个呃是就是自动续订的套餐是讲且十元一次这种的是你这边有吗 
哎你好我想问一下就是嗯那个他们不是有一种八十八十八元八十八元每个月然后流量是无限的然后通话是一百二十块一千两百分钟来是的 啊我知道是这个但是怎么你们本金都在做广告说 
诶你好你好我想问一下那个不是有那个一天一g的那个流量套餐呢 啊那那这个那个套餐是多少 
诶我想问一下它现在那个呃有没有什么套餐就是说流量比较多的 什么 
嗯这边有没有十块嗯要优惠的流量套餐 嗯六十元六g比较那个有限时间吗 
嗯 诶我想问一下你这个一百五十八套餐了它到时多少流量多少分钟啊 
喂请问一下我这个套餐的话一个月流量收通话费是多少 噢 
那我想问一下那个流量那个国内流量跟省内流量什么区别 噢是这样子 
呃现在那个短信有什么套餐的呀 没有之前那种六块钱还是几块钱的吗 
你好请问一下我这里面应该是什么流量那个ip是怎么弄啊 噢一直都是这样子吗 
啊我想问一下现在有什么套餐吗那个流量套餐 噢三十块一个g的就就是买一个月一个月买吗 
呃现在还有八元的那个套餐嘛 有是吗 
诶你好我想问一下我的店铺里看到幺三九的那什么和家庭套餐是怎么样啊嗯 不是我五个g吗五五个g一千两百分钟 
我问一下 我想问一下呃你可不可以帮我查一下我宽带的这个就是业务区在哪里就是我这个宽带只能在每次吗还是什么那个业务不是安装地址是他人在哪一边用 
诶你好 嗯我没流量了应该还可以加油包是怎么样的加油包 
我现在想问一下有没有便宜的流量啊呃本地的只要中国的就要那 没有本地便宜的流量啊 
嗯有那个无限流量那套餐吗 那套餐说 
哎你好 哎问一下现在不是那个这个外面打电话那个到别的地方那个不是那个提醒那个漫游漫游费什么的这个对呀 
呃您好那个有什么就是适合就是国内流量包推荐给我吗 噢 
哎你好我想问一下就是我现在这个手机套餐嘛好像恩刚才好像流量太少了你帮我看看有没有其他更适合我的套餐 我我然后有没有有没有充的月租的我不要那么高月租的那么高月租流量这样说了但是不就是我自己买什么区别 
哎你好我想问一下就是现在那个因为我流量包已经用完了那我想问一下现在有比较什么呃比较好的比较优惠的那个流量包吗 对我这个刚好失效今天给我发了一个信息那不然再帮我开通一下 
小时我看 喂你好 
哎你好帮我查一下我的套餐是现在是用的哪个档次了好吧 那为什么每个月都要百来块钱话费嘞 
你好我想我想问一下我这个手机 目前 
诶我想问一下那个发那个短短信那个什么三星客户怎么延长一年什么意思啊 讲什麽 
诶你好帮我查一下噢就是呃我这个流量的话有国内的吗还是只有省内的 对 
你好哎你好你帮我看下这个有什么是包套这个套餐不够用了嘛有什么便宜的套餐呐 不知道搞装宽带的我这个我那个流量用完了吗流量用完了我我是说再加流量有什么便宜的吗 
诶你请问一下我这个套餐我手机卡这个套餐的话是每天有五百兆还是他就一共只有五百兆呀 每天五百兆省省内流量嘛 
啊那个嗯我想了解一下就是我现在目前的这个套餐卡里面那个流量这块是多少 那我现在要改套餐就是那个流量三倍增加一点的 
呃喂你好请问一下我想知道一下我这手机号码的流量套餐里面的流量是有一哪部分出厂 没有省内流量是十 
诶我问一下我那个就是那个学小孩子的学校要开通那个什么 对对对对对对 
你帮我查一下这个流量是多少啊 嗯嗯 
喂你好我这个号码要在ok那个港澳那个那个流量的时候 那港澳那个流量吧有没有那个三天好像有多少 
哎你好我我我下个月不是开那个五十八套餐嘛我想问一下感觉那个套餐可能还是不够用 呃八十八的是呃多少分钟多少流量 
诶那个八十八元的套餐现在流量多的是哪一种的 国内流量是省内流量多是吧 
诶你好我想跟你咨询一下噢现在有没有出一个什么二零一七版的金飞享套餐 要低于五十八的呢 
诶你好那个就我这张卡呢带一个g的流量吗 就可以登记了 
哎 诶你好我刚才就还有一个什么电话他说什么那个流量是没有封顶的是那个那个那个套餐 
噢 哎你好我想我想问一下有就是我现在这个手机话费的使用情况有没有适合我的套餐 
诶我手机流量用完了怎么办啊 嗯嗯 
诶你好我想问一下就是那个通话分钟数的话有没有什么呃加油包之类的呀 噢那就是超了只能用印刷是吧 
诶你好诶我问一下就是现在就是说因为很多东西都取消省内就是省内省外的那个那个那个那个就是漫游费了嘛然后我就说就是我那个原来办的时候全球通八十八的套餐现在有没有什么更好的套餐订一个业务下就比较低了然后这张卡我不是作为主卡就是平常办的全国打电话用 都不在我在湖北 
喂你好我问一下你现在不是有一款那个三十八套餐升级了吗 不是不是我想问一下就是如果我在别的地方就是外地打的话会不会收取费用怎么算 
诶你好我想问一下我这个我现在在福建了有省内流量是吗 呃我现在在福建了好像我和这个被限速了是不是啊 
你好我想问一下是三十八我这个三十八套餐里面的一点一点五g的这个流量怎么我们才五百的 也就说您走一百二十八的 
您好很高兴为您服务我想问一下这个月有没有什么优惠的什么流量之类的 先开这个月 
哎你好就是你们现在有一个套餐是新飞享三十八套餐二零一七版就在做吗 那这个套餐它里面通包括些什么东西 
你好 好像现在有没有那个什么两城一家的要不要办理 
嗯请问一下我现在这个流量套餐是什么样的 谢谢你 
诶我问一下如果我在外地的话流量的话有没有什么套餐 那请问 
诶我想问一下我们现在那个我们现在套餐都有什么套餐使用 嗯对然后就是这流量比较多的那种 
你好我想请问一下就是现在有什么那个流量包啊 六十块对 
你好我想问一下我刚才收到取消了什么幺零零八六挂来说我十一月一号就自动转移十八一个月套餐是什么意思啊 噢那那种嗯那种不用了那给它取消吧 
诶你好小姐我想咨询一下我想买一个流量包就是这个月用完了之自动取消的那种噢有什么样的优惠的套餐 二都有多少钱的你先跟我说 
你好我想问一下那个移动的套餐现在流量的有有多少套餐啊 呃我之前办过六十元的三g还是几g的噢 
噢喂您好诶我想咨询一下就是有没有什么新出的那个套餐 噢对就是呃有那种就是流量呢比较多的套餐 
幺五幺换帮我办的套餐 就是很小的 
哎我请问一下本机是那种是主卡好像是一元无百个g然后升级到一元一个g嘛 对对 
哎你好问一下有没有什么流量套餐啊 怎么会这么贵嗯嗯 
噢喂那个我想请问一下我那个流量用的很快就说有没有开什么流量更划算的 一个月三十八吗 
不客气诶你好还有什么有没有什么那个套餐就是说流量比较多的 哎没有那种流量比较多的然后下个月的话费还有一个五十多块钱以内的 
诶问一下你这个幺八八套餐啊里面的流量里面的流量现在是多少 诶那怎么我这个还是显示四十g啊您就是我的客户端里面它显显示那个流量的那个剩余是吗 
诶你好那个现在那个流量套餐有什么套餐呀 就幺六六是不是六十块什么东西啊六十块钱六个g六个g啊 
好的好喂你好 嗯我想问一下我这个是幺三八的套餐啊如果我改成那个幺八八的套餐里面是有多少兆流量了 
噢你好那个我这个手机上那个套餐你给我介绍一下吧这个现在呃流量是欠费了就这个有用流量的那种 什么两百啊 
喂你好我想办理一下我我要嗯出国那这个要办那个什么套餐呢 噢泰国 
呃请问一下你这个流量流量包有多少的 一百八十天 
啊没事儿转那个另外加套餐那个流量是什么大的 噢那个是套餐网流量套餐呢 
呃您好我想问一下你们那个有一个什么流量包什么一元五百兆两元那个白天晚上那个什么 幺零零八六mp的 
我那个港澳去那个那个套餐一下我那个手机坏了吗 港澳的那个流量套餐有九块钱的那种套餐吗流量套餐 
诶你好帮我看一下就是无限流量卡我就只要流量呢办公用的卡有没有 也就是本地 
喂呃呃那个那个一号东西的跟那个流量开流量的话都多少多少的呀 啊没错没错 
喂你好呃我想问一下我呃我这个手机的您明天要去香港然后嗯不是已经开通了香港的那个通话那有没有什么怎么样可以更优惠的 呃打电话跟流量呢 
哎 啊喂你好我刚才查了一下话费我发现有一个是叫什么来电提醒按次收费这是什么晚上没有这这个业务吧 
喂您好我想问问那个呃叫什么那个套餐嗯有有那个什么一个星期嗯那个流量无线的那个流那个套餐嘛 然后我要去泰国 
喂 啊现在有什么套餐便宜的 
喂 嗯流量呢补充包十块钱几兆 
你好我想问一下那个宽带包月套餐费是什么意思 嗯嗯 
呃我想问一下现在有没有什么那个新飞享套餐嗯可以介绍一下吗 改五十八的那个内容是什么 
那个不是 你好现在不是有那个八十八套餐那个无限流量的吗 
您好请说 哎 
嗯您好是这样的一个情况就是我们需要为公司的这个工作手机办理一些就是符合我们公司业务员需要的套餐你们现在的话有哪一些套餐呢 对就是全国自动打电话还有流量 
诶你好我想问一下那个全球通的这个套餐有有一g送就行了 有多少钱是多少钱的你接收一下 
噢你好问一下现在去有一款新的流量任我用套餐幺三八的 这种流量现在九年办理的话就是可以就是点五十块钱说明 
啊你好我想问一下就是我这手机现在里面的套餐到底有哪些内容我之前流量很多嘛然后现在流量好像只剩下五百然后有又好像用完了 对然后我之前那个流量是那个套餐都是已经成不成下午是吗 
诶请问一下那个你这个有没什么流流流量包啊 呃就这个月嘛下个月就不要等一下 
我想咨询一下现在那个前段时间不是说送我那个移动宽带那个人现在人还有还有送吗 
那个我想问一下就是我上次办那个六十块钱是几g的那个流量是不是用完了去 噢那可以再帮我开通一次吗 
喂诶你好我想问一下那个加油包呢流量加油包现是有多少多少兆 只有十块一百兆吗 
呃我想我问一下现在来办宽带有优惠是吗好像常见人优惠是吗 女士 
嗯请帮我查询一下我我这个手机号码下个月办理的八十八元的套餐是g流量还是三十元流量 五个g是吧 
哎你好你帮我查一下本机用的是什么流量是什么套餐 现在是包括什么 
呃你好我想问一下那个现在不是有那一款八十八赠送五g一千两百分钟的那个吗 对二十四号对但是我觉得现在这个打电话比较少就是那个流量的比较多那个一千二百分钟的问题用不完了是不是浪费钱 
喂你好帮我查一下有没有现在有没有什么便宜的流量啊 那五百零四兆也就用没两天还是三天就用完了 
诶你好我想问一下就是这边有没有什么流量包国内的 流量优惠一点 
你好我想请问一下我想办一个诶那个十块钱的流量二g流量比如说开它里面有一千公里的那个路程导航需要多少流量呢 开个五百兆的下个月就下个月就可以取消吗 
你好我要下个月下个月办理那个其他套餐有没有比较好了可以介绍一下了 呃是多一点因为我在那个我本来是龙岩地区号现在一百为漳州地区的他东西余额钱就是那个你你赠送的那个一那个一百分钟也没用了发不出去 
哎我想问一下那个七十九块那个手机那个那个那个办理网络那个五十兆是什么概念呢 噢那那手机反正就是也可以联网就可以用是不是 
诶你们移动现在有一种那种新的八十八元套餐是打一千两百分钟五g流量是吧 那怎么都没通知我们的用户啊 
诶我想请问一下那个就是说现在要先办那个移动宽带的话是有什么套餐 
