诶 你好 我 问 一下 我 这个 号码 的话 办理 宽带 的话 怎么 个 办理   嗯
诶 喂 你好 请问 下 我 是 那个 钱前 几天 的 时候 在 手机 的 那个 中国移动 的 ap 上面 就是 这个 号 就是 九元 的 那种 卡九元 的 日 租卡 我 选择 号 卡 已经 收收 收到 了 现在 都 不 想要 的话 要 要 怎么办 啊   没 激活   诶 激活 好像 激活 了 但是 的话 没有 那个 实名 认证 我 忘记 到 那个 积分 没有
哦   诶 你好 啊 我们 比如说 我 我 这个 手机 上 的 流量 要 转接 另外 一个 手机号 要 怎么 转 啊   啊 我 是 办 五十八 元 的 套餐
诶 您好 昨天 那 你们 打电话 说 什么 我 的 这个 原来 的 那个 套餐 怎么 升级   它 升级 什么 三十 八块钱 一个月 的 什么 我 也 不 知道   我 他 昨天 是 说 保 密码 我 今天 打 过去 那个 电话 关机 了 我 还是 我 我 还 没审 然后 就是说 下个月 我 我 的 意思 说 还是 不 升级 原来 那个 套餐
诶 喂 你好 我 问 我 咨询 一下 噢 诶 我 用 那个 我 那边 的 那个 卡 那 那个 身份证 去 买 了 一张 卡 噢 那个 就 充到 我 自己 我 我 自己 用 吗 那个 支付宝 支付宝 那个 不是 有 一个 更改 更改 啊 更改 号码 吗 那 那个 为什么 不能 使用 啊 那 支付宝   诶 我 上个月 根本 我 再 问 一下 那个 如果 这个 他 那边 说 不行 的话 那 我 我 把 这个 号码 用 我 这个 号码 是 用 我 妹妹 的 身份证 去 去 去 买 的 如果 我们 也 不 在 我 用 它 噢 用 他 的 身份证 去 那 营业 营业厅 噢 还有 我 的 我 自己 的 身份证 去 那边 拿效 呃 销号 可以 用 吗   不是 我 就是说 这个 这个 号码 是 我 妹妹 的 用 身份证 买 的 但是 她 人 不 在 但是 身份证 在 我 这边 我 我 我 是 我 这 号码 昨天 买 的 嘛 他 现在 不 在 嘛 我 我 就 用 用 这个 用 他 的 身份证 还有 我 自己 的 身份证 拿 去 营业厅 里 叫 他 销户 他 他 那边 可以 办理 吗
诶 你好 那个 要 打 那个 联 联系 连 姓名 调整 铃声 是 打 什么 号码   对 啊 就 没有 把 那个 要调 那个 手机 的 彩铃 原件 打 过来 香港 不行 用 那个   对 对 对
你好 帮 我 问 一下 那个 之前 我 有 登记 的 那个 移动 宽带 嘛 他 说 去 退 的话 我 不 知道 在 哪里 退 你 帮 我查 一下 嗯   不是 校园 宽带 啊 是 那个 什么 家庭 家庭 的 那个 宽带   另外 一个 号码 你 帮 我查 一下
喂   呃 问 一下 我 的 宽带 要 要 这 什么 意思 啊 就是 改 到 别的 地方 需要 去 哪里 办 一条   呃 多久
你好 你 说 你们 现在 套餐 是 怎么办 的   诶 现 现在 那个 三十八 元 的 多少   噢 那 那 我 想 改 三十八 的
喂 你好   啊 我 想 问 一下 我 的 手机号码 的 服务 号 是 什么   是 怎么 设置 呢
您好 我 想 问 一下 现在 那个 就是 流量 的 加油 包 嗯 怎么 现在 怎么弄 啊   六十块 嗯 对 第二个 g   六个 g 嗯 就是 有效 区 那个
你好 我 我 想 问 一下 那个 呃 流量 不是 共享 流量 是 怎么 设 的   噢 对   好 知道
喂 你好 请问 下 我 这个 电话 啊   我 这个 电话 现在 很多 骚扰电话 能 不能 帮 我 怎么样 能 改掉   不是 拦截 掉 等 多 骚扰电话
喂 你好 你好 我 的 手机 服务 密码 忘记 的 手机 服务 密码 忘记掉   只收 五 g 身份证 对 是 用 身份证 号码 重置 好好 可以 可以   呃 其他 现在 暂时 没有
噢 是 这样 的 我 那个 宽带 是 办 了 两年 合约 的 好像 十月 十三号 到期 了 现在 我 想 续约 怎么 写 啊   一 六年 九月份 到来 办 的   那 如果 我 到期 了
噢 你好 请问 下 我 这 宽带 移机 的话 我 直接 在 你 这边 给 你 地址 就行了   可以 啊   意思 信息 我 呃 我 用 完 打电话 一次性 我 就 打电话 先 咨询 一下
喂 你好 嗯 嗯 诶 我 想 问 一下 就是 我 一张 卡是 泉州 的 因为 手机 掉 了 人 在 外地 嘛 就是说 要 补卡 的话 要 怎么 处理   在 外省   噢 这 样子 啊
你好 一个 号码 牵 宽带 要 打 哪个 号码 呢   是 的 是 的 呃 我 装过 了 线路 不行   啊 啊
喂 你好 我 就 想 问 一下 我 那个 呃 就是 手机 嗯 申请 那种 宽带 重新 再 参加 了 要 用 你们 的 宽带 要 怎么 申请   对   好 的
喂 你好 请问 一下 他 那个 有 一种 是 和 家庭 九十九 的 那个 宽带 套餐 的话 看 是 那个 是 怎么弄 的   嗯
哎 你好 帮 我 看 一下 我 这个 提醒 多少 啊   才 四百多   没有 没 它 是 积分 是 不可 电话 放在 那些 到时候
喂 你好 嗯 嗯 诶 我 想 问 一下 就是 我 一张 卡是 泉州 的 因为 手机 掉 了 人 在 外地 嘛 就是说 要 补卡 的话 要 怎么 处理   在 外省   噢 这 样子 啊
诶 你好 就是 我 有 一张 泉州 的 卡 因为 人 在 外地 手机 丢 了 要 补卡 的话 要 怎么样 处理   对   四
帮 我查 一下 幺 三七 零 五九 四   一 g 五零   电话 账单 我 知道 密码
您好 诶 你好 我 想 问 一下 那个 家庭网 要 退出 来 怎么 会 然后 要 拉进去 怎么 来   啊 好 的 好 的
喂 您好 我 问 一下 噢 我 之前 的 宽带 然后 呢 该 续费 了 为什么 我们 就 刚才   啊 你 你们 说 要 去 营业厅 续费 是 怎么回事   我 去年 的话 都 是 直接 从 手机 上去 啊
哎 你好 我 想 问 一下 那个 如果 我 想 把 这个 卡 注销 的话 就是 呃 用 带 身份证 去 不收 还要 带 原卡去 取消 吗   就是 原来 那个 卡 已经 在 是 吗   对 对 对
诶 你好 我 我 想 问 一下 那个 话费 余额 怎么 查询 啊 或者 余额   要用 是 吧   那 我 查询 那个 剩下 余额 它 也 会 回复 是 啊
当时   呃 您好 我 那个 服务 密码 忘记 了 要 怎么 更改 吗   那 那 那 你 那边 不能 直接 更改 吗
喂 你好 修改 密码 的 手机 手机 密码 要 怎么 修改   噢
喂 你好 诶 先生 你好 是 这样 的 就是说 我 这边 有个 客户 的话 他 那个 手机 被 呃 被扣 了 那边 它 是 暂停 想 停机 保号 但是 现在 营业厅 的话 有 已经 下班 了 那 我 现在 要 怎么 是 四年 了   嗯 他 服务 密码 不 知道   身份证 号码 是 吗 那 我 叫 她 把 身份证 号码 发给 我 然后 嗯 或者 是 说 我 叫 他 用 其他 号码 进行 拨打 然后 就 然后 嗯 只要 身份证 号码 就行了 是 吗
喂 你好   麻烦 一下 幺 二 零 幺 七款 那个 有个 三八 套餐 怎么 怎么 开通 啊   幺 二 零 幺 七款 的 有 一个 三十八 的 好像 收 一点 五 g 流量 还有 三百 分钟 通话 那个 嘛 好像 是
我 又 怎么 办法 才能 知道 我 现在 的 宽带 密码 是 多少   吧 我 重置 你们 有 给 我 重置 不了 我 也 不 知道 怎么办 了   可以 呀 那 我 怎么 身份 信息 还要 重新 录制 过
能帮 我查 一下 就是 嗯 就是 我要 怎么 给 别人 那个 送 话费 啊 就 送 流量   流量 赠送 的 还 没有 送 流量 赠送 是 吗   噢 好好 好好
你好 我 想 问 一下 现在 办 宽带 是 怎么 个 办法 有 套餐 吗   呃 我 是 想 问 一下 套餐 就是 呃 还要 再换 个人 问 吗   嗯 好
呃 我 请问 一下 你们 这个 家庭 哎 呃 家庭 不是 有个 通话 分钟 数 那个 怎么 开 啊   反正 是 通话   我 我 已经 有开 了 是 吧 我 我 已经 开过 了 好像 里面 没有 人 吧
诶 你好 诶 我 想 问 一下 我 想 退出 这个 家庭网 的话 怎么 退 啊   有 两个 号码   还有 六 呃 有 两个 号码 都 是 我 的 然后
你好   我 想 请问 一下 那个 呃 就是 嗯 嗯 流量 不 这个 我 就 之前 有办 有 办 那个 额外 的 流量 包 现在 我 想 把 那个 退掉 我该 怎么 退   好 谢谢 是 吗 烟 不是 就是 之前 那个 申请 升级 流量 包
诶 我 问 我 想 请问 一下 那个 我 刚刚 申请 了 一张 那个 任 我 看主卡 那个 现在 激活 了 但是 还 没开 还 没 开始 对 但 我 又 不想 用 了 要 怎么 这个 注销 掉   这样 会快 吗 办理   上午 好 那 我 那 我 那 我 等 于是 在 永安 在 永安 办 可以 吗
你好 喂 哎 你好 啊 我 想 问 一下 这个 移动 那个 包 那个 那个 流量 是 要 要 要 怎么 办法   就是 六十元 六个 g 是 一百八十 六号   一百八 的 那 那 要 怎么 怎么 手机 要 要 要 要 怎么办
噢 你好 我 想 问 一下 噢 我 那个 这个 要 做 过户 手续 是 要 怎么 怎么 做 啊   就是 就是 本 机 因为 这个 当初 用 的 那个 身份证 不能 但 那 时候 肯定 登 那 原先   问 不是 是 问 你 现在 是 说 当初 是 用 哪个 身份证 那个 那个 去 说 了 我 又 不 认识 噢 是 这 样子 那 那 要 怎么 过户 啊
您好 请 讲 诶 请问 我 想开 省外 流量 的话 该 怎么样 做   噢 直接 补充 这个 月   呃 最低 是 四百多 兆 是 吗
喂 请问 一下 那个 呃 添加 家庭网 怎么 添加   这样   呃 加个 号码 的
喂 你好 我 这个 号码 想 再加 一个 家庭 等到 怎么 做   怎么 那个 那 你 那 你 帮 我加 一下   稍等一下 噢 我 发给你 幺 八七
诶 你好 这 样子 我 手机 里 流量 用 完 了 我 想 买 这个 呃 三十块 钱 怎么 一 百兆 那个   对 啊 不是 吗 我 我 在 外地 也 不 不 那个 那个 一个 地址 和 省内外 就 不能 用 了   中国 内地 了 我 再 打 我 在 湖南省 啊 可以 把 中国 大陆 通用 啊 同样 啊 那 那 那 那 你
喂 你好 诶 我 想 问 一下 那个 翔安 这边 如果 办理 宽带 取消 要 在 哪里 办 我们 电话   呃   呃 大 大概 位置 能 不能 发给 我 就是 通过 短信 发给 我
肯定 要加 我 看 下 这个 办 一个 流量 怎么办   到 这个 月底 作废   多少 的
喂 你好 你好 这 手机 我 的 手机 的 服务 密码 忘记 了 怎么 搞   噢
诶 你 这个 流量 包是 怎么 包 的   啊 那 你 先 给 我 拿 一个 那个 十 十块钱 的 流量 包 啊 可以 一 百兆 啊   没有 了
喂 您好   哎 诶 我 我 想 问 一下 我 这个 我 这个 原来 八十八 的 套餐 我要 改新 的 套餐 怎么 改   呃 那 我 能 不能 先 这样 再 改
呃 帮 我查 一下 我 我 我 那 宽带 噢 就是 装 那个 移动 的 宽带 我 好像 上次 不 懂 怎么弄 那个 密码 忘记 了 怎么弄 啊   对 对 对   什么 是
诶 请问 一下 我 那个 手机 就 在 还 得 要 补卡 那个 要 怎么办   传过来 漳州 的   诶 对 啊
诶 你好 我要 这 我 这本 机要 换 那个 四 g 卡要 怎么 换 呢   四 g 的 卡 现在   噢 到 营业厅 里面 去 换 话 是 的 是 的
好 你好   诶 我 想 把 那个 我 现在 那个 套餐 这个 改为 新 的 飞享 五十八 的 要 怎么弄 啊   你 你 这边 可以 帮 我 改 吗
呃 您好 我 想 问 一下 我 这 张卡 要是 不用 的话 要 怎么办   噢 这样 就 可以 了 然后 我 欠费 的 也 只要 交交 交完 嘛   噢 好
哎 你好 那个 呃 我 收到 短信 那个 就是 我 这个 宽带 大概 十一月 十号 到期 支付宝 那 我 想 问 一下 如果 我 不续 用 的话 我 可以 直接 电话 通知 我们 还是 说   说 就行了 费用   那 为什么 这么 麻烦 呢 你们 搞 的 别人 扣 他 的 时间 那 很 麻烦 呢
您 那个 你好 我 想 问 一下 那个 外地 卡 肯定 它 就 注销 吗   无线 是 省内 的   那 如果 那 张卡 不用 了 怎么办 呀
喂 你好   问 一下 我们 这 那个 宽带 移机 的话 是 要 去 营业厅 办 的 吗   这 样子 我 昨天 打电话 给 你们 跟 你们 问说 那个 那个 移机 的话 你们 讲 说 不要 你们 会 安排 人 过去 今天 我 打电话 过去 人家 那个 维修 人员 他 说 他们 不 知道 他 是 没 单子 他 叫 我 去 了 昨天 没 讲清楚
诶 你好 我 我 想 问 那 我 这个 套餐 行 我 这个 套餐 费 三五   我 说 我 那个 套餐 是 办   我 说 我 的 套餐 怎么 可以 改
呃 我 今天 今天 又 我 想 问 一个 问题 嗯 嗯   不是 我们 幺 二 呢 之前 我 再 讲 的话 突然 是 另外 一个 电话 进来 了 也 可以 讲话 同意 的话 我 也 没接 同时 我 没试 我 一直 在 讲话 的 他 讲 说话 他 打 进来 有 接通 了 就 自动 接通 的   我 是 我 在 通话 当中 我 另外 一个 朋友 打 进来 它 自动 原来 那个 自动 断掉 儿 把 这个 g 打 进来 电话 就是 通话 了
我 想 问 一下 那个 我要 换卡 嘛 噢 那个 换换 一张 卡要 怎么 怎么办   对   呃 厦门 的 就是 我 那个
诶 你好 我 想 问 一下 就是 我 手机卡 那个 丢 了 我 现在 想 把 那个 号 停掉 要 怎么 停 啊 我 今天 可以 帮 您 挂失   我 这个 密码 这 都 是 很早 的 卡   噢 就是 意思 是 我 这边 挂失 是 什么 意思 啊
我 我 因为 我 这 手机 开 那个 铃 铃声 彩铃 是 怎么 开嘛   为什么 刚才 我们 幺 零零 八六让 我 打 这个 幺 二 五八 零 这边 自己 开展   我 知道 他 就 给 我 打打 那个 幺 二 五八 零 啊
喂 你好   哎 呃 我 那 手机 呃 手机 想 嗯 比如说 想 设置 就是 就是 人家 打打 进来 是 呃 无法 接通 无法 接通 还是 设置 什么 东西   啊 呼叫转移
哎 你好 我 想 咨询 一下 那个 呼叫转移 那个 可以 要 怎么 设置   那 您 这边 能 帮 我 设置 吗   诶 这 怎么 交 四十三 g 的
不 知道   诶 你好 你 帮 我 我 问 一下 就是说 那个 手机 的 那个 服务 号码 服务 密码 这个 怎么 改   那 怎么 怎么弄 啊
呃 你好 我 刚才 收到 一个 那个 短信 他 说 这个 月 可以 领一 g 的 那个 流量 可是 我 按 它 那个 提示 发送 的 那 短信 不 知道 怎么 花   噢 还有 发 一个 星号 键   噢 好
诶 我 那个 有 开通 这个 什么 香港 慢是 吧 是 怎么 开要 几天 呐   不是 那个 不是 有个 什么 流量 是 吧   五天 怎么 算 啊
那个 你 能 不能 帮 我查 一下 我 那个 手机 的 那个 结婚 了   嗯 能 不能 发短信 给 我 吗   查询 方式 吧
你好 我 想 问 一下 我 这个 家庭 呃 就是 网 网内通话 那种 要 怎么 增加 新 号码 就是 家庭成员 之间   呃 那 我 给 你 号码 你 帮 我加 的 诶 一 一个 家庭 可以 有 几个 号码   噢 然后 那个 费用 就是 同样 的 费用 对 吧
哎 你好 问 一下 我 现在 要 这个 流量 包要 怎么弄   就 这 一个月   啊
您好 请 讲 见 诶 我 那个 号码 幺 八三 五九 幺 五五 幺 八十 三天 开会 您 自己 专线   对 开卡 但是 它 的 卡 没有 要 密码 我 在 我 在 我 在 手机店 买 的 呀   我 不 需要 你 的 密码 超出 去 我 现在 跟 你 讲 我 这个 号码 我 就 我 这个 手机 被 别人 偷 了 我 我 现在 怎么办 这个 号码 是 我 用 的 我 用 我 的 身份证 开 的 它 现在 还 在 开机 使用 我 的 号码 当中
你好 我 这边 本 机 上面 有 有 有 捆绑 一条 宽带 包年 宽带 我 想 取消 掉 要 怎么 取消   不用 了 我 这 十五号 到 我 这个 月 做 这个 月 还有 还有 昨天 就 到期 了 我 我 不要 用 了 呗   不是 不是 还有 还有 另外 一个 账号 还有 另外 一个 是 吧 我 看 一下
诶 你好 是 这样 就是 呃 我 过 两天 要 去 那个 越南 旅游 然后 就要 这个 把 这个 手机 开通 一下 漫游 我 需要 怎么 改要 到 营业厅 去 吗 不用 国际漫游 功能 您 已经 开过 了 也 不 需要 另外 再 开到 越南 的话 您   嗯   我 把 到 那边 的 资费 发给您
喂 你好 就是 那个 我 问 一下 你 你 宽带 怎么办 啊   呃 对
诶 麻烦 你 我 这个 如果 要 开通 港澳台 国际 业务 的话 怎么 开通 啊   帮 我 开 一下 好 吗   啊 不要 没关系 我 看 一下 我 打 国外 的 电话
我 这个 电话 那个 号码 给 他 的 宽带 我 现在 参加 了   那个 能 不能 那个 怎么 取消 嘞   前面 那个 我先 取消 掉 吧 以前 我们 家 没 办法 呀 我们 就 搬 到 这边 以前 在 那 台江 就 帮 他 接下来 提交 就 行不行
你好 请问 一下 我 这个 流量 共享 要 怎么 共享   他 有 什么 流量 才能 共享   噢 那 怎么 会 这 样子 你们 之前 怎么 里面 都 没有 说 呢
帮 我 申请 一下 这个 号码 呼叫转移 怎么 申请   不是 我 把 这个 找到 这个 手机号码 的 电话 转 到 另外 等 一下   没有 所以 我 就 问
诶 你好 那个 我 问 一下 那个 号码 报停 的话 是 怎么弄   嗯 就是 服务 密码 忘记 了 呢   嗯 其他 号码
哎 你好 诶 我 手机 这 样子 的 出门在外 地 现在 丢 了 怎么 停 把 这个 卡 停掉   就是说 我 我 有 的 手机 昨天晚上 十二 十一点多 在 丢 了 丢 了 那个 丢 了 那 现在 他 要不是 里面 绑定 了 很多 卡 吗 现在 把 那个 手机号 取消 掉 怎么 呃 怎么 销户 是 吗 对   有没有 其他 办法 营业厅 我 刚才 说 到 九点 才 上班 啊 嗯 我 这边 可以 先帮 您 停机 保号 噢 你 可不可以 帮 我 嗯 先 帮帮我 停机 保号 是 吧 可以 那 对 停机 保号 需要 吗 可以 的 要 要 的
诶 你好 我 现在 这 里面 都 有 家庭 套餐 我 想 做 家庭 套餐 怎么 做 呀   不 了解   噢 三块 钱 本地 嗯 就是 本地 的 好 谢谢
嗯 嗯   哎 你好 我 想要 那个 把 流量 送给 朋友 怎么 收   对 啊
我 想 问 一下 我 现在 那个 换 那个 三十八 元 的 新飞 享 那个 那个 套餐 这 这 这 怎么 换 呢 是 这个 月 生效 还 还是 下个月 生效   下个月 一号 生效 是 吧   三十八 元 一 一个月 一 一点 五五 g 流 流量 是 吧
我 这边 是 呃 可能 下周 要 到 香港 然后 大概 大概 五六天 的 时间 那 这边 我要 开通 到 香港 也 可以 漫游 可以 打电话 可以 上网 这是 怎么 怎么 怎么办   那 香港 一个 是 打电话 一个 是 上 网吧 嗯   二十五 号 到 二十九 号 吗 五天 嘛 对 幺
您好 有 什么 可以 帮 您 你好 我 我 就是 刚才 那个 呃 想查 一下 那 这个 手机号码 的 今天 的 那个 通话 g 嘛 噢 刚刚 才 刚才 嗯 下载 的 那个 幺 零零 八六 的 那个 软件 吗   怎么 查   他 哪里
诶 您好 我 想 请问 下 这个 彩印 业务 这个 这个 彩印 业务 是 怎么 办理   噢 那 我 我 我 不 知道 怎么 登陆 我 就 知道 那个 彩印 那个 彩印 怎么 写全 全部 弄 的 你们 要 怎么 操作 的   噢 那 怎么 开通 啊
诶 你好 麻烦 问 一下 手机 设置 呼叫转移 怎么回事   呃 就是 我 这个 号码 我 转到 其他 号码 上   你 你们 帮 我 操作 一下 好 吗
麻烦 一 下去 办 那个 就是 那个 无条件 来电 提醒 的 那个 二次 跟 那个 取消 的 那个 短信 去 发 一点   再见   查 一下
哦   喂 你好   我 补卡 不要 带 身份证 就 可以 吗
要 喂 我 想 问 一下 那个 流量 是 怎么 查询   具体 使用 情况   不是 我 现在 就
诶 你好 那个 我 我 要 修改 一下 服务 密码 怎么 用 啊   不 知道   是 的
你好 我 想 问 一下   所以 他机 购买 那个 流量 流量 流量 包 怎么 怎么 购买   不 知道
诶 你好 我 想 问 一下 要 怎么 设置 那个 手机 就是 设置 那个 来电 提醒 那个 什么 您 拨打 的   对 对方 打 过来 是 这 样子 吗   对 对 对
哎 我 问 一下 那个 你们 宽带 这个 宽带 是 怎么 办理 的   嗯 不是 你们 说 我 的 手机 里面 说 宽带 开 一次 的   呃
喂 你好 诶 问 一下 我 这个 六零 三 的 号码 的 我 想 停掉 从 那个 注销 要 怎么 注销 啊   就是 在 长沙 那边 是 吧   就是 永定 城市 那边 办
诶 你好 啊 我 这 这块 我 这个 卡 你 除了 套餐 以外 别的 费用 我 不 给 他 产生 这 样子 要 怎么 办理 呀   噢 对 就 除了 套餐 以外   呃 可以 对 不是 它 不是 十八块 钱 的 套餐 然后 还有 还有 就 就 里面 没有 包括 来电 提醒 吧
你好 你好 我 想 那个 但加 那个 流量 怎么弄 啊 嗯   一 百兆 是 多少   噢 八十块 一去
喂 你好   帮 我 帮 我 请问 一下 我 这个 流量 要 关掉 怎么 怎么弄   对 那 我 说 那 流量 一个月 多少
哎 噢 我 这个 本 机号码 嗯 那个 是 我 那个 叫 什么 密码 来 着   对 对 对 那个 忘记 了 怎么 用 服务 密码 忘记掉 的话 那 没关系 重新 给 它 设置 一个 新 的 密码 就 可以 了   不用 不用 好 那 我 知道 我 知道 那 您 就要 设置 吗 现在 嗯 没事 等 下 我 自己 刻 生效
嗯 哼   哎 我 怎么 获取 我 的 手机 服务 密码   对
诶 你好   我 那个 流量 要开 普通 包要 怎么 开 啊   比如说 十元 是 吗
喂 你好   啊 我 问 你 一下 我 这个 如果 是 我 外地 卡 在 那个 外地 卡包 这边 的 那个 丢掉 手机 丢掉 了 要 办 了 以后 要 办 哪里 这 样子 办 回来 呀 在 外省 吗 对 在 外地 就是 外省 吗   知道
那个 夜间 十 g 流量 套餐 怎么办   对 啊   不是 它 不是 有 那
诶 你好 我 那个 手机 服务 密码 忘 了 然后 你 把 那个 方式 发给 我 一下 吧   嗯 嗯   不用 了 不用 了 谢谢
你好 我 想 感觉 这个 怎么 把 这个 套餐 改成 新飞 享 五十八 的 套餐   为什么 啊 就是 要 对 吧 月 才能 改 吗   就是说 不是 不是 说 工信部 有 说 要求 吗 两千 零 六年 就 规定 的 时候 不是 给关 一下 吗
