您好什么可以帮您 诶我那个我这个流量没有开通五百兆啊什么时候帮我自动帮我开通那个 我帮您检查一下您稍等一下其实是那个三十块五百兆嘛我看了一下这个比较早开通了如果这个不要可以取消 唉你们那现在等于是最低是多少兆多少块二十几块套餐是不是 
哎 您好高兴为您服务 喂那个你好我想问一下那个我我这个月那个话费为什么有一个宽带什么包月的 您稍等我看一下本机是有办了一条宽带一个月二十块钱 
您好请讲 喂你好请问一下我这个手机为什么没有办那个什么和教育的为什么吧显示说一个月扣二十块今天再见 好我查一下好嗯好稍等一下 好的哎 
您好请说 呃我这每个月扣了那个什么什么彩铃费啊那个啥信息费我都没开通它怎么乱扣钱 嗯嗯稍等一下我看一下彩铃您说的是彩铃彩印这些吗 对 
您好很高兴为您服务哎你好恩你好请讲我想上一次我这个手机我已经是是十六号还是多少好像打 诶 是十四号 打电话我这个手机那个套餐这个事情你们怎么没有跟我们怎么说啊 
您好请说 喂 您好 没没好我我要投诉你们这个 
你好很高兴为您服务 喂你好我不知道为什么手机突然多了一项宽带业务啊就是我自己明明没有办理 您稍等我帮您查询一下 噢好 
哦哦 您好请说 啊喂你好他这个手机就没有申请扣呃那个三十八的套餐怎么 发信息说从十一月一号 
您好请说 诶你好 嗯嗯 诶我想问一下这个手机呼叫等待是功能还是那个还是你们说六里面刚才功能呢 
可以您好很高兴为您服务 你好我有一张卡是幺 对幺五零六六五五九九六幺幺呃这号码什么问题呢 呃然后我这个号码说在图为那个营业厅有办一个什么和什么套餐我本人就没有同意过为什么有这种套餐的块钱嘛那 
嗯您好很高兴您服务 喂你好诶我我想查询一下为什么我这个手机怎么自动升什么流量已经升到什么三十元每 就是说自动升流量吗 对啊 
诶您好 诶你好诶我没有开通那个什么三十块钱五百兆流量的那个它怎么帮我开通那是发短信过来啦 噢对我看到了有没有接到什么电话向您推荐啊之类的吗 是有一个电话向我推荐了但是我没有这样子 
您好请讲您好 喂 嗯请说 呃我那个我的手机增值业务怎么那么多啊 
您好请讲 诶我这个这部手机什么叫你什么咪咕功能怎么怎么开通那个六块钱的那个干什么要我都没开通怎么有开通 您好帮您查询这里面有咪咕音乐彩印来电提醒这三个业务是做活动赠送您三个月的 那这个月不要我这边话费扣掉了还有三个月 
行您好请说 诶你好我这个套餐是自动更改的吗噢您看之前有没有就是说有没有就是接到什么营销电话都是这样的就有一个一一个移动的电话然后发一条短信说这个改更改成什么二零一七的新飞享是吧三八套餐 对我看您下个月改了一个就是等于说您这个套餐升级了这样的 噢就自动升级是吧 
您好请说 喂你好你好我刚才看那个短信那边说什么我的流量共享号码我没有流量共享过去为什么有一个流量共享号码 您是别人添加开通共享添加您为共享号码 噢是别人添加我们工作人员是我用她的流量是吗还是 
您好请讲你好为什么我这边 它自动给我换一个别的话我现在我身份证号码 什么套餐我没办法积分很清楚您是把扩音给开了吗如果开的话能不能先关掉一下呀 我没开过 
你好 哎你好 嗯请说 呃我刚刚收到一个通知类的消息说我什么订一次了然后纷纷那个魔百和qq特长包月二十九块是怎么回事啊 
嗯 您好请说 啊我想问一下那个手机动漫套餐是怎么回事啊噢我帮您看一下 呃您是看到您手机有这个业务是吗 
您好请讲 呃帮我查一下我这手机号码怎么我都没动什麽有什么什么咪咕音乐了什么来电提醒那都帮我看一下什么意思啊 啊您稍等我看一下应该是之前的话嗯有赠送给您的我看一下哈 呃总的保 
早上好请说 诶麻烦你帮我看下我本机怎么又开通一个幺二五八零的那个什么包月套餐费 稍等一下我看一下给您看了一下幺二五八零的这个会员的话在二零一五年的时候就已经有开了就开到现在的 这样子还有一个什么手机动漫包月费啊 
您好请讲 对啊我的那个手手机上怎么差变更掉了我又没办理这个业务 本机号码的话您下个月生呃升级为新飞享三十八元套餐那下个月的话您这个套餐有三百分钟在南平本地可以打一点五g的流量在福建省内可以用资费一样是三十八块钱一个月 是谁帮我变更的 
啊 您好请讲 你好我想咨询一下为什么我这个手机我都没有开通什么咪咕音乐阅读什么的怎么我的话费老是被扣掉了 我看一下吧请稍等一下嗯 
喂你好 下午好请讲 我问一下我上个月怎么会有一个送一家什么动力加加油包这个什么意思 它那个是我看一下噢它那个是小孩子的那个是那个校讯通类似的这种情况它那个是学校里面办的你之前的话它这边是呃您说 
您好很高兴为您服务诶我想问一下那个我上个月我原来的那个什么套餐是十八块的套餐怎么变成二十八块的套餐 嗯二十八块钱它有十块钱那个它是要扣掉的因为他们是有您参加 石头剪刀布那个微信 然后它那个是说它送的那个价值十块钱的一百兆那个费用他当天就有充值话费给您了它那个十块钱没有扣的噢噢是这样子是啊对对对是的噢那还有其他需要帮助吗不客气嗯不用不用谢谢了哈那不客气祝您生活 
您好请讲 诶喂请问一下我这个怎么会有下午茶那个五百兆一块钱的流量呢 呃是在今天早上八点的时候您订购的呀女士您是不是有通过那个微信订购的 微信我没有我没有订购啊 
您好请讲您好先生 喂你好 恩你好 呃刚才我收到短信说给我改成那个什么七十九元套餐然后宽带的我没有申请啊昨天的时候打电话来我我没收到反正他就给我改了 
您好请讲 诶你们这个取消一下那个幺零那个我怎么有开通嗯是回头中心小时怎么和教育这个套餐是八块我们都不知道这个这种信息怎么你们怎么搞的怎么 嗯您稍等我帮您查询一下噢 噢 
您请讲 诶请问一下那个我这个手机号码那个呃套餐里面怎么有三十元的流量套餐啊 没有三十元的流量套餐啊您说的应该是上个月有玩石头剪子布赢的一个您那三个十元一百兆的省内流量那个钱是我们出的您自己没有出您直接在上个月的账单上有时间 噢不是我自己出的钱啊 
您好请说喂先生您好有什么需要帮助吗你好啊 反正怎么这个怎么为什么我没有十二十四g流量安排开为什么给我扣钱的 流量还没开始扣钱是吗我给您查一下这个月您的这个一百兆流量是用完的对啊机完之后我还有一个您现在目前额外有超出的话超了一百二十九兆 对啊我们根本玩游戏玩那些看了一共根本没有去玩那些为什么给我回复嘞 
您好请讲 诶您好我想就是咨询一下为什么这个嗯流量里面吗套餐为什么有一个共享流量啊这个可以退掉吗共享流量好我查一下 噢我看一下您有开通共享功能但是您没有更别没有添加号码跟您共享流量 没有是吧那那这个可以退掉吗 
您好请讲 你好请问你们移动公司是来全部转成是什么乱兆人家手机开通这样开通这一条信息开通了一条 您说的是哪一个费用 那个什么保障服务怎么一个月那个要十块钱我什么时候开通啊 
您好请讲喂你好诶您好 你帮我查一下噢他没设置我看一下 呃这边的话帮您去查询了一下您来电本机的话应该是有被扣您安装费七十八所以导致这个欠费 什么东西 
嗯 高兴为您服务 喂你好 诶你好 
很高兴为您服务 你好我这个手机每天都能收到幺二五八零那个生活播报是怎么回事啊噢就是一个订的业务 这个业务是免费的如果您不需要的话我帮您这边取消掉要取消吗 取消掉吧 
为您服务 订掉什么 您好请说 我不知道这前天我已经打个这个打个电话跟你们一个人工服务台来你能帮我关掉我这个有什么有移动公司提供的什么月所以我每天都在扣我的钱我没订这个业务怎么老是扣我的钱 
您好很高兴为您服务 喂你好就是呃我我想查我昨天晚上登有什么软件然后然后他就自己给我开个什么彩铃服务我不知道哪个 手机号码 就就现在这个手机号码 
您好很高兴为您服务 唉你好我问一下我刚刚有咨询过就是我这边有莫名其妙订了有什么增值服务什么和流言还是什么东西的一个五块钱的费用的吗 这两个费用是不需要应该不是 我我知道但是我查询一下没有任何的就是前面记录或者怎么样它是在这个是 
您好很高兴服务 唉你好那个我想问一下我昨天收到一个短信凌晨一点多收到一个短信说我开通了什么随已经什么wifi什么业务啊我都没开通他怎么给我来这一条 您这个月开通的就一个呃三十八元的套餐 然后别的活动了 
您好很高兴为您服务 我是那个幺五九零幺九二的机主啊对四零三二的机主昨天我电话来过了他说要我身份证号码报给他他说收看过什么订我从来没事跟我订它扣扣掉我那个 你好 扣了很很多的费用他叫我身份证报给他在外地这个你知道的是吧 
您好很高兴为您服务 唉你好呃是这样子我刚刚收到一条短信吗说什么我那个什么成功充值十兆流量没有什么什么没有充过好像 我这边显示是在第三方平台订购了十兆的流量是流量有什么活动是就是活动 送给你的因为好像我昨天看了一下怎么幺八九邮箱吧我一个就等于说这边对幺三九幺三九邮箱吧我就按照那个有人去了吗按我继续开通怎么一直送到了什么东西然后今天刚刚才收到短信说什么我什么程度进入兆流量请问这个是需要收费吗 
诶 您好很高兴为您服务 唉你好小姐啊我刚才收到个短信有什么咕里阅读又是什么之类的我也什么通话怎么突然进来的 信息看一下呃确实显示有看到有开了一个什么咪咕双色球阅读会啊那个昨天下午四点四十五分开通的 
嗯 唉小姐你好 早上收到一个短信就是那个没有没开一个什么中奖怎么我 我我就按了一下看了一下上次都没有什么影响 
为您服务您好 唉你好嗯嗯哎我想问一下我什么时候我的手机在那个白天营业厅办理过业务 您这手机怎么了 我手机收到短信它说什么再改成公司办理业务 
高兴为您服务 唉你好嗯嗯就是呃中国移动有有短信来什么要帮我开通才因为我什么东西我不要 彩印啊 便宜的话它是啊您不要可以帮你取消它目前有一个活动是赠送我不要这个东西我结果我这短信回复回复个回复一条出错了两条回复的比较出来两个我不要这个东西 
您好很高兴为您服务 唉小姐我问一下我刚才接到那个短信说我那个集团的那个彩铃呀撤销了然后又帮我订了一个彩铃是这个怎么回事啊 集团彩铃失效了 唉他发那个短信给我我看到他们说什么用你的集团彩铃什么失效了然后后来又接到一个接到一个短信说是又帮我订了一个什么彩铃业务收费什么五块钱什么什么意思 
您好很高兴为您服务您好 到你们那个 您好电话已接通请讲话呃能听到我说话吗现在可以了请讲 就是早上我不是点了一个什么东西吗改了之后我没有挺确定他直接点击收费了而且还是收了好几次费超过之后它上面不是有一个上面不是有一个呃取消跟确认码我也没取消进行取消之后呀他应该还是有好多信息发过来身份证呢我还是没有去点击确定可是它这个费用是一样是扣了 
您好很高兴为您服务 唉你好哎请问一下我的手机它怎么自动升级什么高清什么什么意思啊 这个通话中网络不中断的一个服务通话质量更清晰就有没有功能费呃是新出的一个服务 新增的服务呃也不够会用的对吧 
为您服务 那个呃我想问一下我的我那个手机那个人家打过来怎么有那个对方怎么又那个短信那个提怎么提示的 什么专线提示是什么呀来电提醒吗还是什么语音信箱 那那个自选那个短信 
您好很高兴为您服务 额你好 你好 我我就是刚才收掉收到两条信息吗就是说我没我没订购那个业务嘛然后他就说旧金山来就是说我已成功定购那两个业务我我那个给你听那两个是什么 
您好很高兴为您服务 额你好 你好 我我就是刚才收掉收到两条信息吗就是说我没我没订购那个业务嘛然后他就说旧金山来就是说我已成功定购那两个业务我我那个给你听那两个是什么 
您好很高兴为您服务 喂你好唉小姐你帮我查一下我的那个手机号码啊怎么刚才有人打电话来说我这个手机跟有一部手机怎么捆绑了什么骗人的吗也是你们嗯不需要幺零零八六的好像 啊这个您不用理会它那是大片电话不用理它就好了 那你帮我看一下我那个这个月等于说号怎么我那个呃那个这个手机都还是要打怎么这个月好像付了两次了几次你帮我查一下 
您好很高兴为您服务 唉小姐我想问一下昨天来了个短信啊说我订了四g流量套餐但是我没有订啊 啊是这样的因为您原来是那个五元的那个呃就是那个助老卡嘛现在就下个月帮您升级成叫四g飞享套餐八元档关爱版这个的话到时候月租费还是返您五块钱一个月 然后的话 
您好很高兴为您服务 哎你好我想咨询一下就是我办了一个套餐吗 恩还有 他收到个短信叫什么魔百通要不再收费二十元什么账户我显示它就是短信我是不是都有 
很高兴服务 唉你好你好请讲对呃刚才我就是那个他现出呃就是跳出来一个账单我就下载了然后呢他就是说一个什么呃一个是软件吗然后他就是叫我发一个就是那个就是手机的那个什么吗就是说 这边已经订购上去一个叫手机会员专区还有个咪咕优惠包vip会员要不要帮您退掉 啊对的他推荐立即就退掉了啊 
钟你好谢谢啊 我的流量这个月已经超了嘛刚才我上网查一下详单我我告诉你手机号码幺五零 三 幺零零四零零四八 
您好预处理专席代表很高兴为您服务 呃我想问一下刚刚那个情况你们知道吗 就是那个八十八元的套餐省过来说您这八十八元套餐不用八十八套餐怎么了是的 八十八元套餐我是上个月还是上个月有一个人打电话跟我说要不要更改我说不用等了我说你把那个八十八套餐你给我取消掉 
您好请讲 唉你好唉我这个号码就是给人家绑定微我这个是申呃去年才能办的号码那个之前好像是给人家绑定的那个什么那个微信的之类的呀那我这边取消掉怎么就取消了 是这样的先生就您这个号码如果是想要绑定别人的微信的话您可以联系腾讯客服去把这个之前微信绑定注销掉就可以了先生 之前我也不知道当时是因为我这个是前两天自己呃新办了那个当时他业务就是我办之前它是有给他们绑定过这个微信之类的 
您好很高兴服务 喂你好我这个这个电话号码怎么办理一个什么业务一个月二十分 二十块钱对吧您这边没有二十块的业务呀只有一百二十八的月租 一百是不是是什么一个月交二十块钱的行吗 
您好很高兴为您服务 喂请问一下 您好请说先生哦 就是那个什么我那个副号是是十八十八元的套餐怎么你们发发信息要改了早上打电话的那个我没接 
很高兴服务您好请讲您好请问一下我这个手机号码没有绑定银行卡为什么每个月它就这种吗话费扣了你帮我查一下 你本机号码绑定一个工商银行借记卡呀 就用完了那这个手机号码绑定工商银行是吧但是我没绑定过来怎么会是显示上了呢 您是绑定呢如果不需要的话可以帮您取消掉解绑都可以没错 
您好很高兴为您服务你好就是刚才给我发信息怎么二百分钟的什么东西我的套餐不是了套餐呀怎么两百分钟的 就是说我活动送的它送了连接被这个功能赠送您两百分钟送三个月每个月两百分钟如果您不需要我就帮您取消掉 就是说还要 不要钱吗他没有功能费只有使用费现在因为前三个月送您两百分钟这个手机要支持的不支持用不了的要帮您取消吧不取消上个月后您要把它取消掉那我帮您取消了啊 
您好很高兴服务喂你好我的刚才手机上接到信息怎么怎么会有个什么高清通话什么意思啊 这个是送给您的高清通话就是如果手机支持的话可以用这个高清的您是什么手机啊 我不用查九啊 没没插九对吧那您稍等为了更好解决问题啊先生我帮您电话转到终端专席您问一下您的手机能不能用怎么用您问他一下您稍等不要挂会有专人服务您稍等不要挂您稍等 
您好很高兴为您服务 就我刚刚收到两条短信说我订购那个彩铃这个东西是什么噢我没有订呀 噢彩铃的话这个功能是我看一下这个是在八月s今天刚定的 是我这个客户端 
您好很高兴为您服务 唉你好我是这个一般四村十五号四零二的 恩 但是呢我我刚才接到幺零零八六给我一个短信就是说是我这个宽带业务已经续约了但是寄情况是我没有学 
您好预处理专席代表很高兴为您服务 唉是这样我前面打个你们那个人工啊他让我转过来怎么呃有一个游戏啊他是旁边有一个就是取消键还有个大厦设置很少然后点的时候呢不小心点到下面然后就发个短消息来你可能是 原套餐的但是说没编号它给你钱扣掉了 它那个大他很小很小的设计的很小的么 
啊二十元 您好很高兴为您服务 啊我怎么手机收到短信幺零零八六发个短信什么我手机办理了呼叫转移的功能我没有办啊 这个号码上我看一下啊 
对啊 唉你好我刚刚刚才我手机换的这边大概小孩子碰到了我那个手机上面怎么会多了那个叫什么呃咕有游戏一个费用乱七八糟的时候换了 谢谢游戏我看一下啊对确实有的它上面您对收到短信的一个小时之内回复可以不收费的因为我看到下个月扣费打过来反映 就是一个小时之内回复的话是不是 
您好很高兴为您服务 唉你好 你好 我这手机上发过来怎么又又什么这套餐了什么我余额不要这个套餐呀 
