您好什么可以帮您 诶我那个我这个流量没有开通五百兆啊什么时候帮我自动帮我开通那个 
您好高兴您服务 你好我刚才接到个短信怎么给我他怎么说下个月给我登记的幺三八的了我本来是八十八的嘛 
您好请说 喂你好 
您好请讲喂你好我呃怎么里面有那个什么套餐费请您稍等啊我都还剩都没有申请诶 噢我这边帮您看到您的套餐是十八块钱一个月的然后套餐外的话就是有那个呃流量的话一共是六百兆的省内流量那个是赠送的这个您不用花钱开通的然后其他业务的话我也帮您查了呀您这边嗯也没有开通什么其他收费业务啊 
您好请说 喂你好 
您好请讲诶我这个手机发的信息我不是只有开通了一个月八块钱的现在怎么多了好多东西 嗯您查询有有扣什么钱吗 
您好很高兴为您服务 呃您好哎我我有一百兆那个省内流量这个是什么时候送的我都不知道 
您好很高兴为您服务您好 我什么时候办了三十八块钱的八套餐嗯刚刚 
哎您好请讲 喂你好嗯您好请说我的套餐里面怎么会有一个什么和教育那个那个那个那个套餐呢 
您好请说 哎你好诶你好麻烦你帮我麻烦你帮我看一下这个我这上面怎么就那个那原来不是现在不是改成八十八块的套餐吗对它那个上面怎么还有什么看什么数据套餐三十块啊数据流量包啊 
你好 喂你好我这手机怎么么就今天一下子七八条短信说帮我开通了什么东西咪咕什么 
您好请讲 诶请问一下我我这个手机怎么么 
哦 嗯 
您好请讲 诶你好请问一下就是我这个号码怎么它自己会订购咪咕跟手机阅读这一个这两项能帮我取消吗 
您好请讲 你好诶我发现我九月份的那个账单啊是二十多块钱啊里面有一个什么彩信啊我都没有订购这个东西了怎么又这样子的嘞 
您好请讲 诶我手机怎么又开通了一个什么和教育的那个啊和教育的那个什么套餐 
您好请说 喂你好我想问一下为什么我这个月的夜间流量怎么突然就没了 
下午好很高兴为您服务 诶我请问一下我没有购那个三g的那这个流量的谁帮我弄的 
下午好 你好我想查询一下为什么我没有办理那个宽带业务怎么给我说提提醒的宽带业务五十二亿成功 
您好很高兴为您服务 喂你好 
你好请讲 呃您好你帮我看一下我这里面怎么会有一个什么宽带包月龙融合的怎么要二十块钱啊 
你好请说 你好 
您好很高兴为您服务 喂你好 
您好请说 诶你好我想问一下那个我套餐里面怎么会有一个什么二零一六年怎么那个那个一百兆是什么请 
你好 喂那个之前我跟另一个另一个号码共享流量它为什么发短信跟我说我已经取消了我没有取消啊 
你好 喂你好哎我手机的彩铃怎么突然改成一个g的一个一千分钟的那个宣传的诶这个那彩铃怎么改啊 
啊您好很高兴为您服务 喂你好我想问一下把这个号的机主的那个套餐流量另外开通的 
您好请说 喂你好 
您好请说喂你好 就是我发现我的手机上钱这两个月有一个了四g两g的一个七十元的套餐 
喂 你好 
您好请讲 诶你好诶你帮我看下我这个彩铃呢是怎么回事啊 
您好很高兴为您服务 哎你好我那诶我们这卡怎么有办一个什么咪咕音乐的套餐 
您好很高兴为您服务 喂你好我想问一下就是今天它发了很多短信说我订了什么校园什么网络套餐我没有订啊不是什么 
您好请讲 喂你好请问一下啊呃我我这个二十八的套餐我怎么没没有经过我同意你现在这个上个月就给我搞到一百三的套餐 
您好请说您好请说诶您好诶你好我这个送 有开通那个什么家校互联集团功能费 
您好很高兴为您服务 喂你好你帮我查一下我上个月怎么会有那个移动数据套餐四十元那 
啊有什么可以帮您 啊你帮我查询一下我这里面有个什么显示什么呃什么视频我好像之前没有开通这个业务你帮我查一下 
您好很高兴为您服务 刚才收到短信什么我有申请办理什么新的业务啊我都没办啊 
你好请说喂你好喂你好诶请说 诶我就我我这个这个手机没有办流量怎么经常会有流流流量流失啊 
您好请讲 喂你好我们一开我这张卡是包月还不是八元 
你好呃您好 麻烦你这查一下我这个本机什么时候改飞享三十八套餐我都不知道 
是 您好很高兴您服务喂你好呃您好有什么可以帮到您因为 
幺五 您好请说 
你好您好 好好诶帮我我一个流量卡你帮我查一下怎么嗯那个幺五二 
他你好请说 呃您好那个你帮我查询一下就是我前天我又开通一个块钱的上网流量你看一下什么情况 
哎 您好高兴为您服务 
您好请讲 喂你好请问一下我这个手机为什么没有办那个什么和教育的为什么吧显示说一个月扣二十块今天再见 
您好请说 呃我这每个月扣了那个什么什么彩铃费啊那个啥信息费我都没开通它怎么乱扣钱 
您好很高兴为您服务哎你好恩你好请讲我想上一次我这个手机我已经是是十六号还是多少好像打 诶 
您好请说 喂 
你好很高兴为您服务 喂你好我不知道为什么手机突然多了一项宽带业务啊就是我自己明明没有办理 
哦哦 您好请说 
您好请说 诶你好 
可以您好很高兴为您服务 你好我有一张卡是幺 
嗯您好很高兴您服务 喂你好诶我我想查询一下为什么我这个手机怎么自动升什么流量已经升到什么三十元每 
诶您好 诶你好诶我没有开通那个什么三十块钱五百兆流量的那个它怎么帮我开通那是发短信过来啦 
您好请讲您好 喂 
您好请讲 诶我这个这部手机什么叫你什么咪咕功能怎么怎么开通那个六块钱的那个干什么要我都没开通怎么有开通 
行您好请说 诶你好我这个套餐是自动更改的吗噢您看之前有没有就是说有没有就是接到什么营销电话都是这样的就有一个一一个移动的电话然后发一条短信说这个改更改成什么二零一七的新飞享是吧三八套餐 
您好请说 喂你好你好我刚才看那个短信那边说什么我的流量共享号码我没有流量共享过去为什么有一个流量共享号码 
您好请讲你好为什么我这边 它自动给我换一个别的话我现在我身份证号码 
你好 哎你好 
嗯 您好请说 
您好请讲 呃帮我查一下我这手机号码怎么我都没动什麽有什么什么咪咕音乐了什么来电提醒那都帮我看一下什么意思啊 
早上好请说 诶麻烦你帮我看下我本机怎么又开通一个幺二五八零的那个什么包月套餐费 
您好请讲 对啊我的那个手手机上怎么差变更掉了我又没办理这个业务 
啊 您好请讲 
喂你好 下午好请讲 
您好很高兴为您服务诶我想问一下那个我上个月我原来的那个什么套餐是十八块的套餐怎么变成二十八块的套餐 嗯二十八块钱它有十块钱那个它是要扣掉的因为他们是有您参加 
您好请讲 诶喂请问一下我这个怎么会有下午茶那个五百兆一块钱的流量呢 
您好请讲您好先生 喂你好 
您好请讲 诶你们这个取消一下那个幺零那个我怎么有开通嗯是回头中心小时怎么和教育这个套餐是八块我们都不知道这个这种信息怎么你们怎么搞的怎么 
您请讲 诶请问一下那个我这个手机号码那个呃套餐里面怎么有三十元的流量套餐啊 
您好请说喂先生您好有什么需要帮助吗你好啊 反正怎么这个怎么为什么我没有十二十四g流量安排开为什么给我扣钱的 
您好请讲 诶您好我想就是咨询一下为什么这个嗯流量里面吗套餐为什么有一个共享流量啊这个可以退掉吗共享流量好我查一下 
您好请讲 你好请问你们移动公司是来全部转成是什么乱兆人家手机开通这样开通这一条信息开通了一条 
您好请讲喂你好诶您好 你帮我查一下噢他没设置我看一下 
嗯 高兴为您服务 
很高兴为您服务 你好我这个手机每天都能收到幺二五八零那个生活播报是怎么回事啊噢就是一个订的业务 
为您服务 订掉什么 
您好很高兴为您服务 喂你好就是呃我我想查我昨天晚上登有什么软件然后然后他就自己给我开个什么彩铃服务我不知道哪个 
您好很高兴为您服务 唉你好我问一下我刚刚有咨询过就是我这边有莫名其妙订了有什么增值服务什么和流言还是什么东西的一个五块钱的费用的吗 
您好很高兴服务 唉你好那个我想问一下我昨天收到一个短信凌晨一点多收到一个短信说我开通了什么随已经什么wifi什么业务啊我都没开通他怎么给我来这一条 
您好很高兴为您服务 我是那个幺五九零幺九二的机主啊对四零三二的机主昨天我电话来过了他说要我身份证号码报给他他说收看过什么订我从来没事跟我订它扣扣掉我那个 
您好很高兴为您服务 唉你好呃是这样子我刚刚收到一条短信吗说什么我那个什么成功充值十兆流量没有什么什么没有充过好像 
诶 您好很高兴为您服务 
嗯 唉小姐你好 
为您服务您好 唉你好嗯嗯哎我想问一下我什么时候我的手机在那个白天营业厅办理过业务 
高兴为您服务 唉你好嗯嗯就是呃中国移动有有短信来什么要帮我开通才因为我什么东西我不要 
您好很高兴为您服务 唉小姐我问一下我刚才接到那个短信说我那个集团的那个彩铃呀撤销了然后又帮我订了一个彩铃是这个怎么回事啊 
您好很高兴为您服务您好 到你们那个 
您好很高兴为您服务 唉你好哎请问一下我的手机它怎么自动升级什么高清什么什么意思啊 
为您服务 那个呃我想问一下我的我那个手机那个人家打过来怎么有那个对方怎么又那个短信那个提怎么提示的 
您好很高兴为您服务 额你好 
您好很高兴为您服务 额你好 
您好很高兴为您服务 喂你好唉小姐你帮我查一下我的那个手机号码啊怎么刚才有人打电话来说我这个手机跟有一部手机怎么捆绑了什么骗人的吗也是你们嗯不需要幺零零八六的好像 
您好很高兴为您服务 唉小姐我想问一下昨天来了个短信啊说我订了四g流量套餐但是我没有订啊 
您好很高兴为您服务 哎你好我想咨询一下就是我办了一个套餐吗 
很高兴服务 唉你好你好请讲对呃刚才我就是那个他现出呃就是跳出来一个账单我就下载了然后呢他就是说一个什么呃一个是软件吗然后他就是叫我发一个就是那个就是手机的那个什么吗就是说 
钟你好谢谢啊 我的流量这个月已经超了嘛刚才我上网查一下详单我我告诉你手机号码幺五零 
您好预处理专席代表很高兴为您服务 呃我想问一下刚刚那个情况你们知道吗 
您好请讲 唉你好唉我这个号码就是给人家绑定微我这个是申呃去年才能办的号码那个之前好像是给人家绑定的那个什么那个微信的之类的呀那我这边取消掉怎么就取消了 
您好很高兴服务 喂你好我这个这个电话号码怎么办理一个什么业务一个月二十分 
您好很高兴为您服务 喂请问一下 
很高兴服务您好请讲您好请问一下我这个手机号码没有绑定银行卡为什么每个月它就这种吗话费扣了你帮我查一下 你本机号码绑定一个工商银行借记卡呀 
您好很高兴为您服务你好就是刚才给我发信息怎么二百分钟的什么东西我的套餐不是了套餐呀怎么两百分钟的 就是说我活动送的它送了连接被这个功能赠送您两百分钟送三个月每个月两百分钟如果您不需要我就帮您取消掉 
您好很高兴服务喂你好我的刚才手机上接到信息怎么怎么会有个什么高清通话什么意思啊 这个是送给您的高清通话就是如果手机支持的话可以用这个高清的您是什么手机啊 
您好很高兴为您服务 就我刚刚收到两条短信说我订购那个彩铃这个东西是什么噢我没有订呀 
您好很高兴为您服务 唉你好我是这个一般四村十五号四零二的 
您好预处理专席代表很高兴为您服务 唉是这样我前面打个你们那个人工啊他让我转过来怎么呃有一个游戏啊他是旁边有一个就是取消键还有个大厦设置很少然后点的时候呢不小心点到下面然后就发个短消息来你可能是 
啊二十元 您好很高兴为您服务 
对啊 唉你好我刚刚刚才我手机换的这边大概小孩子碰到了我那个手机上面怎么会多了那个叫什么呃咕有游戏一个费用乱七八糟的时候换了 
您好很高兴为您服务 唉你好 
您好很高兴为您服务 唉小姐你好是这样的我那个我是用本机给你打的我昨天晚上九点以后一直到今天上午还在收到什么一个一个什么视频啊什么有线的服务扣了我九块钱我现在根本就没有安装过这个业务为什么之前打进来的 
您好很高兴为您服务您好 呃我就是查了一下我的套喂听的太吗听得到你说我就是十八号的时候到那个上海台镇北路营业厅办理了一个测试嗯就是因为充话费送个手机后来我又参加了一个十元的套餐就是共享流量的这个的现在我查了一下这个就是我移动对对那个移动网网上营业厅查了一下怎么多了一个二十四元的套餐了 
您好很高兴为您服务 哎你好我想我名下这个号码上面有一个宽带那个我本来今天需要稍等我一看怎么十二月一号就帮我自动续约 
您好很高兴为您服务 唉你好你帮我看一下我那个手机怎么会有一个我的那个一个开通的怎么会有一个什么什么自选的流量包然后他每个月好像都有的我好像没人过 
您好很高兴为您服务 唉你好那个我想问一下我那个手机里面流量这个国内夜间流量是怎么出来的 
您好请讲 唉你好我取消个问题啊我之前发现就是说那个有个就是流量提醒短信吗但是我的手机每天早上九点四十分就会自动发一个短信六六六六然后你就给我回复每天的这个流量提示因为是您通过手机的一个设置问题但是我的手机的时候是 
很高兴为您服务 噢那个你帮我查一下他我今天收到了一条信息嗯嗯说我临时关闭就是国际漫游但是我没有用已经联系过 
很高兴为您服务 唉你好呀我想问一下我这个手机现在怎么老是出现一个什么和流言啊 
高兴您服务 唉喂你好那个刚才我打电话咨询了一下那个流量加油包吗然后我没有订但是我这边短提示是已经已经给我订了一个什么十九块多的那个四百多兆的流量的加油包了是吗 
您好很高兴服务 唉我刚刚申请的不是喂 
您好兴您服务您好 喂你好我有个投诉一遍 
服务唉你好 啊我想问一下就是我的手机今天上网然后上上一次一批的话就会自动加起来就很奇怪的广告我想问一下这个该怎么去处理一下 
您好很高兴为您服务 唉你好我这个手机上昨天有一个信息呢大概什么游戏我没有下载呀扣掉十块钱 
您好很高兴为您服务您好 喂你好我没有反应你这你帮我看一下我我的套餐好像是五十八块钱的意思怎么现在发信息是八十八元的套餐呢 
您好很高兴为您服务 唉你好哎那个我是机主幺三七六幺二幺五六零 
服务 小姐我没订那个那个充值什么免费流量我没订过什么 
我靠您好很高兴为您服务我你们那个移动公司吗中国移动公司 上海移动 
您好很高兴为您服务 喂你好我想请问一下不用不用你们刚刚转成发了个信息说我每月有三个g那个视频流量我什么时候寄的这个 
您好很高兴为您服务 你好我想问一下那个我刚刚呃手机上有有一笔五十元的充值记录恩我也没通过这个方式是什么情况 
