喂您好 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 彩铃六块六块是什么东西啊 什么阅读 
噢我想问一下我这个手机昨天开通了那个什么那个三十块钱包月的叠加包那个流量是啊嗯 呃你帮我取消掉这个月就这个月就好了 噢就用到这个月底为止 没有你把它取消掉就好了 
我想问一下我现在这个号码是什么套餐啊 我那里面然后三五十八的那你帮我换成你们现在不是有五十八套餐吗帮我改成五十八块套餐吗改那个新飞享五八的对吗对 你你们 就是可以可以可以 
帮我看下我现在呃订购了那个套餐是哪个 我刚我是改过两次一呃的意思改改五八然后呢改八八的是不是 
诶你好我想问一下我现在这部手机那个号码呃套餐是怎么什么什么样子 那还有一个六百兆的流量十块钱你帮我删除了吧 嗯这个是另外的话还有十块的 啊这个是是省内呃是国国内的呢 
诶请问请问我这卡有哪些业务 营业厅里面两毛钱财经对吧号码 六八噢那个能不能把那个嗯月租降低 幺 
哎帮我查一下这个号码是办什么业务呢 嗯嗯 哎这个是什么时候开通的这个这些垃圾呀你能不能查得到那边啊 全部给我取消掉就是难怪我这个电话都没用老人诶这每个月都要几十块几十块到底弄到哪里去 
啊 喂您好麻烦帮我查一下我这个嗯有有什么来电显示还有其他什么 其他我帮您看就是说那个那个彩铃帮我关掉 二五十二月一号才能那干嘛下不是十一月一号不行啊 
诶你好麻烦帮我看一下就是这个 最低消费是 对 呃就是那那个五十块可以取消吗 
诶今天呃帮帮我查一下本机什么套餐呢 啦你是说本机现在是八十八的是吧 
好我就想问一下就是我昨天查那个怎么有那个什么短信发给我是啊什么咪咕阅读那个六块钱那个什么两个g 看小说之类的业务啊 那个什么时候订那个东西 额没看它就没有是吧 
诶请问一下我这个手机这个查吗他就是什么套餐的 好好什么套餐 那像这个移动数据它是一个月是收入是多少 没有流量费啊对二十二一个月 
噢你看你看我的卡有什么业务 那还有什么 那这个这个流量吗 一点五g全国的还是 
好的行 喂你好我问一下我这个卡是一个月是多少的 哎然后这个流量到一百五十然后吧的套餐哎不要好的 哎 
噢帮我看一下那个我手机有开什么业务帮我开 五十块钱的是什么的十块那个吗 啊就那你这个帮我取消掉吧 呃你这个反正就就下个月没有吗是吧 
喂你好 我昨天有刚申请了一个五十八块钱的套餐 然后我原先不是有一个八十八的套餐呢 噢会自动取消掉是吗 
帮我查一下我这个本机有订什么 呃呃那个刚刚给我取消掉 没有就是就是这个额包月那个给我取消 没有没有谢谢你 
呃你好我这手机开通国际漫游了吗 吧好 哎可以开起来哈 四月份噢 
高兴服务 哎你好帮我看一下我下个月套餐是不是八块钱的 好帮我能取消的全部都取消掉预约取消掉 对对对 
喂你好我想问一下我这个手机这个套餐是不是已经失效了呀嗯 对那我三百分钟免费还是两百分钟免费 噢那我等会儿这个月生这个月生效了是吧 还有剩下我都没怎么要用完了另外又没有了我还要套餐那个十八的我现在还有什么里面话费什么不足还在交话费 
看诶你好我刚才办理的套餐就是说有一个是下个月生效的吗然后我现在要取消掉要怎么办 对因为我办错了要另外一张卡 对对对 我到时候会打电话过来通知 
哎你好请我想那个改我现在想问一下我的手机套餐是多少帮我看一下 呃现在是不是有什么八十八元套餐能升级了 呃是升级有什么内容跟我说一下吧 可以吗噢行ok帮我申请八十八套餐 
你帮我查询一下我这个手机是什么套餐 里面有一个那个拨打一分钟是多少 十五兆噢 全国那个现在那个这个流量还有没有什么那个比较合算 
行 啊喂 六五哎你好你你帮我查一下我这个手机号有没有绑绑定一个小孩子的那个校园通 开电视讯通 
我想问一下我这个是反正是五十八是不是五十八套餐了那个怎么会那个欠费掉啊我有流量用了超分钟数有没有超 不客气包是多少包月区 啊 什么优惠啊啊现在在旁边吗 
哎 我今天这个套餐是什么套餐 噢 噢 
哎 噢你帮我看下我这个刚刚开通了什么东西啊 那个刚刚发信息说什么下个月就开始进行了 对啊它刚刚又收到一个短信说下个月几号开始进行什么一年的 
对诶你好我问一下我这个本机套餐是什么样子的 我以前不是五十八吗 呃我交那个二十块流量套餐给我取消吗 哎我知道你怎么不是五十八吗怎么业务可以改吗 
请 噢我想问一下就是我今天刚开了一个流量套餐吗但我这边呃选择是呃立即生效可是短信他通知我说是次月生效 那我现在能取消掉吗 诶 
您好噢你好我想了解一下我现在有开通一个什么手机视频的那个是吗 就是能不能 嗯 对他提示有手机视频 
你好嗯你好那个我我我这个是不是有一个那个七十块流量包我现在想取消了 嗯对对对 谢谢噢 哦好好好谢谢啊 
给我查一下喂你好 那就是我麻烦问一下就是我现在用的是什么套餐 呃因为我现在流量不是超了吗问一下这那个现在有什么别的优惠的那个流量包吗 五百兆的话 
喂你好 我我这个手机是什么套餐的 诶能能不能改改改一下 唉一一有没有一百二十八的那种 
你好我想帮我查一下本机有没有开通那个来电提醒啊 喂 噢没有开通来电提醒你帮我开通一下那是两块钱吗三块钱 现在就开通嘛噢谢谢 
嗯你帮我查一下我那个手机的什么套餐 有用有扣费不用不扣费 一个月九块钱是吧 呃还有其他工更改 
喂您好我想问一下我这本机开通了什么业务 五十八 五十八套餐的话 我想办一个国内全球的流量套餐 
喂你好呃帮我查一下我这个号码的有什么套餐里面的那个话费扣那么那么厉害呀 是流量扣啊 哦就其他还有什么套餐呢 我的那个钱那个厦门翔安那个叫什么什么有什么套餐你帮我删掉就一个月十八块钱的用啊 
诶喂你好嗯麻烦您帮我查一下我现在是什么套餐 五十八块钱的套餐嘛 噢那那呃一个月是多少流量嘞 然后把三十扣 
呃帮我查一下我这个业务跨省之后都都没什么业务了吗 我知道我因为现在在在外省这个这个套餐是不是都不能用了 流量不能用分钟数 呃我就说那送了七百多分钟之后才可以用啊 
一万 喂 呃一个你帮我看下我这边有那个什么多余的东西嘛你帮我看一下除了套餐之外的 啊那彩铃彩铃可以帮我取消掉吗 
喂您好我这手机号里面是不是有绑定一个宽带的东西 嗯但是我这边宽带不行诶 好 五号键再按二号键是吧 
吧 查一下本机什么套餐 有没有开通什么东西 看 
喂诶你好你帮我看下那个套餐付费套餐里面有没有用那个流量包的 谢谢啊 哎还有还有你看下还有其他的其他的业务 取消掉这个月 
诶你帮我看一下我我这个是什么套餐呀 那我那个除了套餐还有没有别的收费业务 啊好好 总共消费了才三十二是吧 
喂您好我想你帮我看一下有没有本机上有没有流量包 噢没有噢 
幺三六 哎你好帮我看下这个手机里面是不是有开通一个流量五十元的那个包 那你帮我取消掉 哦这个是购买的是吗 
哎我刚才订购就是下个月幺幺三八的套餐你那个里面不知道有没有成功帮我查一下 就是我除了等于说我下个月就是这个就是这个三八收费其他都没有收费啊 恩对这个这个套餐是在莆田之内是吧 我知道那个我知道恩还有什么可以帮到您我是说这个套餐就是国内流量都免费然后国内流量剩的流量啊 
帮我看一下我这个卡有开通什么增值业务没有 彩印是吗 来电提醒要不要两块钱一个月 关掉 
哎你帮我查一下我这个电话号码那个是什么套餐的 啊三块钱噢 八块钱它是那种是多少你们那个一个月三十三十分钟对吧 啊包里面流量 
呃帮我看看我有办什么套餐就是呃有一个什么短信什么费三十三块总共 您是什么时候的昨天呢 嗯对 啊没有吗 
喂我都什么地方什么无线业务那个会员 对啊我不要的 噢这样子啊 还还有没有办理什么业务 
我刚有收到一条短信说我的宽带要到期了 噢我好像原来是是办两年的你帮我查一下好的 那你那如果要续费用是怎么收费了 这边这边不能办的是吗呃人工直接办办不了 
呃我想问一下我这张卡办的什么业务 那我可以把那个五十八的套餐取消吗 嗯不改就是不办套餐 那最低套餐是多少 
呃我这个是不是给我开通了咪咕彩印还有什么来电提醒那些吧 全部给我取消掉块 多啊可以 嗯嗯好行都帮我取消掉了噢 
那个呃我这个号码是我开来电显示这个功能是不是 噢那你能帮我关了吗我不是很需要 哦这个是不收的呀 我以为是收费那我这个这个手机号除套餐费之外别的还有什么中增值的那种业务吗 
哎你好呃我你能帮我查一下这个有别的业务吗 呃来电提醒发已经 对这两个就给我消掉吧 好的 
你好请问下麻烦你帮我查一下那个嗯因为我这个卡刚换的呀就是用了一两个月过后是什么东西要取消的诶诶那那边能看得到吗 彩铃啊对没错 彩铃就是嗯 
诶小姐呃这个电话号码那个那个额是什么套餐呢 好那流量有多少 客服是多少兆啊 五百兆 
喂你好 诶那那个你要帮我查找一下这部手机在那里面有什么扣费功能 嗯 问题 
想问一下能不能帮我开通一下那个叫什么那个就是说我没用就是说看到没信号那种自动活动余额和路由器一下网络信箱是吧 噢那就来电提醒吗 呃就是办理了诶有没开通没开通那个呼叫等待啊比如说我在通话别人打电话过来 好好可以可以好 
喂你好 我我现在那个套餐是是不是改了 诶 三十八三十八是想呃是两百分钟是吧 
诶你好麻烦你帮我查一下我这个号它有什么增值业务什么流量共享功能费啊 诶我现在不要了你帮我把这个功能取消掉行吗 都已经情况啊 都要我不要这个共享功能 
请问我流量 我是这样 二二二三幺二 
啊你好请问下就是我这个手机除了那个套餐之外还有什么要收费的业务 套餐能不能改成那个八块钱那个 就是免费的吗 哎对对那么手机能不能取消掉 
诶你好呃就是我这台手机现在是什么套餐你帮我查一下 你帮我把这个取消掉 最低楚的多少最低出多少钱 对对对就帮我改个最低的 
喂您好我想请问一下我现在的手机的流量套餐是有一个五十元一g省内的然后新飞享五十八元的省内的然后还有一个国内的五十元四的那个套餐是吗 然后呢我想问一下就是哪一个会先使用呢 呃可是为什么那个就是我查了一下我这边的流量就是优先使用国内的流量呢 呃我看了一下不是什么意思就是说先优先使用我想问一下这三个呃会优先使用哪一个是先用国内的还是先用省内的 
哎你好你帮我查一下我本机号码是什么套餐呢 噢那个呃那你就帮我改那个现在的飞享十八套餐就是呃一百兆十 恩好可以 嗯谢谢 
啊喂你好 用你好我想那个查一下那个我这个电话使用的套餐是什么套餐 噢十八块钱套餐是吗等一下啊已经四十八元套餐那你要改成八元到账啊那就给我改成八元套餐 那个服务区在宁德就是在宁德了 
接电话交那个喂 我之前不是订了两个六十块钱套餐吗 啊然后我后面又跟他们说能帮我退了吗他们说或者全国工作日内会退还给我吗给我退到现在还没过来 吧再见拜拜喂 
诶帮我查一下下我本机是什么套餐 噢按按不不不那个现在有有有没有人帮我改六块套餐呢 不是的我 那我现在没没有改套餐嘞 
诶您好我意思是我请问一下帮我查一下我的套餐是多少的 十八的套餐 那我是前天有收到信息才都没那个那个还有一百分钟的通话的话费今天才打几分打几十分钟就就就 那就是说我这个一百分钟没有不能用是吧 
还是按十块钱声音口出去诶你好帮我把那个他把相关功能费给我取消掉吧 这一个月是不是上面有一个校讯通缩什么还有个家校互联啊功能费吗 我哪一个是发短信的话一个是经常不用的 十块钱是是什么多少 
你好我查一下我有没有开通国际漫游 我手机现在话费余额多少 嗯然后去台湾的话那个噢那不用了谢谢 
您好什么可以帮助您问一下我这个是什么套餐可以跟我讲一下吧 八十八套餐是吗还有呢 就是八十八套餐里面还是什么啊 三十分钟然后五g流量是吧 
喂您好你帮我查一下我现在这个号码开通了都有什么 就把这两个给我下了好不好 取消掉噢 不客气的没有啦噢诶那我通话分钟用完了然后再打外地的是一分钟多少钱 
你好我想问一下本机的什么增值服务啊 其他 三十块五百兆流量 反正那个三十块五百兆帮我取消掉好吧 
你好你帮我查一下我这个套套餐里面现在什么套餐 流量的一个优惠是什么流量每分钟 嗯 五十块是一g的是吧 
喂你好 你好麻烦嗯麻烦你帮我查一下噢我这张卡的话除了套餐以外有没有开通其他要收费的业务啊好的 被梦网 诶那我想问他们说那我一个月话费怎么用那么多啊就是充了一两百块钱的也不够用可以帮我查一下我话费话费都是用到哪个地方吗 
喂你好你诶你帮我查一下我这个手机有开通什么业务 退掉 诶然后它你你那你这能不能改最低套餐因为我要出去了现这张卡我想给它保存起来 呃好的你给我哪个短信我改成 
喂你好恩你好呃我我我想问一下我这个手机套餐是不是八十八 我可不可以改一下改成五十八我现在好像没怎么打电话 可以可以那你帮我改成八的吧 从下个月开始吧 
诶我想问一下我这套餐是什么样的套餐 保底消费十三包括来显吗 有多少兆的流量 然后省外的 
嗯嗯就我这个手机号有没有订什么套餐这些东西就没有什么增值业务什么 
啊 啊帮我查一下我那个什么流量没有啊 我这个卡还有 我就把那个六十块的 
喂你好我问一下我想问查一下我一个那个流量包还有没有还有没有再再用 呃十块的那你帮我取消掉吧 
你好问一下再见我现在这部手机的那个套餐是多少元的套餐啊 一直都是五十八的名义申请八十八的呀 他那个那个是谁帮他查询这个套餐呀 噢他说那不需要老人家他不需要流量只要电话就可以了你把套餐五十八的本地的那个就电话比较多的那个 
你好你帮我看一下我这个号码是什么套餐 十几块啊 这三十八的也没错然后有送的吧 你叫他们学校来那个退款然后呢不是他开了吧 
诶我想问一下我这个手机有没有开通那个国际漫游国际漫游 好 呃那那帮我开一下 噢好那就这样谢谢 
噢您好我请问一下我那个流量我之前有包的是什么流量 那几g啊 噢都不够用啊 那我问你啊你说五十的等于返还四十我都没余额返还都是十块十块的对不对 
挺 请问帮我查到十元加油包 
呃您好请问一下就是我手机刚刚办好办理了那个携号管理那我现在下个月是不是只有他办理的那个三十八块钱的套餐 您看不到是吗噢那我只能在谢谢再看一下是吧 噢好的好的好没事嗯 
一个问一下我现在订了就是我刚才是用了几个那个三块钱三块钱五百兆的那个小时包 但是那个帮我取消掉两个号我这边王卡没显示说 幺五那我用不完那个一百一千五百兆三四个小时用不完 嗯嗯我不小心点的它那个跟现在网速看一下我连wifi 
噢我这张卡是不是呃八十八元套餐的 然后就是说呃三百分钟免费打然后还还赠送六百分钟对不对 噢这样子 那比如说我我那比如说我用的是莆田卡我人在福州那打的是不是一样的限制 
喂您好麻烦你帮我查询一下我目前十月份用的套餐我有没有更新电话了十一月份还是用十月份的套餐吗 呃我我是不想变更但是好像有有误操作给它变更了我不知道有没有可以受理成功 目前小那就 噢行那我这个三十八元套餐它是是赠送一点一点五g然后通话三百分钟赠送免费是吗 
嗯你好我问一下那我现在这个是什么套餐啊 五十八能不能改三十八的 三三十八的只有五百兆流量是吧 那个那么多三五百兆流量嘞需要 
问一下我这个套餐是说那个现在是八十八的套餐是吧 那你现在能不能改成流量比较大的那另外什么套餐 现在不是有一款什么五十八什么又一g还是多少 噢那我们要先改成三十八才能改成五十八 
喂帮我查一下这个号码一个月有没有那个套餐啦一个月月租是多少钱呐 噢五十八还有没有那个套餐费啊 就是五十八块钱每个月都是五十八还有有十八块钱是赠赠送多少分钟的吗 那一百五十兆是什么一百五十八块 
喂你好 帮我查一下本机那个一个月是多少的的套餐 好 八十八吗 
哎喂你好我好像今天二十帮我开通那个什么和加油包有什么套餐 和校园 看我的扣费扣费还有一个扣扣为什么生效 还一个扣费呀 
那个 嗯请问一下我这我这张卡它上面有没有办宽带 有办理过可以噢好原来话费话费多少那个我这上面还有多少话费啊 升两毛四 
我也因为花三十元套餐那种套餐的我要咨询一下这个手机有什么套餐 就是要现在要添加一个流上网的嗯可以呀 都有什么套餐吗 嗯反正这个 
你帮我查一下我这个什么流量套餐流量的套餐吗 订了我也不呃永定的什么流量套餐 噢那帮我取消掉吗 嗯好像没有了噢 
你帮我看下我这个有什么业务 不要关掉就可以了 对 不客气哎就没了 
我我你帮我查一下看下有没有包开通那个四小时五百兆的那个流量 已经开通了是吗 现在可以用了吗 噢好谢谢你啊 
呃您好我想查一下我这个手机是不是有办理那个家庭网 好好 呃对那你帮我取消吧 嗯 
哎你好我的那手机里面都开通了什么 我比如说 一个月十块钱的二七八 哦高教的活动到什么时候 
诶喂您好高兴为您服务你帮我看下我这手机是不是有个两城一家的套餐啊 噢那你帮我取消掉一下吧噢 嗯已经已经关了是吗 嗯嗯好的好的谢谢啊 
诶喂你好我想咨询一下我这个是现在是什么套餐了 我是八十八的嘛后来一个月怎么扣一百多块 噢那三十块流量是怎么怎么一回事 噢那我现在我就流量不够啊每个月都要多少 
喂您好帮我查一个手机套餐的话是 喂 麻烦你帮我查一下本机是什么套餐 对 
诶你你好帮我查一下我现在这个电话号码用什么套餐 八十八元的套餐是吗 八元八块钱的套餐 那你那我现在我这个月每个月的那个话费有多少 
你好我想问一下我这个手机号码有什么服务密码初始密码是多少 对啊 那麻烦 号好好好的好的呃不用了 
我已那个移动通信的那个是什么那个话费是哪里来的 噢那是流量都没那边超出那边出来呀 噢我说那么今天交二十多块钱 没有反正马上那个如果能如果嗯别的都没有了就是如果那是还有别的什么不需要的人那查一下那个帮我关掉它就 
