为您您好很高兴为您服务喂 诶你好你帮我查一下我本机号码 
您好很高兴为您服务 你好我想问一下噢呃这边十元里面那个流 
您好请说 哎你好 
您好请说 诶你好我想因为我的服务服务密码是多少 
您好请问是您您好我问一下我这个手机的服务密码多少啊 请稍等本机服务密码有改过稍后的话按我发给您的短信回复重新再设一个新的密码 
恩您好您请说您好嗯您好听到声音吗这里是幺零零八六客服热线 请问你们这个手机的服务密码多少 
你看您好请讲 呃我想问一下我这张卡是什么时候开始用的 
嗯嗯七您好请讲 你好我这个手机号嗯那个服务密码多少 
很高兴为您服务 喂你好 
您好很高兴为您服务 呃您好我想问一下就是我这个手机号码那个服务密码是多少啊 
嗯嗯您好请说 诶你好我想知道我这个呃服务密码这个号码的服务密码 
您好什么可以帮您 诶你好你帮我弄一下那个我什么查询密码是多少 
您好请讲 哎你好请问一下我这个运营商的那个服务密码是多少 
你好请说 诶麻烦你帮我查一下我这边是有我的手机号码是不是有个校讯通能不能帮我取消掉 您好请讲 呃帮我把那个呃送诶现在那个呃流量的那个给开开通一下因为我昨天可能给停掉了 啊您好请讲 噢我想问一下因为我的那个呃移动卡有张丢掉了嘛然后去补卡的话他说要 
嗯 您好请讲 
您好请说你好我问一下 我这个在 
您好很高兴为您服务 喂你好麻烦你帮我查一下本机号的密码的是多少的 
您好请说 不要把这个手机号码那个服务密码是多少啊 
你好 哎你好你帮我查一下那个什么手机卡里边密码 
您好很高兴为您服务 哎你好 
嗯您好请说您好 诶你帮我查一下我这张卡的那个服务密码是多少 
您好高兴为您服务 这个手机是不是我本人的 
您好很高兴您服务 喂你好 
您好请讲您好 喂呃您好你好诶我这个手机那个平台服务密码是多少 
您好请讲 呃我想问一下就是我们积分兑换东西嘛噢 
您好请说 呃你好我 
嗯嗯您好请说 哎你好那个我想问一下我这个手机号的那个手机服务密码剩多少怎么设置呢你那边能查得到吗 
您好请说 乱喂 
哎 您好请讲 
您好很高兴为您服务 诶那个我就是服务密码就是忘记掉只能在你这边帮我找一下吗 
您好请问您稍等 哎你好我这个我这个不是福建的卡吗 
你好您好 喂你好我想问一下就是我的手机服务密码是多少 
您好请说 喂你好呃我问一下这个号码以前是不是有别人用户在使用啊 
您好很高兴服务 喂你好我这个本机啊你帮我查一下我这个本地号码是多少 
您好请说 你好想请问一下我这个服务密码我之前都没有改过是到呃这个服务密码是多少啊 
嗯你好请讲 呃那个我问一下我们这个手机校园卡那个呃学校异地由的密码 
您好有什么需要帮助的 诶请问一下我想问一下我本人的这个号码的那个电话服务密码多少 
嗯很高兴为您服务您好 喂你好帮我查一下那个这个号码的那个电话服务密码 
你好请说 那可以帮我查一下我这个手机的呃宽带密码是多少吗 
嗯你好请讲 你好帮我查一下我这个户名的话我的名下有几个号码 
您好请说 喂你好我想查询一下我这个本机号码的那个服务密码是多少 
您好请讲 呃玻输入密码是吧 
你好请讲 帮我本机号码发过来给我一下 
你好 喂你好接免费对 
您好请说 你好我这个手机号的那个业务密码不记得了然后每次都要打人工台问了 
对您好很高兴为您服务 喂你好你麻烦你帮我查一下大概十一点四十分左右有一个发给我的我想问一下那个号码是多少我刚才手机关机了就想问一下后来我找不到谁给我打的 
您好请说 那个我的服务密码忘了那怎么办 
您好请讲 哎我想问一下就是这张卡的流量是是怎么使用的流量使用情况这个我看不到呀我只能出去不是我是说这个月的流量它这张卡总流量一个月是多少的 
您好请讲 医生喂你好你好喂和家庭能不能听得到有什么可以帮到您先帮我查查一下我的那个那个服务密码 
您好有什么可以帮助您 我手机的那个服务密码是多少 
嗯 啊 
您好请讲 噢你好我想查一下就手机本机的服务密码多少 
好请说 诶你帮我查一下本机号码是那个全球通还是说只是本地的用户啊 
你好 你好 
你好你好 帮我查一下我这本机号码是多少 
好你好 诶你好我想问一下说那个 
宽带 您好很高兴为您服务您好 
您好请说好的 恩 
您好很高兴为您服务啊你好我想问一下我这个比如讲我想查上两个月的通话那个那个那个通话记录但是要怎么查呢 您好您是用手机才是说要打印出来 
一个 你好请说 
您好请讲 诶你好我想查一下那个查询密码 
有什么能帮您二诶你帮我查一下一个号码他姓什么叫什么名字号码可以查吗 不能这个是个人隐私安全问题没有直接直接查到啊 
您好请讲 呃我想问一下我这个手机卡初始密码是多少 
喂您好 真的这个它这个您好喂呃你好我问一下我的套餐是全球通的套餐是吧 
您好请说您好 喂你好哎想如果要本机号码多少 
嗯你好 哎你好诶我想问一下我这张卡是不是全球通啊 
您好什么可以帮助您呃我想问一下这边 那个我上个月打了一个那个福建宁德的能不能查得到呢 
你好请讲 你帮我查一下我这个号码的尾数是多少本本 
很高兴为您服务 哎您好 
很高兴服务 我说 
下午好您好诶您好 呃我想问一下我这张卡号码的服务密码是多少忘了因为有点九了然后刚刚就需要那个就是说用到这个服务密码 
您好兴您服务 我这个你好麻烦你看一下我这个密码我这张卡的密码都给我返回去外地嗯 
您好请讲 本地的电话号码是多少 
你好 本机电话号码多少 
您好请说 喂你好能不能帮我查一下我这个本机的手机电话号码呀 
您好请讲 嗯嗯比如说我现在这个手机的服务密码呢就是说本机服务密码是多少 
您好请问什么可以帮到您 哎你好请问一下嗯嗯查那个宽带我要我哎想要问一下密码多少哦是那您宽带的话 
您好很高兴为您服务 哎你好帮我看下咱们这个服务密码是多少 
啊您好很高兴您服务喂诶你好 诶你好就是我之前 
您好请说 你好我我我就是有一个那个宽带嘛宽带然后我路由器换的东西七然后现在不知道你们这个密码多少登陆那个密码多少 
您好很高兴为您服务 你好我想问一下能不能查到我这个身份证下面有几张电话卡 
您好请说 啊帮我查一下我的服务密码是多少 
啊您好请问什么可以帮助您喂您好在服务密码忘记了你帮我查一下吗噢您您稍等我看一下您之前有从这个密码如果您忘记的话我后续把密码重置的方式发到您的手机上您可以发短信重新设置新的密码好吧好的谢谢啊恩不客气请问什么可以帮助您没有了谢谢恩不客气那祝您生活 
你好 这样子啊你好我想问一下我那个宽带密码是多少那个机顶盒的 
您好请说 你好 
哼 您好请讲 
哎您好请讲 你好怎么这么少啊 
您好您请说诶小妹你好诶我问一下噢 比如说我能不能查出我去年是一年时间的一年半时间能不能卡是我我去年跟对方的通话的那个记录你说什么人人工我是有能不能打印的出来 
而且还要去微信您好很高兴服务 喂你好麻烦你帮我查一下我这个号码这个是以前用的我都忘记了说 
您好请说 哎你好我想我想帮我帮我查一下那个个家庭网成员现在是有谁啊 
您好请讲你好 哎你好请问一下那个吧我这部手机的一个什么服务号服务密码到底是什么什么什么密码 
您好请讲 啊你好 
嗯嗯您好很高兴为您服务 你好我刚设置密码我不行啊你帮我查询一下吧 
今天 您好请问你好 
嗯幺早上好请说 喂你好我想请问一下我这个号码的那个服务号码是多少 
您好请说 喂你好我这个卡然后先买的卡那个密码是多少呢 
多少 您好请讲 
你好请讲 我买过来我哪里去了吧 
你好哎你好 然后我想就是你你那边可以查一下就是呃我我是我那个就是我现在就是那个身份证上面有有用了多少个移动号码吗 
您好请说 呃您好我是想问一下我这个手机号的那个务密码是多少 
嗯 你好请说 
您好请说 哎你好我想查一下我的宽带账号跟密码 
您看嗯请问一下我这部手机的服务密码是多少 呃服务密码忘记了是吧请您稍等那个身份证号码记得吗 
您好请说 然后我能查一下我这张卡绑定的那个卡的号码多少我忘记了 
早上好很高兴为您服务 呃我想问我是本机号码是多少 
现在怎么这么好玩您好很高兴为您服务 哎你好呃你帮我查一下那个我的这个家庭号码服务一到五五九对应的电话号码 
您好请讲 哎你好我这个号码有加入那个家庭号码你能不能把家庭号 
你好请说 你好我问一下就是说我这个卡应该是动感地带的吧这不 
嗯嗯您好请讲 喂你好你你可以帮我查一下这个手机号码手机号的这个密码多少 
您好请说 诶我问一下我上面那个电视机顶盒账号和密码是多少 
你好请讲 我问你啊给我一个号码你帮我看一下什名字叫什么名字啊 
您好什么可以帮您 你帮我那个服务密码查一下 
中午好 呃我想问一下我那个服务密码 
你好请说 喂你好我想麻烦你给我查一下我这个我这个本机号 
您好请说 请问一下我这个三三二幺是不是全球通啊 
您好请说我想问一下我这张卡是不是龙岩的嘛噢对没错然后这种然后我是在福建用嘛然后如果回去龙岩的话在就是在龙岩地区打就是全国套餐里面都是免费的时候就一百分钟吗 对您的一百分钟只能在龙岩使用的 
是吧 您好请讲 
您好很高兴您服务 喂你好就是就是我现在人在外地了嘛然后我现在这个这个手机这个卡这个套餐是全球通是不是全国通 
您好请说 喂您好我想查一下我本机号码 
您好很高兴为您服务 你好那个噢那个你帮我查一下我这手机号码多少然后帮我开通下手机的地址开始可以吗 
恩您好您请说 哎你好我想问一下就是这个呃我这个号码的那个好的哎呃那个服务密码是什么呀再设置了 
你好请说 喂你好 
您好请讲 哎你好 
您好请说你好嗯嗯 诶我想查询一下那个那个小区宽带那个密码能查得到吗就是我昨天又给他改但是现在网上拨号过不了嗯 
你好 诶你好我问一下 
嗯嗯您好您请讲 哎你好我问一下我这个我家里面家庭它那个是龙岩卡嗯就这样来修掉了不会再那个重新那个手机的卡呢 
噢您好请说诶 你好我想咨询我这个手机号码那个才用了多久啊 
嗯 您好很高兴为您服务 
您好请讲 噢你好我想问一下我的手机宽带现在地址我就会在哪里啊 
你好请说 哎你好请帮我查一下我这个卡的那个初始密码是多少啊 
诶您好 诶你好我想问一下我啊五 
嗯嗯 您好请讲 
您好很高兴为您服务 喂你好 
您好请说可以听得到吗 可以可以 
您好请讲 哦我就是想问一下不是我这个卡是福建那边卡吗能不能转回四川呀 
您好很高兴为您服务喂你好 您好 
你好 喂你好 
您好请说 喂你好我想知道一下我这个手机上呃手机联的那个wifi账号是哪个是宽带账号呢对对对宽带账号 
您好请讲 嗯请帮我查一下我这个手机号码手机号的密码 
很高兴为您服务您好 你帮我查一下我这个号码是什么什么号码 
您好请说您好 哎你好哎你好我想请问一下我这个号码是不是全球通的我那个办的我不知道了 
嗯你好请讲诶我想问一下那个本机的那个服务密码是多少噢服务密码我看一下哦女士您好 那这个您要通过短信重置了编辑短信四零一号六位数的新密码 
好的嗯下午好 嗯诶你好呃我这个手机号码的密码不是啊嗯身份证密码我记得你帮我转接一下然后我按月份 
您好您请说诶你好 呃我想了解一下我我这部手机的密码是多少啊 
您好请讲 喂你好 
您好请说诶那个你好我这个本机号码的那个服务服务密码服务密码多少噢服务密码忘了你这边是那要重置一个密码那身份证号码知道吗知道知道我说一下然后我帮您转接语音台您输一下身份证号码然后再重置一个密码 呃呃那个 
你好 噢你好我想知道我那个那个这部手机的密码是多少 
你好噢 喂你好你帮我帮我看一下我这个手机的号码那个服务密码是多少呢 
你好 呃你帮我查询下我这个来电呃那个号码是多少因为这是老人机一点坏的按键坏了查不到是有这电话号码 
您好请说 哎你好我想请问一下我这个号码的那个业务密码不知道 
您好请说 你好我这个手机号码服务密码我查一下 
您好请讲 啊喂你好 
您好请讲 喂你好我想查一下就是呃 
您好请讲 今天我这宽带的密码能不能发一个给我说我都忘记掉了 
您好高兴服务您好 诶你好请问下我这个号码是全球通的吗 
好的您好请说 那个你帮我看一下我手机的那个密码服务密码 
嗯哎您好请说 诶你好我这张卡的那个服务密码是多少忘了 
唉呀 您好请问什么可以帮助您 
您好很高兴为您服务 你好我想嗯 
您好请说 诶你好我刚才是不是办了一个就是用我的手机号码办那个手表嘛然后这个手表有个电话号码我忘记了 
您好很高兴服务 嗯请帮我查一下这个是还是谁的名下 
您好请讲你好 诶我前段时间有做一个过户吗 
没您好请讲 诶请问一下我的手机的密码是多少啊 
您好请说 哎 
您好很高兴为您服务 喂您好呃女士你好你帮我查询一下那个家庭网里面有几个号码呀 
您好请说 哎你好我想查一下我忘记我的服务密码了 
早上好 哎我那个手机那个密码多少是不是啊 
您好请讲 诶你好刚才我接到的电话是八八二五零五六五 
您好很高兴为您服务 就是我想查那个看一下自己的服务密码放假 
您好请讲 哎你好那个麻烦你帮我查询下我这个手机号的话是绑定谁的身份证 
您好请说 喂您好我那个客服密码多少你可以改一点啊 
您好请讲 诶你好我想问一下我这个手机还就是初始密码我也忘记了呀 
哦您好请说 哎你好因为我我我想查询一下我那个宽带的密码忘记了 
啊我请您您好您需要请讲请说 按嗯那个那个本机号码帮我查一下 
您好请讲 诶我问一下那个我想问一下这个电话卡是三g还是四g的 
您好请说 喂那个我那个服务密码是多少 
嗯哼您好很高兴为您服务 诶你好那个嗯就是那个什么呢 
您好很高兴为您服务 喂你好那个我这个我这个卡是新买的那我我他说要密码我上微信它说要密码我不知道密码是多少啊怎么办 
您好很高兴为您服务 你好我的手机服务密码是多少 
其他的您好很高兴为您服务哎你好 麻烦你帮我查一下我这手机的号码是多少 
您好请讲 你好帮我查一下本机号码是多少 
你好早上好 诶你好噢我这边想公司做测试的你帮我看一下我这个是不是三星的 
中午好很高兴您服务 请问一下我本机的那个服务密码是什么知道了 
您好请讲诶你好 那麻烦你可以帮我查一下我那个宽带的账号跟那个密码我这个网络有问题 
您好请说 喂你好哎你说一下我手机的服务密码呢 
您好有什么可以帮您查一下手机号码是多少 手机号码我给您转语音台您收听一下好吗 
您好很高兴为您服务喂你好呃我想问一下我的移动 移动那个网络电视那个机顶盒他讲那个用户密码是不是我的手机账号 
你好 喂你好我想查询一下我本机的什么呃什么咪服务密码是什么啊wifi都忘记 
七你好请讲 等下我这个服务密码是多少啊 
您好请讲 诶你好它这张机主是黄国盛还有困难发呢 
您好请说 喂你好我想查一个号码的那个呃联系那那个那个绑定的付费号码 
您好请讲 请问我那个手机号码这个是什么这这个是本机号码嘛是不是是那个幺八八五九九 
您好请说 嗯请问一下我这个因为我现在本人是在那个深圳厦门这张卡是那个福建厦门的吗我现在看一下对然后就说我这边的流量我我可以用嘛就是说要 
您好请说 喂你好 
您好您请说 诶请问一下我这个移动号码怎么 
你好你好多少 呃您要查询您本机号码多少是吗 
您好请讲 喂您好我这手机的服务密码忘记了你帮我查一下是多少 
嗯哼 你好什么可以帮您 
您好请讲 那怎么我的我那是什么卡现在还是是银卡客户还是什么时候 
您好请说 啊您好我想问一下我这张卡是动感地带的还是全球通的是这么差怎么看的 
您好请说 您好你说呃我是是这样子的我这卡现在是在福建那边嘛我这是全球通还是什么情况 
您好请讲 噢喂诶你好呃我想那个知道我这个手机的服务密码是多少 
您好请讲 喂你好帮我查一下我这个手机号码的服务密码是多少 
嗯嗯您好很高兴为您服务 哎你好 
您好高兴为您服务您好 你好麻烦你帮我查一下我手机密码是多少 
您好很高兴为您服务唉你好就是我在我网上营业厅兑换那个积分啊后面它说什么输入客服密码再 就是六位数服务密码呀积分的话就留您的密码您不知道是吧 
您好高兴您 你好你帮我查个号码对吧我的另外一个号码幺五三个零二二三幺四八 
您好很高兴为您服务 唉你好是这样子的我的手机出了点呢然后的话呢等我再登录的时候呢他就一直让我输入那个pin码查一下这个片满的换的是那个咱们移动卡上面这种副卡的密码对吧 
您好很高兴为您服务 唉喂你好 
哎我想问一下我这个手机号码的密码多少兆怎么查 密码是要自己设置的您现查不到的 
很高兴为您服务 你好我想问一下我那个真的身份证名下有多少时候扣电话多少个号码我想把它核实了一下 
您好高兴为您服务您好 你好刚才你们打过去打我电话吗 
您好很高兴为您服务 喂你好 
您好很高兴为您服务 唉你好 
您好很高兴为您服务 喂你好 
您好很高兴为您服务 唉你好麻烦你帮我看一下我这个号码是多少 
您好很高兴为您 喂你好请问我这个是不是四g的 
您好兴为您服务您好 喂你好 
好很高兴为您服务唉你好我想查一下手机号码是否本人是名认证的好哪个号码您报一下幺五九幺五九二幺零 吧 
您好很高兴为您服务 哎你好我们这边是银行嘛然后客户到我这边来开卡我核实一下他这个手机号是不是本人的好的 
高兴为您服务 喂你你你你能告诉我那个我的服务密码是多少吗那个不知道 
您服务 唉喂你好哎我想咨询一下我这个手机号的那个客服密码是多少 
您好很高兴服务 喂你好我是在官网上兑换的积分啊然后他说输入客服密码我客服密码 
您好很高兴为您服务 唉你好我服务密码忘啦你帮我看一下这个户主是不是叫刘我 
哦 唉你好我办了一个就是你们的宽带不是送一个固定电话给我的吗我现在想了我这个固定电话的明细app上那个掌上营业厅好像看不到固定电话能联系啊对用固定电话打进打出的那个号码 
您好很高兴为您服务 你好我想请问一下本机号码是实名认证的吗 
您好很高兴为您服务 呃您好刚才接到你们一个电话说什么实名制登记啊因为是有这么回事去 
高兴您服务 喂你好我刚才在中国移动那我这个手机号码现在转这个幺九八了你看看你那边确认一下是不是在杨小芳名下 
您好兴为您服务您好 唉喂你好啊我想查询一下一个不是我本地是一个其他的号码你能帮我查一下吗 
您好很高兴为您服务 唉你好那个先生我想查一下我的号码嗯嗯 
高兴为您服务 喂 
您好很高兴为您服务 你好我这边这个电话号码我的那个客服密码是多少啊 
噢您好很高兴为您服务你好你帮我看一下我手机的手机号的那个就改去改那个套餐那个密码怎么设置的 那登记的身份证号码知道吗 
您好很高兴为您服务唉你好是这样有电子信箱嘛麻烦 是这样就是 
您好很高兴为您服务 哎你好我想看一下我的 
您好很高兴为您服务 嗯行就是你好我就想问一下我这边的话就是我这个手机号码绑定的那个固定电话的号码是多少 
您好很高兴为您服务 唉你好帮我查询的号码 
您好很高兴为您服务 你好小姐就是现在不是那个发了一个信息要怎么开发票提供纳税人识别号麻烦你帮我查一下上海正品贸易有限公司那个开的发票是 
您好很高兴为您服务 我现在维修我这个现在这个卡是本地上海卡吗呃 
您好很高兴为您服务 唉你好你帮我查一下我这个手机号张卡是幺五零零零六三四幺八那个谢谢对是不是还不是四g的卡呀 
您好很高兴为您服务 喂您好这里是银行的我这边客户要办卡我需要做身份证认证 
您好很高兴为您服务 喂您好帮我查个手机号码的姓名叫啊 
您好很高兴为您服务 哎你好我想问一下我这个宽带账号是多少呀 
您好很高兴服务 唉小姐我想知道我的本机服务密码 
您好很高兴为您服务 呃你好你这是第一个接电话我刚才是不是打电话的一个是你接的 
为您服务 请帮我查一下我手机的密码是多少 
您好很高兴为您服务 唉你好我想咨询一下就是说手机实名制的话呃可以委托人家办理吗 
您好很高兴为您喂你好查的实名字号码报一下 嗯幺三六零幺七二零九四六 
您好很高兴为您服务 唉你好唉我是我这个号码有有一个那个办理一个那个中国有限公司办理一个一个宽带那个好像应该有故障现在正在修能不能发给我就是它需要一个这个账号和密码你这个用发给我吧 
您好很高兴为您服务 喂唉小姐你好先生是我这边能不能查一下就是呃我刚才拨打的这个电话就是它具体是在哪个是哪个地方吗 
很高兴为您服务您好 啊我现在就是说那个宽带已经停机了对吧 
谢谢啦 您好很高兴为您服务 
您好很高兴为您服务 唉你好那个我家里的那个宽带密码不记得了知道吗 
喂 您好兴为您服务您好你好你 
很高兴为您服务 您好我有个号码我想核实下 
高兴为您服务 哎我想问一下就是前面接到一个幺零零八六的电话说什么喂说是工业和信息化我的手机是名字管理虚拟副号去进行实名登记就是专栏吗 
您好很高兴为您服务 喂你好我想查一下我那个这个手机号码的密码我给 
您好很高兴为您服务 喂你好那个就是有一个上海的号码能不能帮我验证密码对不对 
您好请讲嗯请问喂你好 你帮我查一下号码 
您好很高兴服务 唉你好我现在我这个手机号码这个客服密码我忘记了 
您好很高兴为您服务这个我我那个查询密码忘记了我现在能找到吗 手机的服务密码是吧 
为您服务刘您好请说 就是我这个六到那服务密码你知道吗 
您好很高兴为您服务 喂你好唉我想要服务密码因为我现在在在浙江这边我的卡要申请 
您好很高兴为您服务 唉你好那个我想问一下就是我这个手机号是那个公司办理的然后呢我现在想知道这个就是你们有一个中国移动的ipp那个登陆的密码吗现在它呢需要我是说是输入一个密码但是我不知道这个密码然后打你们这个幺零零八六重置呢我输入这个就是这个证件号码他说输入有误不对所以我想问一下是应该是哪个证件号码 
您好很高兴为您服务 哎你好我想查一下手机号跟名字对的上吗 
您好很高兴为您服务 喂你好那幺七七号码开头的是不是电信的还是移动的 
您好很高兴为您服务 你好我想请问一下就是我的手机卡是在河北办的然后呢昨天那个手机卡它呃手机被偷了然后手机卡也丢了我想在上海这边办挂失的话就补办一张卡的话他需要那个服务密码我当时去买那个手机号码的时候那个恩嗯嗯不记得他就给我那个服务密码那种 
您好高兴为您服务 喂你好问一下这个手机号码的姓名是不是在胡利群 
您好请讲 唉你好我一个还有一个手机就是说上次卡被锁定了你能不能帮我几天呢 
园信息 公司那你帮我查一下我店里的宽带帐号密码吧 
很高兴为您服务 你好我想问一下那个就是我这卡本地是外地的吗那我想买上海的这个充值卡他能充进去吗 
您好很高兴服务 噢是这样的我在那个网上有积分换那个话费然后他最后出来两个孔一个是让我点那个什么短信确认吗那个一点击就会发到手机啊还有一个是什么客服密码那个客服密码到哪里去弄 
您好很高兴为您服务 哎你好你能查到我现在这张卡上面办了几张副卡吗 
您好兴为您服务您好 唉你好帮我那个手机号码这边登记一个核对一下 
您好很高兴为您服务您好 呃您好是这样然后我想让你帮我查一下我宽带的账号密码 
