你好请讲其他 喂您好 先生嗯请讲 你帮我查一下我这个手机呃订了哪些套餐能看得出来吗 
您好很高兴为您服务你帮我查一下我这什么套餐本机是月租费十三块套餐十三块套餐对十三元六十三元是吧对十四号好好然后来电显示要另外收啊还有来电提醒噢那你查一下我这个接下来是半年之前的半年内每个月大概消费多少上个月是六十三包月上个月三月份四十二 十兆七月份是六十九 六六月份是 六十一啊 
你好请讲 哎你好我想问一下我上面的流量我不是开了三十块钱五百兆吗 您这个没有开流量套餐啊 什么时候开始没有开啦 
您好请说 呃那个上次我有申请那个手那个更换套餐那个有没有帮我有没有申请下来呀帮我看一下 这边显示您这个号码目前还是属于旧版的三十八套餐啊并没有改到那个新的三十并没有看到有更改套餐的一个记录 没有我上次申请一下我想我想改为那个八块钱的套餐 
您好很高兴您服务 呃您好就是麻烦你看一下我呃帮我看一下我这里面有没有一些要收费短信那个增值业务 好的女士我帮您看一下除了基本套餐的话是一个流量王的一个是套餐除了这个以外的话其他的收费服务帮您查询一下您稍等一下这边有个彩印功能但是已经有登记了下个月取消掉了 二 
对您好请讲 哎你好我想了解一下我的每个月的套餐 有两样是吧嗯套餐是八十八的二级八十八是吗还有一个流量的活动十二月一号到期 帮十二月活动是吗 
嗯哼 有什么可以帮您 喂你好我想问一下了我也现在这个套餐是什么套餐 您现在用的是新飞享系列十八套餐里面还有国内流量一百兆嘛然后省内流量赠送您两百兆然后本地打国内电话两百分钟吗 
用过只有一条 很高兴您服务您好 呃请问我现在什么套餐 您现在用的是五十八的套餐 
嗯您好请讲 喂你好呃我想问一下我目前那个手机的套餐是什么样的一个情况 您现在套餐是校园四十八的套餐这款的四十八是吧对没错四十八 每个月多少g流量 
您好请讲 诶你好所以我这个呃卡开通了哪些业务啊 这张卡的话就是五十八块钱的套餐有开一个来电提醒功能还有幺三九邮箱彩印和彩铃功能 那为什么这个话费去了这么快啊 
您好很高兴为您服务 你好我想问一下我这手机是用用什么套餐呢嗯嗯 这个用的是飞享三十八现在用的是新版的三十八 噢这个月还没开始用啊到下个月开始 
您好请讲 哎你好我想问一下你帮我查一下我上下个月是什么套餐 下个月 嗯就那五十八五十八 
嗯嗯您好请说有什么可以帮您的 你好我麻烦你帮我查一下我这个有哪个收费的业务好不好 噢目前使用您的套餐啊没什么收费的业务啊 啊 
您好请说 哎喂哎谢谢你唉呀二 您好什么可以帮助到您 帮我查一下我的我这个手机套餐什么套餐 
嗯啊您好很高兴为您服务您好嗯 呃我那个三十块钱流量包那个取消掉取消了没有这个月 请稍等一下这个月已经没有三十块的流量包了 噢取消掉啦 
您好诶你好我问一下这个这个号码的话它有开通什么业务 请您稍等帮您查询一下您本机是是呃不客气我们应该做的您本机是十八的这样子一个套餐然后您这边额外我这边查询就没有这个其他的这种付费的包月的增值业务了 然后套餐它是怎么个意思里面内容都是什么样的 嗯十八的这个套餐是您本地打国内有一百分钟的分钟数跟国内流量这边一百兆这样子的一个 
您好很高兴为您服务 喂你好 你好 噢我想问一下我现在有哪一些业务手机上 
嗯嗯 您好请讲 帮我查一下我那个那个买个六十块流量成功了吗 六十元流量已经生效了现在可以使用了 
您好请说 喂那你帮我帮我查一下他他给我那个手机电话套餐是多少 新飞享八十八套餐 有通话通话多少分钟的 
嗯您好请说 哎你好你帮我查一下我你这个本机开机啊什么套餐 嗯办的是十八套餐除了这个还有来电提醒然后三块钱的彩印 那还有什么 
很高兴为您服务 诶我问一下我这个换本地的号码套餐什么套餐 三十八的套餐一点五g的省内流量三百分钟的本地通话这种 三十八套餐呀没有 
嗯您好请问什么可以帮助您 你帮我呃这个手机卡有没有开通那个移动流量包啊 呃没有就十八块里面赠送的一百兆其他都没有 噢它这个套餐这个卡是什么套餐呢 
嗯嗯再见您好很高兴为您服务 诶您好小姐能不能帮我查一下我妈妈手机号码这个幺三五九九零三二幺八零这个是什么套餐啊 幺三五五九九零三二幺八零是吗 对对对对 
您好请讲 喂你好帮我查一下我这个下个月开始是五十八的套餐是啊 您这边下个月是不是五十八的套餐这边查询是的您已经改成五十八的了五十八 是不是只有我一百五十分钟啊 
您阖家幸福您好诶你好 我想问一下 现在就是我们这个手机还有什么送宽带业务的吗送宽带是吗宽带那个套餐要捆绑啊 我们套餐是多少 
为您服务诶你好 喂你好你帮我查一下我这个嗯八十八块钱的套餐到什么时候到期好 你好之前的活动是二零一八年一月一号就结束了就到今年十二月份噢 二零一八年 
您好请讲 诶你好我想问一下我刚才订的那个就是网上包两块钱一g的四个小时现在有没有生效啊 已经生效了可以用了噢 噢就问一下哈 
早上好请讲 嗯你好我想问一下你我这个你帮我有什么开通有什么业务的有没有这边哎要收费的啊 您稍等我看一下啊本机号码的业务除了您的呃您下个月是改成了这个三十八的套餐那其他收费业务就没有啦 诶那那我每天怎么都都要去了呃那个一块多那个扣费扣扣什么费那个 
嗯那您好请讲 诶您好嗯能不能帮我查一下我这个套餐我这个月没有来电提醒啊一个定向业务啊 你这边是没有开通来电提醒的 可是我的手机短信有收到是怎么回事啊 
喂你好 呃那个我请问下我手机是不是有那个网络限速啊 看一下哈您稍等 啊喂 
您好高兴您服务 喂你好 哎你好我 啊我这个手机的有什么套餐什么的有没有这个本机的 
四g功能 您好您请讲 喂你好 诶您好 
您好 诶你好请问啊帮我查一下我这个套餐还有开了什么功能啊我 前 好像前一段时间交了一百多块钱现在怎么不足余额不足十五元的你帮我查一下看看 
不是 您好请讲 啊喂你好呃我想知道就是我这个手机出就是有我办理了几个套餐 嗯请稍等女士您这边收费的只有三十八元套餐然后您有一个来电提醒三块钱另外这边有个彩铃还有一个彩印 
你好请说 包含什么增值业务什么短信包十块钱帮我扣掉我来彩印三块钱帮我扣掉了是吧呃您好那我帮您看了一下这个业务它是 已经取消了下月一号就没有了 两个都没有是吧 
您好请讲 我想查一下我这张卡有没有开什么其他的东西 好的您这是一个流量套餐其他都没有了他们 刚才发一条信息给我说有开什么彩铃什么 
您好请说 那个帮我查一下我这张这张卡办理有没有办理什么其他套餐这个资费是到底是多少 噢我帮您看了下我们就用的是十八块钱的套餐 什么或者这个 
早上好您请说在 诶你好我刚刚帮我查一下我们刚充了一个四g流量套餐这个你帮我查一下 好您是说充值的四个g的流量是吗恩对收到 短信说让我 
你好 喂你好 嗯 我想想问一下我这个手机上套餐到底是哪个套餐昨天有发了九十九套餐幺八八十八套餐我都自己 
您好请讲 噢我想问一下我这个手机昨天开通了那个什么那个三十块钱包月的叠加包那个流量是啊嗯 那有看到了 呃你帮我取消掉这个月就这个月就好了 
您好很高兴为您服务 我想问一下我现在这个号码是什么套餐啊 或者是您这个是三十八块钱一个月的一百分钟五百兆跟来电显示 我那里面然后三五十八的那你帮我换成你们现在不是有五十八套餐吗帮我改成五十八块套餐吗改那个新飞享五八的对吗对 
您好什么可以帮您 帮我看下我现在呃订购了那个套餐是哪个 您这个月办的是三十八的下个月改了改成八十八的 我刚我是改过两次一呃的意思改改五八然后呢改八八的是不是 
您好请讲 诶你好我想问一下我现在这部手机那个号码呃套餐是怎么什么什么样子 那是五十八套餐里面是有办了就是四百分钟三g的流量 那还有一个六百兆的流量十块钱你帮我删除了吧 
前面也上面都没有亮没有喂你好哎你好先生 诶请问请问我这卡有哪些业务 稍等我看一下 营业厅里面两毛钱财经对吧号码 
您好很高兴为您服务 哎帮我查一下这个号码是办什么业务呢 请您稍等我帮您查询一下 嗯嗯 
啊 您好请讲 喂您好麻烦帮我查一下我这个嗯有有什么来电显示还有其他什么 我帮您看一下套餐十八的来电提醒已经预约到期自动关了彩铃也是然后来电显示是送的其他包月的话暂时没有开通 
早上好请讲 诶你好麻烦帮我看一下就是这个 手机它 最低消费是 
您好请说 诶今天呃帮帮我查一下本机什么套餐呢 转入本机是新飞享八十八套餐下个月是吗下个月改成五十八的商旅套餐一百五十分钟一百五十兆流量的可以用完 啦你是说本机现在是八十八的是吧 
呃您好请讲 好我就想问一下就是我昨天查那个怎么有那个什么短信发给我是啊什么咪咕阅读那个六块钱那个什么两个g 咪咕阅读就是手机上网那您手机我就上网看那个呃看小说啊之类的这些业务 看小说之类的业务啊 
您好请说 诶请问一下我这个手机这个查吗他就是什么套餐的 的套餐现在用的是一个飞享八块钱套餐 好好什么套餐 
您好高兴您服务 噢你看你看我的卡有什么业务 挺好您稍等一下有开通的业务是来电提醒然后你自己月租三十八 那还有什么 
好的行 您好请讲 喂你好我问一下我这个卡是一个月是多少的 好的您稍等一下哈 
您好 噢帮我看一下那个我手机有开什么业务帮我开 我帮您看一下呃您目前的话我帮您看一下您这边有一个三十八的基本套餐额外还有个五十块钱流量包这个业务 五十块钱的是什么的十块那个吗 
你好 喂你好 嗯请说 我昨天有刚申请了一个五十八块钱的套餐 
您好很高兴为您服务 帮我查一下我这个本机有订什么 您有订购了一个十八套餐还有来电提醒其他收费包月我帮您查询噢才家庭网其他暂时是没有了不是有一还有您学校那边有一个和教育沟通包月的 呃呃那个刚刚给我取消掉 
您好请讲 呃你好我这手机开通国际漫游了吗 嗯我帮您看一下哈啊您好您这个漫游功能还没开要帮您开一下 吧好 
高兴服务 您好请说 哎你好帮我看一下我下个月套餐是不是八块钱的 嗯马上帮您查询啊对的 
您好有什么可以帮您 喂你好我想问一下我这个手机这个套餐是不是已经失效了呀嗯 套餐的话都不会失效呀您这个是十八元套餐吗 对那我三百分钟免费还是两百分钟免费 
哎嗯吧您好请讲 看诶你好我刚才办理的套餐就是说有一个是下个月生效的吗然后我现在要取消掉要怎么办 取消掉 对因为我办错了要另外一张卡 
您好请说 哎你好请我想那个改我现在想问一下我的手机套餐是多少帮我看一下 您套餐五十八元一个月 呃现在是不是有什么八十八元套餐能升级了 
你好很高兴为您服务 你帮我查询一下我这个手机是什么套餐 八十八套餐 里面有一个那个拨打一分钟是多少 
行 您好请讲 啊喂 什么可以帮您 
您好很高兴为您服务 我想问一下我这个是反正是五十八是不是五十八套餐了那个怎么会那个欠费掉啊我有流量用了超分钟数有没有超 呃您这边五十八套餐套餐外的话您这边是有那个来电提醒扣了两毛钱然后有使用到一些信息台的信息费扣了八毛钱所以总共是消费了五十九块那咱们上个月余额是五十八块五毛六所以刚好欠了四毛四这边 不客气包是多少包月区 
哎你好 哎 哎有什么可以帮助您的 我今天这个套餐是什么套餐 
您好请说 哎 你好 噢你帮我看下我这个刚刚开通了什么东西啊 
您好请讲 对诶你好我问一下我这个本机套餐是什么样子的 本机套餐办的是一个八十八块钱的套餐包含两百二十呃包含这个一千两百分钟通话还有五个g流量 我以前不是五十八吗 
请 助的这个办那么好啊您好请讲喂呃您好 噢我想问一下就是我今天刚开了一个流量套餐吗但我这边呃选择是呃立即生效可是短信他通知我说是次月生效 为您办的是那个七十块的流量包因为您有去参加了那个送话费的活动它就只能是下个月生效如果说您单单没有参加活动的时候今天开的话它是立即生效的 
您好噢你好我想了解一下我现在有开通一个什么手机视频的那个是吗 的我看一下啊 就是能不能 是吗不客气帮您查一下里面没有手机视频 
您好请讲 你好嗯你好那个我我我这个是不是有一个那个七十块流量包我现在想取消了 嗯我帮您看一下嗯对那帮您取消掉是吗 嗯对对对 
你 给我查一下喂你好 你好 那就是我麻烦问一下就是我现在用的是什么套餐 
你好 喂你好 恩还有什么需要帮助吗 我我这个手机是什么套餐的 
您好请您说 你好我想帮我查一下本机有没有开通那个来电提醒啊 好我马上帮您检查现在您手机没有开通来电提醒呢 喂 
您好请讲您好嗯请说恩看一下 嗯你帮我查一下我那个手机的什么套餐 恩好的我帮您看一下您现在本机套餐呢是九块钱的套餐然后包含三个g的视频优酷视频流量然后套餐里面的话额外还有一个一天一块钱五百兆的流量包 有用有扣费不用不扣费 
你好请说 喂您好我想问一下我这本机开通了什么业务 您好您现在是飞享的三十八套餐下个月改成了五十八套餐 五十八 
您好请说你好 喂你好呃帮我查一下我这个号码的有什么套餐里面的那个话费扣那么那么厉害呀 帮您查询我帮您查看一下这个月到目前为止的话是流量扣的 是流量扣啊 
您好请说 诶喂你好嗯麻烦您帮我查一下我现在是什么套餐 结果他消费您是五十八块钱套餐 五十八块钱的套餐嘛 
哎你好很高兴为您服务三十号诶您好 呃帮我查一下我这个业务跨省之后都都没什么业务了吗 呃我看一下请稍等噢您好哎呃我看了一下您这边办理的业务就是基本套餐三十八有一个是嗯流量的活动这边看一下还没到期嗯还有一个是夜间活动下个月也取消啊 我知道我因为现在在在外省这个这个套餐是不是都不能用了 
您好很高兴为您服务五元月租还有三十五块钱噢你好诶 一万 是五十啊您好您的电话已接通一下一百一十六了 喂 
你好需要什么帮助 喂您好我这手机号里面是不是有绑定一个宽带的东西 嗯对您这套餐七十九的是属于宽带类型的套餐啊 嗯但是我这边宽带不行诶 
您好请讲 吧 你好您好 查一下本机什么套餐 
您好请讲 喂诶你好你帮我看下那个套餐付费套餐里面有没有用那个流量包的 付费套餐您稍等就开通的业务是吧有一个五十元的流量包是要取消吗 谢谢啊 
应该没您好请讲 诶你帮我看一下我我这个是什么套餐呀 十八元飞享套餐噢已经是十八元的是吧 那我那个除了套餐还有没有别的收费业务 
您好请说 喂您好我想你帮我看一下有没有本机上有没有流量包 好的没有开流量包流量的话一个月是月租里面一个g然后另外是赠送的一个纸没有开通的 噢没有噢 
幺三六 您好请讲 哎你好帮我看下这个手机里面是不是有开通一个流量五十元的那个包 嗯没错 
您好请说 哎我刚才订购就是下个月幺幺三八的套餐你那个里面不知道有没有成功帮我查一下 有订购成功了下个月一号开始生效先生 就是我除了等于说我下个月就是这个就是这个三八收费其他都没有收费啊 
您好请讲 帮我看一下我这个卡有开通什么增值业务没有 噢您稍等这边马上帮您看啊您好这边帮您看了一下您除了一个基本套餐呢它是呃有给您赠送一个来电提醒的业务这个是长期有效的啊除了这个以外呢还有给您赠送一个彩印的业务那彩印 彩印是吗 
您好请讲 哎你帮我查一下我这个电话号码那个是什么套餐的 呃您现在这个号码现在用的是飞享八块套餐八块钱对 啊三块钱噢 
您好请讲 呃帮我看看我有办什么套餐就是呃有一个什么短信什么费三十三块总共 短信嗯 您是什么时候的昨天呢 
您好您说 喂我都什么地方什么无线业务那个会员 呃咪咕会员这个您是要您是已经登记过了月底取消之前是八月份的活动已经有预约过了月底关闭啊 对啊我不要的 
您好您请讲噢八十八吧噢帮您跟安心心按键 我刚有收到一条短信说我的宽带要到期了 嗯嗯那您现在这边是来电确认一下是不是要靠呃是不是要到期对吗 噢我好像原来是是办两年的你帮我查一下好的 
您好请说 呃我想问一下我这张卡办的什么业务 稍等一下感谢耐心等待帮您看了一下这个号码下个月剩一个五十八的套餐还有一个是两块钱来电提醒 那我可以把那个五十八的套餐取消吗 
您好请说 呃我这个是不是给我开通了咪咕彩印还有什么来电提醒那些吧 没有看一下呃对它这个有来电提醒还有这个彩印咪咕特级会员这几个业务 全部给我取消掉块 
您好请讲呃喂您好呃您好 那个呃我这个号码是我开来电显示这个功能是不是 我看一下您稍等恩好的这边查询是有开通的 噢那你能帮我关了吗我不是很需要 
嗯您好请讲 哎你好呃我你能帮我查一下这个有别的业务吗 这个是三十八套餐然后您上面有一个我看一下有一个来电提醒跟彩印其他没什么了 呃来电提醒发已经 
你好什么需要帮助 你好请问下麻烦你帮我查一下那个嗯因为我这个卡刚换的呀就是用了一两个月过后是什么东西要取消的诶诶那那边能看得到吗 好的没问题它是有一个彩印来电提醒咪咕彩铃这三个到期了可以取消掉了 彩铃啊对没错 
您好很高兴服务您好 诶小姐呃这个电话号码那个那个额是什么套餐呢 您目前用的是四g飞享的三十八元套餐 好那流量有多少 
那这么说 喂你好 卡就 诶那那个你要帮我查找一下这部手机在那里面有什么扣费功能 
你好您好很高兴为您服务您好什么可以帮助您的诶您好 想问一下能不能帮我开通一下那个叫什么那个就是说我没用就是说看到没信号那种自动活动余额和路由器一下网络信箱是吧 您是要来电提醒还是语音信箱来电提醒是关机跟没信号别人打您电话没接到那你二十四小时之内开机会收到短信提醒您什么号码给您在什么时间来过电话 噢那就来电提醒吗 
您好请讲 喂你好 额请说 我我现在那个套餐是是不是改了 
您好请讲 诶你好麻烦你帮我查一下我这个号它有什么增值业务什么流量共享功能费啊 嗯嗯噢帮您看一下请稍等嗯这个就是您有添加流量共享上个月 诶我现在不要了你帮我把这个功能取消掉行吗 
嗯很高兴您服务 请问我流量 您好请说啊你好帮我查一下我想查另外一个卡那个套餐是什么套餐的可以吗密码知道吗 我是这样 
您好请说听得到吗那今天开通 啊你好请问下就是我这个手机除了那个套餐之外还有什么要收费的业务 请您现在的帮您查询您的套餐十八块除了套餐以外的话我看一下噢除了套餐以外的话这边查看一下没有定制收费的业务了啊 套餐能不能改成那个八块钱那个 
啊您好您请讲 诶你好呃就是我这台手机现在是什么套餐你帮我查一下 八十八的商旅套餐每个月三百五十分钟流量三百兆 你帮我把这个取消掉 
嗯你好 喂您好我想请问一下我现在的手机的流量套餐是有一个五十元一g省内的然后新飞享五十八元的省内的然后还有一个国内的五十元四的那个套餐是吗 对的 然后呢我想问一下就是哪一个会先使用呢 
您好请说 哎你好你帮我查一下我本机号码是什么套餐呢 您这是很早之前的神州行大众卡的套餐套餐费是十二块钱一个月 噢那个呃那你就帮我改那个现在的飞享十八套餐就是呃一百兆十 
噢请讲 啊喂你好 什么东西 用你好我想那个查一下那个我这个电话使用的套餐是什么套餐 
您好什么可以帮您 接电话交那个喂 哎您好 我之前不是订了两个六十块钱套餐吗 
您好请说 诶帮我查一下下我本机是什么套餐 本机十八元套餐四g飞享十八元嗯嗯 噢按按不不不那个现在有有有没有人帮我改六块套餐呢 
您好请讲 诶您好我意思是我请问一下帮我查一下我的套餐是多少的 本机的话是十八的套餐 十八的套餐 
还是按十块钱声音口出去诶你好帮我把那个他把相关功能费给我取消掉吧 呃什么功能费 这一个月是不是上面有一个校讯通缩什么还有个家校互联啊功能费吗 嗯成长帮手跟校讯通要取消哪一个 
行早上好请说 你好我查一下我有没有开通国际漫游 恩好的请您稍等我帮您看一下嗯以后您这边有开通国际漫游 我手机现在话费余额多少 
您好什么可以帮助您问一下我这个是什么套餐可以跟我讲一下吧 八十八的套餐啊就是包含一千两百分钟通话五g流量跟来电显示呢 八十八套餐是吗还有呢 还有 
您好请说 喂您好你帮我查一下我现在这个号码开通了都有什么 您现在开通了只有个基本套餐五十八元的套餐然后呢有一个恩有一个三块钱的彩印功能还有彩铃功能五块彩印三块其他服务没有了 就把这两个给我下了好不好 
请问有什么可以帮您嗯 你好我想问一下本机的什么增值服务啊 话费的好稍等一下有那个 其他 
你好 你好你帮我查一下我这个套套餐里面现在什么套餐 套餐您这个十八元的套餐还有参加了我们一个流量的活动优惠然后我看一下没有其他业务收费了噢 流量的一个优惠是什么流量每分钟 
你好 喂你好 啊您说哎 你好麻烦嗯麻烦你帮我查一下噢我这张卡的话除了套餐以外有没有开通其他要收费的业务啊好的 
您好 喂你好你诶你帮我查一下我这个手机有开通什么业务 那银行卡月租五十然后有一个腾讯视频的流量这个二十四块钱要不要退掉啊 退掉 
您好请说 喂你好恩你好呃我我我想问一下我这个手机套餐是不是八十八 对是八十八的 我可不可以改一下改成五十八我现在好像没怎么打电话 
哎您好很高兴为您服务 诶我想问一下我这套餐是什么样的套餐 套餐现在这个号码动感地带网聊十三块钱的套餐 保底消费十三包括来显吗 
您好请讲喂你好 嗯嗯就我这个手机号有没有订什么套餐这些东西就没有什么增值业务什么 一个什么腾讯的会员什么有吗没有什么腾讯会员您这个号码就基本套餐八块来电提醒跟彩印其他业务都没有噢那谢谢啊其他没了谢谢恩好的那 
嗯您好请说 啊 恩你好 啊帮我查一下我那个什么流量没有啊 
您好很高兴为您服务 喂你好我问一下我想问查一下我一个那个流量包还有没有还有没有再再用 帮我看一下流量包三十八是五百兆的啊您还有办了一个师傅或者 呃十块的那你帮我取消掉吧 
你好 你好问一下再见我现在这部手机的那个套餐是多少元的套餐啊 呃您是三十八的 一直都是五十八的名义申请八十八的呀 
啊 你好你帮我看一下我这个号码是什么套餐 噢十三元的超级网聊套餐是很早以前旧版本套餐了 十几块啊 
您好高兴为您服务您好 诶我想问一下我这个手机有没有开通那个国际漫游国际漫游 稍等一下 好 
您好请讲 噢您好我请问一下我那个流量我之前有包的是什么流量 有办一个五十块钱的流量活动嗯我看一下啊可能是五十块钱一个月然后每个月给您返还四十元您自己只要花十块钱的这个活动 那几g啊 
挺 您好请讲 请问帮我查到十元加油包 开通十块钱一百兆的加油包是吗呃开通完马上生效月底自动取消的呃那流量如果没有使用完它是不累积到下个月的噢好帮您办好了已经生效了现在就可以用了恩还有什么可以帮助您的呢 
您好请讲 呃您好请问一下就是我手机刚刚办好办理了那个携号管理那我现在下个月是不是只有他办理的那个三十八块钱的套餐 哎十号了之前套餐我看不到啊 您看不到是吗噢那我只能在谢谢再看一下是吧 
嗯您好 一个问一下我现在订了就是我刚才是用了几个那个三块钱三块钱五百兆的那个小时包 嗯三个 但是那个帮我取消掉两个号我这边王卡没显示说 
您好请讲 噢我这张卡是不是呃八十八元套餐的 嗯对新飞享八十八套餐 然后就是说呃三百分钟免费打然后还还赠送六百分钟对不对 
请您好很高兴为您服务 喂您好麻烦你帮我查询一下我目前十月份用的套餐我有没有更新电话了十一月份还是用十月份的套餐吗 更新电话二您现在使用的是三十八套餐到下个月的话还是用三十八元的新飞享套餐没有变更都没变更噢是没错 呃我我是不想变更但是好像有有误操作给它变更了我不知道有没有可以受理成功 
您好请讲 嗯你好我问一下那我现在这个是什么套餐啊 噢五十八的飞享套餐 五十八能不能改三十八的 
哎你好你好 问一下我这个套餐是说那个现在是八十八的套餐是吧 对三百五十分钟三百兆的 那你现在能不能改成流量比较大的那另外什么套餐 
哎您好 喂帮我查一下这个号码一个月有没有那个套餐啦一个月月租是多少钱呐 呃基本套餐一个月是五十八块的 噢五十八还有没有那个套餐费啊 
您好请说 喂你好 您好 帮我查一下本机那个一个月是多少的的套餐 
唉呀您好您请讲 哎喂你好我好像今天二十帮我开通那个什么和加油包有什么套餐 什么套餐 和校园 
嗯 那个 您好请讲 嗯请问一下我这我这张卡它上面有没有办宽带 
你好 我也因为花三十元套餐那种套餐的我要咨询一下这个手机有什么套餐 现在用的就是三十八套餐女士 就是要现在要添加一个流上网的嗯可以呀 
您好很高兴为您服务 你帮我查一下我这个什么流量套餐流量的套餐吗 嗯嗯 订了我也不呃永定的什么流量套餐 
啊好下午好 你帮我看下我这个有什么业务 您这边除了这个基本套餐之外有一个呃那个爱奇艺那个视频流量包 不要关掉就可以了 
