诶你好你帮我查一下我本机号码 幺五零五九幺六四九幺六 好谢谢啊不客气祝您愉快再见 
喂你好麻烦你帮我查一下本机号的密码的是多少的 对 我是在安溪 
不要把这个手机号码那个服务密码是多少啊 好 然后重新操作是不是 
哎你好你帮我查一下那个什么手机卡里边密码 啊应该是把那个呃这个幺五二的现在我打的这个 幺八二的号码呀 
哎你好 请问一下我的那个手机服务密码是多少 重新获取怎么获取啊 
诶你帮我查一下我这张卡的那个服务密码是多少 呃 身份证号码记得啊 
这个手机是不是我本人的 我提供给你啊 我刚才网上查了一下怎么我的移动什么时候不是我的我用了七八年东西我不是我的 
喂你好 呃就是说我想问一下我的手机号的服务密码 是您本机吗对我 
喂呃您好你好诶我这个手机那个平台服务密码是多少 啊 对三明沙县的 
呃我想问一下就是我们积分兑换东西嘛噢 然后他是说要填那个客服密码那个密码是什么 对 
呃你好我 帮我查一下那个本机那个呃网络电视的密码是多少 多少 
哎你好那个我想问一下我这个手机号的那个手机服务密码剩多少怎么设置呢你那边能查得到吗 啊可以的好的 好的谢谢 
乱喂 哎 诶你帮我查一下我本机电话号码是多少 
哎 峨眉你帮我看下我这个卡的密码密码也那个初始密码是服务密码是多少啊 噢那我要怎么弄啊 
诶那个我就是服务密码就是忘记掉只能在你这边帮我找一下吗 对本机的 噢你这边不能到了吗 
哎你好我这个我这个不是福建的卡吗 然后我现在在贵州这边它信号有点咯我打贵州这边幺零零八六他叫我什么在那边的什么数据刷新一下吧 可以正常用到跑到贵州来这边信号是有师傅的就是 
喂你好我想问一下就是我的手机服务密码是多少 啊好 我我那个就是过了就是下一个幺零零八六二十四吗还是那等一下它它为什么不错手机移动号码 
喂你好呃我问一下这个号码以前是不是有别人用户在使用啊 呃我我我我问我想问问一下 呃他可能你以前它可能算了上次还是什么的这个公安局都打电话过来找找以前的业务我 
喂你好我这个本机啊你帮我查一下我这个本地号码是多少 噢九九八零九九八零零 区七五幺二 
你好想请问一下我这个服务密码我之前都没有改过是到呃这个服务密码是多少啊 那你可以报的那个关改掉吗 那现在这个密码是多少得到吗 
呃那个我问一下我们这个手机校园卡那个呃学校异地由的密码 那个 噢 
诶请问一下我想问一下我本人的这个号码的那个电话服务密码多少 
喂你好帮我查一下那个这个号码的那个电话服务密码 呃步骤我那个弄不了上面发什么 那你刚才我打一次他说什么你那边直接就转语音操作 
那可以帮我查一下我这个手机的呃宽带密码是多少吗 啊好 一下我先设置一下 
你好帮我查一下我这个户名的话我的名下有几个号码 好 哦带上身份证号好行谢谢谢谢 
喂你好我想查询一下我这个本机号码的那个服务密码是多少 呃无法查询那我怎么怎么办呢需要怎么怎么设置吗因为我不知道 嗯嗯 
呃玻输入密码是吧 对 那初始密码是多少 
帮我本机号码发过来给我一下 噢好谢谢您 不要了还有网站 
喂你好接免费对 有听到吗 噢我想问一下我的这个号码的那个服务密码是多少 
你好我这个手机号的那个业务密码不记得了然后每次都要打人工台问了 对的 诶好的谢谢 
喂你好你麻烦你帮我查一下大概十一点四十分左右有一个发给我的我想问一下那个号码是多少我刚才手机关机了就想问一下后来我找不到谁给我打的 也看不到你帮我看一下 噢那未接来电也查不了吗 
那个我的服务密码忘了那怎么办 噢行 
哎我想问一下就是这张卡的流量是是怎么使用的流量使用情况这个我看不到呀我只能出去不是我是说这个月的流量它这张卡总流量一个月是多少的 对那怎么我我听因为这张卡是别人拿过来的吗 怎么昨天又条信息发过来说只有一百兆了这个手机这个流量不是一天一g的嘛昨天 
医生喂你好你好喂和家庭能不能听得到有什么可以帮到您先帮我查查一下我的那个那个服务密码 女生等一下你等一下 也查不到那我那边喂你好 
我手机的那个服务密码是多少 对 身份证号码是吧恩对知道 
嗯 不要 喂你好帮我查一下我这个号码的那个服务密码是什么 
噢你好我想查一下就手机本机的服务密码多少 对对然后那个发送到哪里呢 噢好的 
诶你帮我查一下本机号码是那个全球通还是说只是本地的用户啊 这个号码是全球通的是吗 然后那个套餐里面有什么 
你好 呃问一下我这张卡现在是不是四g的能不能查到天啊对 四g卡是吗问一下就说有的地方可能那个四g没覆盖到的话它会不会自动切三g 
帮我查一下我这本机号码是多少 幺七八幺 五三零二是吧幺七八五零七七五三零二是吧 
诶你好我想问一下说那个 那我这边好像用的时候感觉是那个二g没有显示四g是什么原因 呃不显示四g但是我就是用手机手机插上去的话因为我是四g手机吗插上去的话就显示一个g的话就是只只有二g 
宽带 诶你好帮我看一下那个本机是什么卡 噢那可以转全球通吗 
恩 这个手机手机密码到底是多少 不是这个是是那个不是智能机 
您好很高兴为您服务啊你好我想问一下我这个比如讲我想查上两个月的通话那个那个那个通话记录但是要怎么查呢 打印出来 噢我是我是帮别人查的我就想帮别人的那个身份证哪些号码报修可不可以办啊要本人带上身份证光手机原件嗯手机跟身份证原件到营业厅去查询办反正如果是我帮别人是那样子是不能查的噢 
一个 哎你好帮我看一下我的线就是一定要还有多少小时 噢是分钟啊嗯嗯噢那你帮我呃可以帮我看可以看得到那个就是登录cmcc异地游的登陆密码吗 
诶你好我想查一下那个查询密码 我知道 诶 
有什么能帮您二诶你帮我查一下一个号码他姓什么叫什么名字号码可以查吗 那姓什么可以查得到吗 移动公司可以查得到吗 
呃我想问一下我这个手机卡初始密码是多少 那我们这边请您帮我查一下我这个噢您是在福建省内吗啊对对对 嗯不用了好 
真的这个它这个您好喂呃你好我问一下我的套餐是全球通的套餐是吧 是全国内接听免费吗还是接听省内的发发到那个港澳台对对对噢呃东北的也不行吗 那我打打一百一次多少钱的出来分钟的一个情况下要一毛九噢一毛九是吗 
喂你好哎想如果要本机号码多少 今天 可以号 
哎你好诶我想问一下我这张卡是不是全球通啊 全球通啊 那如果去了外省流量是怎么用的 
那个我上个月打了一个那个福建宁德的能不能查得到呢 g 
你帮我查一下我这个号码的尾数是多少本本 二幺零七 好吧 
哎您好 呃能不能帮我查一下我这个手机号的服务密码 怎么设置啊 
我说 哎 那我的密码不知道我要查这个得要密码 
呃我想问一下我这张卡号码的服务密码是多少忘了因为有点九了然后刚刚就需要那个就是说用到这个服务密码 对对对我已经在福建省 噢好的 
我这个你好麻烦你看一下我这个密码我这张卡的密码都给我返回去外地嗯 啊 是的 
本地的电话号码是多少 知道了谢谢 
本机电话号码多少 谢谢了 
喂你好能不能帮我查一下我这个本机的手机电话号码呀 都是幺五七幺六零九七零幺七吗 噢好的谢谢啊 
嗯嗯比如说我现在这个手机的服务密码呢就是说本机服务密码是多少 哇不知道是多少 我现在都还没有以前不是说说这边查就可以了我都还没有开通过 
哎你好请问一下嗯嗯查那个宽带我要我哎想要问一下密码多少哦是那您宽带的话 好 连路由器连接的 
哎你好帮我看下咱们这个服务密码是多少 对 啊是的南平 
诶你好就是我之前 就你帮我看一下是不是用我的名字 另外一个号码 
你好我我我就是有一个那个宽带嘛宽带然后我路由器换的东西七然后现在不知道你们这个密码多少登陆那个密码多少 其他号码办的 其他号码服务密码什么什么服务密码那个账号对吗 
你好我想问一下能不能查到我这个身份证下面有几张电话卡 嗯其他没有了 
啊帮我查一下我的服务密码是多少 噢 知道我知道 

这样子啊你好我想问一下我那个宽带密码是多少那个机顶盒的 啊机顶盒密码我忘记了 啊本机的 
你好 呃我想咨询一下噢 就是说我要查询那个名下的有几张电话号码怎么查怎么查询呢 
哼 喂你好请问下本机是是用哪个姓名登记的 名字你看不到吗 
你好怎么这么少啊 我的宽带账号多少 这样子那密码呢 
比如说我能不能查出我去年是一年时间的一年半时间能不能卡是我我去年跟对方的通话的那个记录你说什么人人工我是有能不能打印的出来 你们为保证几个月 前五个月有保障其他都没有了 
喂你好麻烦你帮我查一下我这个号码这个是以前用的我都忘记了说 那比如说我号码 套餐因为这个我不知道是不是幺零零八六发的就是昨天有一个像福州福州手机号发的 
哎你好我想我想帮我帮我查一下那个个家庭网成员现在是有谁啊 额 噢对对对 
哎你好请问一下那个吧我这部手机的一个什么服务号服务密码到底是什么什么什么密码 对啊 噢我是福建省啊 
啊你好 呃帮我查询一下我的那个宽带账号密码 呃密码 
你好我刚设置密码我不行啊你帮我查询一下吧 服务密码是吗 不行啊我刚设置不行 
今天 诶我想问一下我这个手机的服务号码的服务密码是多少 对 
喂你好我想请问一下我这个号码的那个服务号码是多少 呃对对对 知道 
喂你好我这个卡然后先买的卡那个密码是多少呢 您只要安装的想 噢噢好的您稍后留意下我发给您设置方法好的嗯嗯好的好的 
多少 呃我想要知道我这个手机的服务方面服务密码是多少 噢好 
我买过来我哪里去了吧 喂你好 哎我想问一下我这手机号码的这个服务密码是多少 
然后我想就是你你那边可以查一下就是呃我我是我那个就是我现在就是那个身份证上面有有用了多少个移动号码吗 噢到营业厅就可以差不多它这个就是嗯就是全国就是全国的前面哪个地方的时候我在我们现在都能查到是不是 哎那个有的就是我最近的时候就是接到那个什么说我那个电话号卡欠费但是那个号卡我没有用过 
呃您好我是想问一下我这个手机号的那个务密码是多少 我因为现在没问题啊我现在剩下办理因为我要幺幺六嘛原来 呃就是我上一次我直接去用完了卡 
嗯 那个原先签宽带不是有送的电视盒 知道啊 
哎你好我想查一下我的宽带账号跟密码 呃对 噢好谢谢 
您看嗯请问一下我这部手机的服务密码是多少 二g的 噢那你是说要怎么弄 
然后我能查一下我这张卡绑定的那个卡的号码多少我忘记了 是吗 我这张卡绑定那个副卡号码多少忘了因为我应该零五 
呃我想问我是本机号码是多少 好 幺八三五零八六五零八六 
哎你好呃你帮我查一下那个我的这个家庭号码服务一到五五九对应的电话号码 噢没有了谢谢你噢 
哎你好我这个号码有加入那个家庭号码你能不能把家庭号 好谢谢噢 
你好我问一下就是说我这个卡应该是动感地带的吧这不 那去外地的话的话费也是一样的吧 五百兆可以用啊六百兆啊 
喂你好你你可以帮我查一下这个手机号码手机号的这个密码多少 您那个 是啊 
诶我问一下我上面那个电视机顶盒账号和密码是多少 什么服务密码 有没有我不懂我忘记的 
我问你啊给我一个号码你帮我看一下什名字叫什么名字啊 我就是没有我忘记我这张卡是我自己的身份证吗还是别人的什么时候来 什么密码 
你帮我那个服务密码查一下 噢那行 知道 
呃我想问一下我那个服务密码 对对对我忘记 嗯嗯 
喂你好我想麻烦你给我查一下我这个我这个本机号 有交费了我不知道手机号码 号好好 
请问一下我这个三三二幺是不是全球通啊 对 那我想问一下如果我在泰国呃要不要申请什么别的别的那个国际漫游流量 
您好请说我想问一下我这张卡是不是龙岩的嘛噢对没错然后这种然后我是在福建用嘛然后如果回去龙岩的话在就是在龙岩地区打就是全国套餐里面都是免费的时候就一百分钟吗 在龙岩的话就打哪里的都可以嘛是不是确认没错 噢噢噢行好嗯行谢谢噢嗯 
是吧 喂 哎你好呃是这样的我手机刚才有个号码打进来然后我现在的话是找不到那个通话记录啊我想查一下那个手机打进来的那个号码 
喂你好就是就是我现在人在外地了嘛然后我现在这个这个手机这个卡这个套餐是全球通是不是全国通 对然后我现在就是想把这张卡就是那个能不能改的套餐 因为它这个收费我现在在外地流量用不到嗯通话用流量上用 
喂您好我想查一下我本机号码 没有欠费噢然后那个本机号码再报一下嘞 幺八三六六零五零 
你好那个噢那个你帮我查一下我这手机号码多少然后帮我开通下手机的地址开始可以吗 对 噢我的意思说你帮我开通立即开机麻烦你帮我查一下我的手机号码是多少 
哎你好我想问一下就是这个呃我这个号码的那个好的哎呃那个服务密码是什么呀再设置了 要要到时候要要是要带身份证是的吧 我之前在我在外省的时候他说我我觉得回了这个这个之前打的电话多少 
喂你好 噢我想查询一下那个哪一天的那个嗯来电的来电那个单子呃是 对对对 
哎你好 噢你好我想我想那个查询一下我这个手机那个服务密码是多少我也忘记 噢是的 
诶我想查询一下那个那个小区宽带那个密码能查得到吗就是我昨天又给他改但是现在网上拨号过不了嗯 对就是我重新设置了一下路由器但是无线路由吗现在就是进不了 有啊我已经弄好了但是它那个我现在密码已经弄好了但是密码是随便动是不是 
诶你好我问一下 嗯我另一个号码是它是不是我的身份证办的你看我老婆用的我手机丢掉了 我身份证号码告诉你啊你给我查一下好不好 
哎你好我问一下我这个我家里面家庭它那个是龙岩卡嗯就这样来修掉了不会再那个重新那个手机的卡呢 密码密码没有嘞不用身份证 昨天回龙岩补啊 
你好我想咨询我这个手机号码那个才用了多久啊 就是这个号码很多人打电话过来问我是谁 看不到啊嗯 
嗯 你好我想查一下我这个服务密码是多少 嗯好好 
噢你好我想问一下我的手机宽带现在地址我就会在哪里啊 那有可能看到几号楼吗 十号楼 
哎你好请帮我查一下我这个卡的那个初始密码是多少啊 我没有获取过啊 这张卡我记不住我身份证号码身份证没带身上 
诶你好我想问一下我啊五 呃我这边女士宽带密码忘记了能不能帮我查一下啊 就是我这个手机号码 
嗯嗯 诶你好我想问一下我这个呃手机号码的服务密码是多少我刚才有改过一次可是呃还是不对感觉就是登录的时候显示还是不对 对已经进行有超过 
喂你好 喂你好我我一个就是想问你我这个手机的号码的用户号是多少 服务号也是服务密码吗 
可以可以 请问一下我是那个那个福建的卡吗 我人在海南吗然后就是那个我的套餐里面不是有省内套餐吗省内流量套餐 
哦我就是想问一下不是我这个卡是福建那边卡吗能不能转回四川呀 没办法是吧这个只能是福建那种 噢噢那我我听他那个可以转回我也真的可以嘞 
您好很高兴为您服务喂你好 诶那个我这个手机号的服务密码是多少啊 对对对 
喂你好 万的 宽带那个密码忘了你能帮我查一下吗 
喂你好我想知道一下我这个手机上呃手机联的那个wifi账号是哪个是宽带账号呢对对对宽带账号 可是为什么我我无线网那里面收不到这个账号呢 
嗯请帮我查一下我这个手机号码手机号的密码 呃能不能再普通就是我想问一下那个上次 噢这样子 
你帮我查一下我这个号码是什么什么号码 噢好 噢嗯嗯 
哎你好哎你好我想请问一下我这个号码是不是全球通的我那个办的我不知道了 是全球通的你你说这个是 就是说我想不用这个号码我要怎么处理啊这个嗯嗯 
嗯你好请讲诶我想问一下那个本机的那个服务密码是多少噢服务密码我看一下哦女士您好 一号 拨打的流量发给您哈呃好好好谢谢啊 
嗯诶你好呃我这个手机号码的密码不是啊嗯身份证密码我记得你帮我转接一下然后我按月份 反正下 我是因为我是用手机 
呃我想了解一下我我这部手机的密码是多少啊 身份证号码知道吗带身份证号码知道吗 
喂你好 哎我的身份证登记的就是要查了总共现在用了几个号码能不能查出来了 那我没有就是说我没有身份证身份证号码报过去家里的只能是帮我解决吗 
呃呃那个 
噢你好我想知道我那个那个这部手机的密码是多少 呃身份证号码知道啊 噢服务密码二十八弄 
喂你好你帮我帮我看一下我这个手机的号码那个服务密码是多少呢 我这样子直接改掉了 可以啊 
呃你帮我查询下我这个来电呃那个号码是多少因为这是老人机一点坏的按键坏了查不到是有这电话号码 幺三诶 三七 
哎你好我想请问一下我这个号码的那个业务密码不知道 哎 身份证号码知道 
你好我这个手机号码服务密码我查一下 可以 噢没有了 
啊喂你好 什么我那个家庭网的号码现在有几个 那再帮我加一个号码可以吗 
喂你好我想查一下就是呃 近两个小时来有有没有就是我打电话的时候那个有没有谁又给我打过电话的这个记录你可以通过一下 嗯好的好我知道了现在为准 
今天我这宽带的密码能不能发一个给我说我都忘记掉了 有啊 全部等于说全部的实名说什么呢 
诶你好请问下我这个号码是全球通的吗 呃全全国接通接听免费啊 噢 
那个你帮我看一下我手机的那个密码服务密码 我就是在福建省莆田市涵江区啊 好 
诶你好我这张卡的那个服务密码是多少忘了 那我加入专线 我人在福州啊 
唉呀 你好你帮我查一下我好像一张卡不记得什么号码好像是我自己实名制登记的 我报身份证号码也查不到吗 
