诶我那个我这个流量没有开通五百兆啊什么时候帮我自动帮我开通那个 唉你们那现在等于是最低是多少兆多少块二十几块套餐是不是 三十块他说三十块五百兆吗 
喂你好麻烦你帮我查一下这个号码奇怪昨天晚上一直有那个什么公司扣那个什么情况我觉得很奇怪 会收到短信然后我没有任何操作呀昨天晚上七点多的时候 行好的 
请问一下就是我这个里面怎么会有个五十块钱的那个流量怎么包 但是它它这个就是说当月扣然后下个月返还是吧 提前返还然后那个是吧 
网上营业厅发现我九月份等于二呃移动数据套餐二十元他们这边觉得帮我查询一下我好像没用我好像没有购买什么移动套餐 明白了在五月份的时候是六月份的时候购买了一个好像六十元半但另外一个数据的嗯嗯 噢那那不是我就看我那个消费的我是看我那个消费的那个 
喂你好 他那个手机短信幺零零八六发了一个十五个那个什么帮我开通了一个什么移动魔百盒的那个什么新东方可以十二课堂那什么月保那个是怎么回事啊 对我我没有开通啊 
嗯嗯很高兴了 啊你好 呃呃我刚刚收到一条短信他说我办了个什么十点一元的是吧不是啊流量噢 
喂你好 诶那天那个有一个人是吗反正给我打一个电话要给我加什么一百三十八的我都打不到那么多谁今天给我乱加 对啊 
这个我的另外一个手机彩印怎么帮我改掉了 对啊 是啊我说那手机号码 
喂你好嗯请说我噢就是现在不是在学校吗还是那个办理的是四十八元套餐对吧噢然后他这边我刚刚去办理个宽带然后在上面显示做一四年办理一个十元两百条短信的套餐说是我是通过人工台打电话然后办理的我押金就没有办理过这个业务而且当初四十八元套餐的话里面不是包含两百条短信然后我去办理的话我也去询问过他说我没有办理过其他业务然后我今天那个人跟我说我有额外的业务 那现在他就是有开是这个意思吧对而且还开通了三年是我刚他刚刚查询到时候是一四年八月份就我还没有上大学的时候开通的如果是这样的话是四十八元套餐的话本身就包含它要先就没有跟我说有其他的业务所以我觉得就这个这三年多扣了三百多块钱我觉得我是不怎么用这个账的 对呀跟就没有因为我不怎么使用的新的人几乎没有什么可能再问一下你们幺零零有没办过 
你好我刚才接到个短信怎么给我他怎么说下个月给我登记的幺三八的了我本来是八十八的嘛 不要不要我跟你讲他前两天给我打电话他就说八十八的升没有说八十八变成幺三八的 对呀你你要如果说再加五十块钱就成交再加五十块钱了嘛是不是 
喂你好 哎我的那个手机里面最近 噢就是 
您好请讲喂你好我呃怎么里面有那个什么套餐费请您稍等啊我都还剩都没有申请诶 是不是那个什么套餐外上网我好像没有申请根本就没有扣钱了 没没有啊我九月六月对你的 
喂你好 刚开始我这张卡的好像是一天一g的流量现在怎么改成一个月三百兆的流量的呢三千兆的流量嘞 呃就是幺零零八六打过来的我们验证话费啊 
您好请讲诶我这个手机发的信息我不是只有开通了一个月八块钱的现在怎么多了好多东西 有就是那种彩铃了然后还有开郁闷什么东西好那我帮您看一下您稍等一下对你好嗯哼 都发了他昨天过来这个信息啊 
呃您好哎我我有一百兆那个省内流量这个是什么时候送的我都不知道 啊 可以可以一百兆的 
我什么时候办了三十八块钱的八套餐嗯刚刚 没有我没办法 取消掉 
喂你好嗯您好请说我的套餐里面怎么会有一个什么和教育那个那个那个那个套餐呢 帮我关掉那个自动给我开通了有手机可能每个月一次性十块钱的套餐费我也没开通 噢你帮我关了 
哎你好诶你好麻烦你帮我麻烦你帮我看一下这个我这上面怎么就那个那原来不是现在不是改成八十八块的套餐吗对它那个上面怎么还有什么看什么数据套餐三十块啊数据流量包啊 啊九月份啊 啊好账户对对 
喂你好我这手机怎么么就今天一下子七八条短信说帮我开通了什么东西咪咕什么 晚上我都没开通那个我开通了乱七八糟的一大堆 怎么手机号 
诶请问一下我我这个手机怎么么 不是啊我我按照你帮我查一下我的手机都开通了什么业务给我看 什么流量 
嗯 我问一下这部手机号是公司的噢我也不知道为什么有个五十块钱的那个套餐所以这个月欠费欠那么多 如果我把这个六十块五十七块四毛二全部交清嗯套餐全部给我改掉可以吗 
诶你好请问一下就是我这个号码怎么它自己会订购咪咕跟手机阅读这一个这两项能帮我取消吗 嗯 噢好的没有其他都没什么它它怎么会自动申请 
你好诶我发现我九月份的那个账单啊是二十多块钱啊里面有一个什么彩信啊我都没有订购这个东西了怎么又这样子的嘞 噢都取消掉是啊 对对对好这三个月一共这个账号是多少钱啊 
诶我手机怎么又开通了一个什么和教育的那个啊和教育的那个什么套餐 我又没订购为什么会会开通的 行啊 
喂你好我想问一下为什么我这个月的夜间流量怎么突然就没了 对 噢 
诶我请问一下我没有购那个三g的那这个流量的谁帮我弄的 你你这个三g流量我都没有去申办这个东西怎么给我搞个东西流量 要不然我不要办那个信息之前参与什么 
你好我想查询一下为什么我没有办理那个宽带业务怎么给我说提提醒的宽带业务五十二亿成功 对啊我没办呢 没有 
喂你好 诶跟我刚才收到一条短信他什么时候和教育那个 我都没开通怎么又什么时候有是我是弄了一条 
呃您好你帮我看一下我这里面怎么会有一个什么宽带包月龙融合的怎么要二十块钱啊 有办理啊但是这边什么什么怎么会显示什么扣费了二十块 嗯对 
你好 诶那个是这样的我刚才看一下我的上个月的九月份的一个账单嘛噢那其中的话有个二十块的一个什么移动数据费用可以然后这个这个我从来没有开通过因为我有其他流量我不用不完了 噢是这样我就是我好像从来没有开通过怎么会这样费用就是说它是有做活动二十块那就是我们参加了然后他出二十然后再我扣了是这样吗 
喂你好 很多乱七八糟东西啊我都没有办理过 呃反正好像还有个那个那个什么咕会员那是什么东西啊 
诶你好我想问一下那个我套餐里面怎么会有一个什么二零一六年怎么那个那个一百兆是什么请 噢那个是说我没收费对是的十月二十二号到时候就这个月用完它就取消了那个没关系噢好好 噢没事谢谢 
喂那个之前我跟另一个另一个号码共享流量它为什么发短信跟我说我已经取消了我没有取消啊 吧 没有就是他问我我才我才知道的我们两个都没有办 
喂你好哎我手机的彩铃怎么突然改成一个g的一个一千分钟的那个宣传的诶这个那彩铃怎么改啊 幺二五三零幺 呃它是集团网里面才有人牌子的那个集团里面 
喂你好我想问一下把这个号的机主的那个套餐流量另外开通的 它那个不用流量它那个老人家怎么不不知道啊什么流量呢先把它扣了那么多 那这样子吧你看这个没有那你干嘛我好像都有没办法停掉干嘛 
喂你好 诶我刚刚看了一条短信我怎么变更三十八套餐没现在啊我好像没有变更了 确定它自动换还是还是那个 
就是我发现我的手机上钱这两个月有一个了四g两g的一个七十元的套餐 那个那个那个好像我没有主动啊噢就是好像上次就是你们业务员打电话过来推荐然后我跟他说我不要这个业务怎么还是给我开了嗯 嗯赶紧帮我取消掉那个我没有答应要开了 
喂 喂您好嗯那个我这个手机有那个开通了怎么开通了好多什么咪咕啊那些套餐全部帮我删掉只留一个来电提醒的就可以了你帮我看一下 没有我你帮我看一下我刚才短信看了好像又开通了好几个什么彩信啊业务那些全部帮我关掉只有一个来电提醒的就可以了 
诶你好诶你帮我看下我这个彩铃呢是怎么回事啊 它是免费的是吧 哎呀你帮我做一个自动的那个关闭吧嗯好的请稍等一下还有呃还有一个名字再帮我看一下我现在那个包月的那个流量是是怎么回事啊 
哎你好我那诶我们这卡怎么有办一个什么咪咕音乐的套餐 对啊那我都没订制这个怎么突然会跑到这个出来 哎呃问题是我没有订制啊怎么可能还我现在已经每个月多收十块啊 
喂你好我想问一下就是今天它发了很多短信说我订了什么校园什么网络套餐我没有订啊不是什么 对对 什么校园宽带什么套 
喂你好请问一下啊呃我我这个二十八的套餐我怎么没没有经过我同意你现在这个上个月就给我搞到一百三的套餐 诶哼哼六 就是九月份那我这个账单就过来了九月份就是一百三的呢 
有开通那个什么家校互联集团功能费 嗯嗯卡嗯嗯 我我你这能帮我关闭了吗 
喂你好你帮我查一下我上个月怎么会有那个移动数据套餐四十元那 嗯嗯 恩你好 
啊你帮我查询一下我这里面有个什么显示什么呃什么视频我好像之前没有开通这个业务你帮我查一下 噢去年十一月份就开通了 这个月用是用什么用什么来来的 
刚才收到短信什么我有申请办理什么新的业务啊我都没办啊 我们办理呀本来就是这个这个业务啊 它现在就了我本来就三八套餐嘛现在就有什么不懂呢 
诶我就我我这个这个手机没有办流量怎么经常会有流流流量流失啊 部手机上装 我又关呀你们分钟 
喂你好我们一开我这张卡是包月还不是八元 八十八套餐 那是什么呃是什么三十八套餐我没有去天津 
麻烦你这查一下我这个本机什么时候改飞享三十八套餐我都不知道 那是是有那个外呼电话改的吗 嗯这个是老人机它没有用它是老人接听的他也不清楚 
是 你们怎么给我弄开通什么什么新飞信欠费欠费到什么精选 啊三十八我帮您去没没又没经过我同意怎么乱开通嘞 
幺五 喂 哎你好你帮我查一下本机号码以后那个开通彩印 
好好诶帮我我一个流量卡你帮我查一下怎么嗯那个幺五二 八零七 八零四 
呃您好那个你帮我查询一下就是我前天我又开通一个块钱的上网流量你看一下什么情况 对啊彩铃它发短信来我才用两百三十兆已经每天嗯因为它这个它这个是按天折算的话费用了啊 这已经已经扣我三十块钱的噢 
哎 喂那个你好我想问一下那个我我这个月那个话费为什么有一个宽带什么包月的 不是当时买卡不是说宽带公司的人吗 
喂你好请问一下我这个手机为什么没有办那个什么和教育的为什么吧显示说一个月扣二十块今天再见 好的哎 因为学校同意开通吗 
呃我这每个月扣了那个什么什么彩铃费啊那个啥信息费我都没开通它怎么乱扣钱 对 还有返了我知道它扣我钱进去 
诶 打电话我这个手机那个套餐这个事情你们怎么没有跟我们怎么说啊 我是八十八的套餐对你们怎么怎么打个电话怎么弄给我改那个一百三十八一百三十八的套餐我没用过一百三十八的套餐 
喂 没没好我我要投诉你们这个 我这个手机噢 
喂你好我不知道为什么手机突然多了一项宽带业务啊就是我自己明明没有办理 噢好 噢那可以帮我退订掉吗觉得也没有用过 
哦哦 啊喂你好他这个手机就没有申请扣呃那个三十八的套餐怎么 就是三十八的套餐 
诶你好 诶我想问一下这个手机呼叫等待是功能还是那个还是你们说六里面刚才功能呢 我都没有啊我都没有开通啊就是别人打我电话的时候怎么看不到就是会不会显示通话中 
你好我有一张卡是幺 呃然后我这个号码说在图为那个营业厅有办一个什么和什么套餐我本人就没有同意过为什么有这种套餐的块钱嘛那 密码我不知道但是办的时候 
喂你好诶我我想查询一下为什么我这个手机怎么自动升什么流量已经升到什么三十元每 对啊 这个 
诶你好诶我没有开通那个什么三十块钱五百兆流量的那个它怎么帮我开通那是发短信过来啦 是有一个电话向我推荐了但是我没有这样子 没有啊 
喂 呃我那个我的手机增值业务怎么那么多啊 噢都退掉加来电显示不要取消 
诶我这个这部手机什么叫你什么咪咕功能怎么怎么开通那个六块钱的那个干什么要我都没开通怎么有开通 那这个月不要我这边话费扣掉了还有三个月 呃所有的都不要我那个那个都不要 
诶你好我这个套餐是自动更改的吗噢您看之前有没有就是说有没有就是接到什么营销电话都是这样的就有一个一一个移动的电话然后发一条短信说这个改更改成什么二零一七的新飞享是吧三八套餐 噢就自动升级是吧 我没有回复它 
喂你好你好我刚才看那个短信那边说什么我的流量共享号码我没有流量共享过去为什么有一个流量共享号码 噢是别人添加我们工作人员是我用她的流量是吗还是 那我好像不认识这个人 
它自动给我换一个别的话我现在我身份证号码 我没开过 噢 
哎你好 呃我刚刚收到一个通知类的消息说我什么订一次了然后纷纷那个魔百和qq特长包月二十九块是怎么回事啊 那它这个是什么开十二课堂是什么意思啊我这都不清楚魔百盒是不是那个那个电电视机顶盒 
嗯 啊我想问一下那个手机动漫套餐是怎么回事啊噢我帮您看一下 对诶我帮您查一下对 
呃帮我查一下我这手机号码怎么我都没动什麽有什么什么咪咕音乐了什么来电提醒那都帮我看一下什么意思啊 呃总的保 还有还有别的什么套餐吗 
诶麻烦你帮我看下我本机怎么又开通一个幺二五八零的那个什么包月套餐费 这样子还有一个什么手机动漫包月费啊 我帮我把这两个关掉 
对啊我的那个手手机上怎么差变更掉了我又没办理这个业务 是谁帮我变更的 就是说你们移动自己把我这个套餐改掉了是吧 
啊 你好我想咨询一下为什么我这个手机我都没有开通什么咪咕音乐阅读什么的怎么我的话费老是被扣掉了 知道知道 
喂你好 我问一下我上个月怎么会有一个送一家什么动力加加油包这个什么意思 我以前不是叫你们取消了吗嗯 
您好很高兴为您服务诶我想问一下那个我上个月我原来的那个什么套餐是十八块的套餐怎么变成二十八块的套餐 石头剪刀布那个微信 
诶喂请问一下我这个怎么会有下午茶那个五百兆一块钱的流量呢 微信我没有我没有订购啊 我不知道应该不会吧 
喂你好 呃刚才我收到短信说给我改成那个什么七十九元套餐然后宽带的我没有申请啊昨天的时候打电话来我我没收到反正他就给我改了 接到那个呃我不知道什么电话他说那个移动的 
诶你们这个取消一下那个幺零那个我怎么有开通嗯是回头中心小时怎么和教育这个套餐是八块我们都不知道这个这种信息怎么你们怎么搞的怎么 噢 意思比如的话也不能退是不是没有经过我们同意你们也不知道是什么时候怎么就加进去 
诶请问一下那个我这个手机号码那个呃套餐里面怎么有三十元的流量套餐啊 噢不是我自己出的钱啊 
反正怎么这个怎么为什么我没有十二十四g流量安排开为什么给我扣钱的 对啊我们根本玩游戏玩那些看了一共根本没有去玩那些为什么给我回复嘞 你好可以那谢谢啊不客气应该 
诶您好我想就是咨询一下为什么这个嗯流量里面吗套餐为什么有一个共享流量啊这个可以退掉吗共享流量好我查一下 没有是吧那那这个可以退掉吗 服务密码是吗 
你好请问你们移动公司是来全部转成是什么乱兆人家手机开通这样开通这一条信息开通了一条 那个什么保障服务怎么一个月那个要十块钱我什么时候开通啊 是啊早上还有早上服务还有什么对换什么换手机拿去换好的手机要两百块钱锁手续会湖南是哪个时候叫你们开通啊 
你帮我查一下噢他没设置我看一下 什么东西 什么东西安装费 
嗯 喂你好 啊我现在就说我之前有办你们这个办了一张那个宽带的里面上网 
你好我这个手机每天都能收到幺二五八零那个生活播报是怎么回事啊噢就是一个订的业务 取消掉吧 密码忘了 
订掉什么 我不知道这前天我已经打个这个打个电话跟你们一个人工服务台来你能帮我关掉我这个有什么有移动公司提供的什么月所以我每天都在扣我的钱我没订这个业务怎么老是扣我的钱 我看了那个收费小时是吧对那你不是说做这样还可以帮我关掉这个业务没 
喂你好就是呃我我想查我昨天晚上登有什么软件然后然后他就自己给我开个什么彩铃服务我不知道哪个 就就现在这个手机号码 苏州了呢 
唉你好我问一下我刚刚有咨询过就是我这边有莫名其妙订了有什么增值服务什么和流言还是什么东西的一个五块钱的费用的吗 我我知道但是我查询一下没有任何的就是前面记录或者怎么样它是在这个是 就是当当月十七号给我充充一下再 
唉你好那个我想问一下我昨天收到一个短信凌晨一点多收到一个短信说我开通了什么随已经什么wifi什么业务啊我都没开通他怎么给我来这一条 然后别的活动了 那为什么他给我来一个这样一条短信呢 
我是那个幺五九零幺九二的机主啊对四零三二的机主昨天我电话来过了他说要我身份证号码报给他他说收看过什么订我从来没事跟我订它扣扣掉我那个 扣了很很多的费用他叫我身份证报给他在外地这个你知道的是吧 三幺零 
唉你好呃是这样子我刚刚收到一条短信吗说什么我那个什么成功充值十兆流量没有什么什么没有充过好像 送给你的因为好像我昨天看了一下怎么幺八九邮箱吧我一个就等于说这边对幺三九幺三九邮箱吧我就按照那个有人去了吗按我继续开通怎么一直送到了什么东西然后今天刚刚才收到短信说什么我什么程度进入兆流量请问这个是需要收费吗 不过我们这边扣费呀 
诶 唉你好小姐啊我刚才收到个短信有什么咕里阅读又是什么之类的我也什么通话怎么突然进来的 那那我觉得哪些电话开通的东西带一个我的话费月租是多少 
嗯 早上收到一个短信就是那个没有没开一个什么中奖怎么我 现在来一个短消息说我订购了什么五块钱一个月的 
唉你好嗯嗯哎我想问一下我什么时候我的手机在那个白天营业厅办理过业务 我手机收到短信它说什么再改成公司办理业务 那你发没收到幺零零八六我看一下 
唉你好嗯嗯就是呃中国移动有有短信来什么要帮我开通才因为我什么东西我不要 便宜的话它是啊您不要可以帮你取消它目前有一个活动是赠送我不要这个东西我结果我这短信回复回复个回复一条出错了两条回复的比较出来两个我不要这个东西 可以算在没订呀那你短信发发给我什么意思啦 
唉小姐我问一下我刚才接到那个短信说我那个集团的那个彩铃呀撤销了然后又帮我订了一个彩铃是这个怎么回事啊 唉他发那个短信给我我看到他们说什么用你的集团彩铃什么失效了然后后来又接到一个接到一个短信说是又帮我订了一个什么彩铃业务收费什么五块钱什么什么意思 呃后面是重新再帮我订购一个是吧那我不要 
到你们那个 就是早上我不是点了一个什么东西吗改了之后我没有挺确定他直接点击收费了而且还是收了好几次费超过之后它上面不是有一个上面不是有一个呃取消跟确认码我也没取消进行取消之后呀他应该还是有好多信息发过来身份证呢我还是没有去点击确定可是它这个费用是一样是扣了 就等于说那是需要五个工作日之内 
唉你好哎请问一下我的手机它怎么自动升级什么高清什么什么意思啊 新增的服务呃也不够会用的对吧 噢这个呃要不要链接 
那个呃我想问一下我的我那个手机那个人家打过来怎么有那个对方怎么又那个短信那个提怎么提示的 那那个自选那个短信 而且这些东西 
额你好 我我就是刚才收掉收到两条信息吗就是说我没我没订购那个业务嘛然后他就说旧金山来就是说我已成功定购那两个业务我我那个给你听那两个是什么 对本机号码 
额你好 我我就是刚才收掉收到两条信息吗就是说我没我没订购那个业务嘛然后他就说旧金山来就是说我已成功定购那两个业务我我那个给你听那两个是什么 对本机号码 
喂你好唉小姐你帮我查一下我的那个手机号码啊怎么刚才有人打电话来说我这个手机跟有一部手机怎么捆绑了什么骗人的吗也是你们嗯不需要幺零零八六的好像 那你帮我看一下我那个这个月等于说号怎么我那个呃那个这个手机都还是要打怎么这个月好像付了两次了几次你帮我查一下 怎么 
唉小姐我想问一下昨天来了个短信啊说我订了四g流量套餐但是我没有订啊 然后的话 噢原来是没有流量的现在送十兆是吧 
哎你好我想咨询一下就是我办了一个套餐吗 他收到个短信叫什么魔百通要不再收费二十元什么账户我显示它就是短信我是不是都有 宽带啊我什么时候我就是套餐打电话有流量我什么都不需要 
唉你好你好请讲对呃刚才我就是那个他现出呃就是跳出来一个账单我就下载了然后呢他就是说一个什么呃一个是软件吗然后他就是叫我发一个就是那个就是手机的那个什么吗就是说 啊对的他推荐立即就退掉了啊 啊我知道就 
我的流量这个月已经超了嘛刚才我上网查一下详单我我告诉你手机号码幺五零 幺零零四零零四八 嗯嗯 
呃我想问一下刚刚那个情况你们知道吗 八十八元套餐我是上个月还是上个月有一个人打电话跟我说要不要更改我说不用等了我说你把那个八十八套餐你给我取消掉 然后我就没有在意然后我就挂了就是到现在然后我今天我刚刚手机会停机了吗然后就打开看一下那个嗯移动营业厅那个软件吗打开一看怎么八十八元套餐还在扣费这是怎么个情况呢 
唉你好唉我这个号码就是给人家绑定微我这个是申呃去年才能办的号码那个之前好像是给人家绑定的那个什么那个微信的之类的呀那我这边取消掉怎么就取消了 之前我也不知道当时是因为我这个是前两天自己呃新办了那个当时他业务就是我办之前它是有给他们绑定过这个微信之类的 腾讯客服 
喂你好我这个这个电话号码怎么办理一个什么业务一个月二十分 一百是不是是什么一个月交二十块钱的行吗 那不是我现在我这个本机要换吗每个月生效五五十的什么每个月二十块钱 
喂请问一下 就是那个什么我那个副号是是十八十八元的套餐怎么你们发发信息要改了早上打电话的那个我没接 噢那反正是一个幺三九呃好像八六幺八六幺二零零八六的那个短信也不 
很高兴服务您好请讲您好请问一下我这个手机号码没有绑定银行卡为什么每个月它就这种吗话费扣了你帮我查一下 就用完了那这个手机号码绑定工商银行是吧但是我没绑定过来怎么会是显示上了呢 啊无法看 
您好很高兴为您服务你好就是刚才给我发信息怎么二百分钟的什么东西我的套餐不是了套餐呀怎么两百分钟的 就是说还要 帮助密码知道吧我就是新 
您好很高兴服务喂你好我的刚才手机上接到信息怎么怎么会有个什么高清通话什么意思啊 我不用查九啊 
就我刚刚收到两条短信说我订购那个彩铃这个东西是什么噢我没有订呀 是我这个客户端 那可以退掉吗 
唉你好我是这个一般四村十五号四零二的 但是呢我我刚才接到幺零零八六给我一个短信就是说是我这个宽带业务已经续约了但是寄情况是我没有学 呃我就是这个手机但是呢我是在去年年底呢我把这个房子已经出售了所以这个里边的宽带呢我就是原来订的一个这个预定的一个业务呢到我告诉你这个下面一个旁这个房子的这个就是收到这个购买的呢就告诉他了就是我们到期以后呢就让她自己办理前几天呢他们也来过电话要什么要我刚才他续约啊什么的但是我实际上没了那所以呢请你查一下是不是他们吗我们的名来续约那但是我这手机这件事情 
唉是这样我前面打个你们那个人工啊他让我转过来怎么呃有一个游戏啊他是旁边有一个就是取消键还有个大厦设置很少然后点的时候呢不小心点到下面然后就发个短消息来你可能是 它那个大他很小很小的设计的很小的么 哪哪个服务密码就我这个卡的六位密码或者名字身份证号报一下都呃名名字和身份证报给你好了市场报主机的还是报我的 
啊二十元 啊我怎么手机收到短信幺零零八六发个短信什么我手机办理了呼叫转移的功能我没有办啊 你帮我查查一下你呼叫转移 
唉你好我刚刚刚才我手机换的这边大概小孩子碰到了我那个手机上面怎么会多了那个叫什么呃咕有游戏一个费用乱七八糟的时候换了 就是一个小时之内回复的话是不是 还有别的等你等一下你给我看了它有有没有别的什么项这个费用在 
唉你好 我这手机上发过来怎么又又什么这套餐了什么我余额不要这个套餐呀 原来干嘛我我这个老的使用用不了用的什么套餐的呀我用不了的一分钱不要的有什么套餐呢 
唉小姐你好是这样的我那个我是用本机给你打的我昨天晚上九点以后一直到今天上午还在收到什么一个一个什么视频啊什么有线的服务扣了我九块钱我现在根本就没有安装过这个业务为什么之前打进来的 不是我没有申请过这个业务它一直打进来吧今天上午还可以用 那这个人给我删掉吧我没有申请过这个验证三个四 
呃我就是查了一下我的套喂听的太吗听得到你说我就是十八号的时候到那个上海台镇北路营业厅办理了一个测试嗯就是因为充话费送个手机后来我又参加了一个十元的套餐就是共享流量的这个的现在我查了一下这个就是我移动对对那个移动网网上营业厅查了一下怎么多了一个二十四元的套餐了 呃是营业厅帮我办那为什么又产生了二十四元的费用呢 噢那我这个正常的套餐就是应该是一个月六十八元的对吧 
哎你好我想我名下这个号码上面有一个宽带那个我本来今天需要稍等我一看怎么十二月一号就帮我自动续约 我不 就二月一号 
唉你好你帮我看一下我那个手机怎么会有一个我的那个一个开通的怎么会有一个什么什么自选的流量包然后他每个月好像都有的我好像没人过 噢那现在就是八月份肯定是已经留已经的话 那你就帮我下个月取消吧 
唉你好那个我想问一下我那个手机里面流量这个国内夜间流量是怎么出来的 对国内夜间流量我之前好像没有订过什么夜间流量还有什么咪咕视频定向流量这什么东西 噢噢噢对对对就是呃就是另一个人流量然后然后我的流量怎么上的 
唉你好我取消个问题啊我之前发现就是说那个有个就是流量提醒短信吗但是我的手机每天早上九点四十分就会自动发一个短信六六六六然后你就给我回复每天的这个流量提示因为是您通过手机的一个设置问题但是我的手机的时候是 你你可以给我按你们今天还得可以给我提示吗这里有什么地方会有这个我从来没有说这种设置啊每天每天都是 三十一分所以这边不要挂机啊 
噢那个你帮我查一下他我今天收到了一条信息嗯嗯说我临时关闭就是国际漫游但是我没有用已经联系过 不是我申请五天不就是无限量来延吉的呢 对对对对 
唉你好呀我想问一下我这个手机现在怎么老是出现一个什么和流言啊 人家打我电话老是什么语音信箱已经取消我也没弄过这种东西啊手手机上面那个时候不对对啊 
唉喂你好那个刚才我打电话咨询了一下那个流量加油包吗然后我没有订但是我这边短提示是已经已经给我订了一个什么十九块多的那个四百多兆的流量的加油包了是吗 吧不是刚才他打电话咨询然后我没有说要把机回去给我发了个短信或者不知道为什么 但是刚才就是我只是咨询一下嘛然后我也没有没有要办 
唉我刚刚申请的不是喂 我刚才之前也有 不是有个宽带业务的时候他们帮我先家庭家庭套餐 
喂你好我有个投诉一遍 呃我的我现在来电来电的号码上面有一个主号码你们公司给我强制退出的没有真的我的同意我没有那没有给我一个咨询全 对的我一个副号码因为我昨天想用了这样噢是在你们公司给城市那个取消了下我的呃家庭套餐里面 
啊我想问一下就是我的手机今天上网然后上上一次一批的话就会自动加起来就很奇怪的广告我想问一下这个该怎么去处理一下 不可能我从来没点过什么业务我都是一些学习的学pp 没有说要下载东西只是就是出一些广告什么就是卖东西的又是什么内容的什么乱七八糟 
唉你好我这个手机上昨天有一个信息呢大概什么游戏我没有下载呀扣掉十块钱 啊可以的我不要用 啊以后扣费的信息像这种发票它不会再有了 
喂你好我没有反应你这你帮我看一下我我的套餐好像是五十八块钱的意思怎么现在发信息是八十八元的套餐呢 二十四块什么时候 有空 
唉你好哎那个我是机主幺三七六幺二幺五六零 我是幺三七六幺二幺五六四 我们这里那个我手机那个经常会扣扣那个游戏啊什么那个这个自动扣费唉我这个手机呢已经呢就是那个点错了手机北京是没问题的他们说这里面呢移动的那个公司里面那个叫南 
小姐我没订那个那个充值什么免费流量我没订过什么 过了过了上个月呢 哦自动取消掉啦 
我靠您好很高兴为您服务我你们那个移动公司吗中国移动公司 我问一下我这个是月租十八的就是这怎么搞 月月租是我不知道了这走 
喂你好我想请问一下不用不用你们刚刚转成发了个信息说我每月有三个g那个视频流量我什么时候寄的这个 三十我就是这样一个月是三十兆这个是看视频是什么意思啊 嗯这个我不需要因为我现在现在我没有开啊怎么没好谢谢 
你好我想问一下那个我刚刚呃手机上有有一笔五十元的充值记录恩我也没通过这个方式是什么情况 嗯充五十块呃我在那个就是月头的时候买了一个手机吗不是要参加一个五十八元的一个移动套餐嘛嗯您在上面欠了多少兆这个 那这个五十元可有有可能是人家误充的这因为我们又很差对就是如果您没有朋友帮您充过的话就别人误充过这个返话费跟那个记录不要我这边查到天猫上充这个对对对对对因为上次我老婆充过他说他我说这次他没有通过 
