你好 我想咨询一下我这个本机说什么已经停机了它是不能打出去还是什么原因 
诶你好哎现在那个问题是今天还是按钮 你你们帮我查一下我我我现在还有两张卡是不是被移动公司收回去了我现在那个卡号码多少幺八八嗯嗯五零五零九九嗯嗯零八八六 
您好请说您好你本来现在报诶你好喂你好喂你好诶您好您请说你帮我查询一下我现在的手机的状态是欠费的状态吗 为什么信号十五块多呀 
喂你好呃我这边有个电话然后它这边显示空号你这边帮我查一下可以吗 嗯幺五二幺五二八零五三嗯幺二幺七噢 
嗯您好那个我想请问一下我这个手机号还有现在用吗 可是为什么会收到一个我今天早上收到一个建行信息他给我说我的银行卡绑定不绑定银行卡账户吗他说我的银行卡为我的建行卡被注销了什么帐号反正不是我的那个身份证然后他发了我的手机上可是那个验证码也发到我手机上了可是我没回可是它段也注销了什么幺五零八的手机账户这这是怎么回事啊然后我打电话给建行他说是之前可能是我手机之前用的可以用流量的然后没有没有注销掉是吗还是什么原因 
诶目前这个就就这这欠费停机了对不对 对欠费停机了对不对 
喂你好 呃我想请问一下帮我查询一下这个幺五八六一个号码 
哎你好因为我这个号码欠费了是吧 欠费多少钱啊 
对你帮我查一下这个号码是不是停机了 五九三零 
诶你好帮我查两个号码我看什么时候原因停机了 一个幺五幺 
哎你好我想帮我查一个手机号现在有没有什么问题 幺五二 
啊你好你给我查询那个啊我有几个卡你给我查一下卡的状态是什么样的 幺五幺零二幺七 
好像那个 呃密码知道吗 
您好很高兴为您服务小姐你啊你帮我看一下我这个号码可不可以用了 可以不行了是吧 
你好这边做一个手机实名认证的信息核对 这个是机主请问他的名字是叫亲情出吗 
唉你好 唉我刚刚打幺零零八六的时候他说我这个手机是什么没激活什么意思 
我公司宽带号码是什么情况 我那个我那个我公司的宽带号码是什么情况 
嗯幺三五 三幺零幺零六幺九五零零八二六零四幺三 
核实对吧手机号多少钱来幺五九零幺八六恩五幺二零机主姓名叫陈家零身份证号码是三二零六八幺幺九九零幺零六二二六嗯嗯 不客气 
喂你好唉我我有一个另外一个号码我什么东西也没用的我刚刚充钱充进去现在没反应你给我查一下好吧 幺五八零零 
您好请讲唉你好我我刚才接到短信了我主机幺三八二幺幺三九幺八八八八幺唉这个一个主机怎么停机流量停机啊你能帮我查一下吗 幺八八八 
麻烦你帮我查一下你看我说你朋友手机手机号实名登记了吧 幺八七 
唉你好请问那个我我那个七月份的账单我一直不知道刚刚上网卡我也是刚刚国外回来刚刚上网查了我欠了四百三十一块钱然后我交了他现在家里那个宽带能上网了吗 噢好的好的 
唉喂你好我想问一下我这张手机卡是四g的那个好吧设备号是这样的到吧 嗯密码我不知道 
你帮我查一下我这个到底三三g的还是四g的怎么现在我这手机上是享只有三g啊 你能不能帮我升级一下呢 
你好呃我这边上午这边我打过电话给那个人工客服这个生意回应那边 呃还要回复 
唉你好麻烦你帮我查一下我这个幺三六零幺九三九二幺六现在是停机了是吧 幺三六四幺九三九二幺六 
请问一下我这个电话号码有没有被实名制了我记得我当时当时办卡的时候是写过身份证号的为什么现在呃你就帮我确认一下吧 哦哦 
对 
呃我想问一下我这个为什么电话打出去它说我电话是欠费的 对 
喂你好呀唉我这个手机号现在就是是不是停机保号啊 呃能不能帮我开通一下 
哎我想问一下就是我现在打过来这个号码有没有使用算 呃您能帮我确认一下我这个手机号码有没有姓名提供的 
跟您核对一个手机号码的实名制登记的幺三五 六四七七 
啊手机号码是幺八二啊二幺四三二三七八 幺八二二二幺四三二三七八 
哎你好我想请问一下我的上海话费能呃能查到他有没有停机吗 幺五零零五九六零四幺好喂 
服务这一百 哎我想查询一下我这个手机现在呃使用的呢我说包月的开当月的但是我这个话费刚刚充进去它说我的工就是这这这个衰那个话话费里面套餐 
哎你好我想核实一下来电号码幺五二二幺五六幺零五六零做过实名登记 那就是姓名跟身份证号都核实不了吗 
呃您好很高兴为您服务唉您好我这个手机实名您说幺五二嗯嗯嗯嗯 二幺零八嗯嗯四幺零幺 
哎你好我想问一下查一下我这个手机号码是不是那个实名十米那个买那个本机吗或者唉对视 有登记过的是吧是实名登记的对吗好谢谢 
唉你好这边想跟您核实一个手机号码的实名是条 呃手机号是授权呃幺三九幺六四八幺六幺零 
喂你好我想激活一下这个手机卡 幺幺八四 
呃喂 就现在这个手机是因为我刚刚充一点什么但是我不确定现在已经恢复 
您好很高兴为您服务哎你好我想问一下本机号码是幺五八八幺七幺幺幺零三对吧 二幺七幺二 
喂你好我想问一下就是我我那个以前在上海用那个号码我想看问一下现在里面是能不能用了 呃幺三六八幺九六 
喂你好我想看一下这个手机号有没有实名验证 好的你稍等一下姓名是李艳然后身份证号是三四零八二二一九九二零七零三一一二一 
喂喂你你可以帮我查一下我家宽带吗还是现在是登陆上去是不是我充值没充够 宽带号码是我手机号码吧 
你好嗯嗯不行你帮我看一下就是我有一个号码幺三四八 八七零一三六七幺三六零对这个号码我我应该是你明天我们因为我自己的现在使用现在休息我又号九十没有用了哦那我现在是吧是显示是空号呢 
这样的 噢是这样子我现在人在外地呀那个我呃你帮我查一下一个手机号码是否正常 
清楚 喂你好噢是这样子我们家银行现在在银行用户要 
喂你好刚刚我这边你们这个移动来了一个电话来一个短信啊这样说我的手机没有实名登记啊 就是我们没有啊哎 
唉你好我有个那个号码然后前段时间不能打了不知道什么什么那个什么问题就是 结果我刚才是打了一下 
唉喂你好就是我想咨询一下就是我前之前在在上海办过这个这个号码是多少啊幺三先帮我查这个号码幺三七嗯六幺三五嗯八八三三 噢这个就是现在我想换一张就用四g卡吗之前好像这边办理业务办理办理过业务吗另外送我一个信用卡我不知道是不是这个是不是这个就是 
唉你好我姓谭我这个号码请问下微信有一个客户服务专员那我以前那个我打电话过去已经停机了我我现在是是还有客服专员呢 再见 
你好我想请问一下 唉我有个手机号码是你等一下吗嗯噢你帮我查一下一个手机幺三六零嗯嗯幺三六零幺九九幺嗯嗯七三幺 
唉你好我我我刚需求打个电话就是问一下那个就我老公他现在在这个套餐没有什么问题吧你说这个号码是吗对就这个号码 没有问题的正常的话还在吧对啊那因为刚刚之前他收到的信息是说没法取得什么所有的服务是不是明白这条信息是什么意 
很高兴为您服务喂你好你好我想唉你好你这边能查一下这张手机卡的那个四g网络的状态了我觉得他连不上 呃就现在这个卡幺三八幺八二三九三六这张卡 
没听到吗 呃我现在听到我说把我我说啥我刚才幺零零八六给我发个信息说我这个手机号码我的登记实名登记不完整对 
喂饱喂你好我想问一下我有一张卡对吧然后那个卡我刚才手机上多了很多长手机就那个都试了一下这卡的话是就是都在手机上可以读出来是三十中国移动但是他没有信号的就状态什么手机上都不行你帮我看下这张卡是状态是正常的 幺三五三三个零然后三零零九 
哦您好很高兴服务 你好麻烦你帮我查一个手机号我的 
唉你好 我这手机幺三四的你帮我查一下有没有出现什么问题 
哎我想问一下我刚刚这个数据移动数据关了一下现在没有没有网络 对上面没有显示因为 
喂唉喂你好我要查个实名制 对然后是三六九五幺 
嗯嗯 对 
你好我要核实一下本机号码的实名制 呃过屏蔽三六零四二七幺九九二零四零七二零幺 
我这个手机号码没有欠费的吗 喂 
对对谢谢 嗯有登记过的实名制的哦 
唉先生你好请问一下我这个是卡四g卡吗 我现在是上面一个套餐流量呢 
喂你好帮我这个号码 幺三九嗯嗯幺七九 
唉你好我看一下手机号码是实名登记是吗 幺三七零幺九零 
哎你好我想核实一个手机的实名制 呃幺五八零零六六 
服务唉你好我想咨询个问题交话费了然后现在停机后来我现在交了交好了已经是不是还是停机状态 本机 
哎你好我想问一下呃我这个是主号码但是我捆绑的那个副号码现在停机了是吧做 呃幺五幺五零幺零呃我等一下我看一下啊行 
唉我想请问一下就是我一个朋友的手机号码那个微信钱真的时候有密码可以等于现在跟的时候它就那个嗯手机号码过期是什么意思呀 哎真不就登不进去呀您密码不对嘛 
呃我我想问一下你们呃就是没有实名登记也好怎么样好你们最起码之前通知一下吗发一条短消息就停机了 不可能的这个老老人在用的就是我平时会会问他的它是老年人的身份证登记的我只登记的因为他上次去了这个你们这个是这样的服务比如手机就是因为他不知道了万一有什么事情噢你们说停机就停机了 
喂你好你麻烦你帮我看一下一个手机号码好的手机号码对我的手机号码是停机还是重新话费是吧好像每一个月没用了呀 嗯幺三九 
喂你好你帮我查一下我这个手机号码有没有做过实名制登记 刚刚 
你帮我看看我这个短信功能被关闭的吗 嗯嗯 
喂唉你好是这样我想问一下因为我除了这个号码以外另外还有一个号码就是那个幺五二九那个也是实名制因为现在好像是停机对吧这个号码呢我我如果想保留的话是不是还要往里面打钱呢 幺五二幺六八五二五七四 
你好我想查一下我一个手机的状态 幺三六六幺五幺 
我想查一下我这个手机刚才收到短信说怎么欠费了是吧 那我这流量不是呃本身就是套餐流量是一g送的本地流量一点还有夜间营业厅对那现在流量都用完了吗 
噢好的您把号码报给我女士 幺三五 
唉你好我查一下我这个手机是不是停机了 噢只能接不能打我问一下我这个费用是怎么产生了四百多块 
喂你好那天我换四g卡它给我退过来了吗现在我套餐 好知道了 
不用再联系 帮我看一个号码欠费了没有 
唉您好很高兴为您记录好吗嗯幺五零 零零幺八 
先生您好帮我查一个手机号幺三六 四幺八 
哎喂唉你好我想查个电话是不是实名制的 呃幺三九 
哎麻烦你帮我查一下我这个手机号码有异常吗 我收到一个幺三幺开头的电话说我手机号码 
对啊怎么回事啊 广发就前几天有一个就是同学说什么算一下 
帮我查一下我这个手机是停机了吗 哦欠多少 
唉你好那个我的手机前面他说欠费了然后我在微信里充了一百块钱但是这两天它那个话费打电话就是他那个停机了所以我想打过来看一下 那是等于说我现在充一百块钱不够的是吧 
喂你好 哎就是我想把我这个手机号看看的可以吗 
唉你好刚才我刚那个有一个手机幺五八的号码充值之后你们这边已经显示就是还是手机欠费啊然后我想就是我问一下可能我通过第三方支付的可能就是会延迟但一般的话你们这个恢复需要大概多久能够恢复使用这个号码 对是的 
喂你好我想查一下那个手机号码是不是实名认证的 呃幺三九 
噢 哎你好我想查一下这个呃一个客户手机号码是否为机主本人实名登记呃他的手机号码是幺三六二幺八八 
啊你好嗯是这样的我有时候嗯有个手机吧他他那个前一段时间停机了嗯然后后来又是因为没交费停机了然后后来嗯嗯昨天吧昨天还是前天才发现发现以后就马上充了值进去但是现在的状态不知道是怎么样的不知道充进去没有因为这个把手机的人在美国 它就停一段时间没充电就 
小姐你帮我查一下幺八二二幺七六三四三八这个手机正常吗 呃张佩兰 
唉你好我这边有一个那个三格的那个移动卡嘛pos机用的然后就是好像是被销户了吧你这边能帮我查一下吗 对的对的 
喂小姐你好你帮我看一下张这个号有没有实名制啊 那为什么app老是说我和教授就是老是说我没有实名制 
嗯那个我想查询一下就是有一个号码呃就是那个有没有实名制认证然后还有一个是欠费问题 呃那个手机号码我这边嗯你稍等一下啊提供身份证行不行 
呃我想核实一下本机实名制 姓名与跟没然后身份证号是三幺零幺零八幺九五七幺幺零四四二零是吗 
喂你好 那这边我想查询一下我自己办的一个移动号码还是在网站可以那行吧 
你好我想请问一下我一张上海的卡为什么被停机了 嗯幺五八 
您好很高兴为您服务唉你好能帮我查一下一个电话号的那个欠费情况吗只能看到状态 呃幺五九零幺七七三三八六这个号码密码知道吗呃知道 
喂你好查一个号码的实名制 零幺五二 
唉你好你帮我查一下一个号码是不是有效号码呀幺三五的 八五九六 
