啊啊那呃移动公司是有一个活动是文旁充话费流量的 然后是营业厅那边的 噢我昨天充的是呃不在我是那天赠送五百兆流量还没送过来你帮我这样办理一下吧 
噢我刚才打电话那个打你们幺零零八六过那个断了然后我是想问一下因为我呃你们那个幺零零八六前几天大概尽快一个星期了打我电话说问我什么微微g的那个手机一部然后要叫我用呃一百八十八的套餐然后还送我流量然后我我说可以呀他说要用两年嗯多吗二十八个月嗯两年半然后后来我我不是呃那个用了吗用了然后但是两次的都没给我一部手机里面预存吗 然然后嗯嗯他前几天刚刚那个通知我啊 啊没错没错 
吗 诶你好 我这手机刚刚订了一个那个六十块钱六g的流量包怎么现在还没不是说当天生效的吗怎么现在都还没有啊 
应该找起来喂 诶那个 就是你那个宽带费每个月收了六十块钱的时候返还我三十块钱可是我查这两个的记录都没有还 
额你好那个我前几天有什么里程区的什么那个营业厅给我打电话是给我电话的两千多积分换成的他说有人跟选择哪一种是二十五元的电子券一种是那个二十元的话费但是我跟他讲的是要换二十元的话费啊然后他怎么发来的短信是二十五元的电去了 嗯 嗯我记得我是跟他讲要话费的 
你好帮我看一下就是我刚才又添加两个成员有没有交成功啊 不是家庭网是那个 我知道关键是我这边有交了为什么这边显示状态没有没有加成功啊还是 
你 你好我那个这一部手机能过来能寄过来这么 对啊他说有异议还没寄没寄过来三个多月了 
喂 你姐请问一下噢刚刚有有有那个幺零零八六的客服跟我说那个订购怎么办理什么活动那个是赠送的还是还是还是就够了 那他跟我说是赠送啊 
请问一下我这个不是一个月要送话费吗怎么没我没找到那个谢谢 没有 哦那意思是这个月都没有返还四十对等于说您要现在这个月时间也没到啊 
就 是弄的那个一块钱预约下午茶流量为什么它体现是六块钱的 
呃您好我之前在微信上参加你们公众号的一个活动然后抽到了两张掉吗性格券那个没法用 对中国移动幺零零八六对吧 活动国际期间呢因为我手机上一个活动吗抽奖还是什么反正我也不太清楚因为我当时就随手充了两张充了两张线都没法用 
不要诶定将是不是啊就是我昨天收到一条短信他说我办理那个什么十块钱三g流量的那个什么再见 但是我不需要这个啊他说没有提前通知我呀 要不要收费要要要扣十块钱的呀 
呃您好是这样的噢我之前办了一个套餐是幺二八的套餐然后我到今年这个九月份九月份就到期了那我现在先不是已经十月份的吗那它怎么还还继续给我用那个幺幺八套餐我之前去那个人工台那边又又换了换成九九十的套餐 消费噢保底消费的所以跟套餐是不一样的不一样的对因为套餐是包含在保底消费里面 那就是说我现在要改套餐的话是可以是吗 
喂恩你好呃流量那个六十块钱六个g那种流量我怎么订不了那种 呃是不是说我随时都可以申请啊 元我是说这个月如果我不够用可不可以申请那个 
你好那个你上个礼拜就是说赠送欧泡手机到现在还没寄给我的 四号 哎可以可以谢谢啊 
诶喂您好我想问一下就是你们那个移动的公众号是有那个剪刀石头布的那个活动但是我从三月份开始参与的活动的时候的充值它都是失败的这两天我也是有两个充值失败的那你们这个需要怎么处理的 但是都没有领它每一个页面都给我发那个充值失败充值失败已经好多次了 
嗯嗯嗯 哎我今天在那个不用手机你那个听到专门做两g流量为什么还没到 福建手机营业厅 
就是我买那个六十块钱六个g的那怎么买不了 噢那有没有其他流量多的全国流量 几天过来没有了是吧 
喂你好 诶帮我查一下这个号码我我报给你一下啊 零五九幺 
啊我那个有一个那个送送手机那它怎么帮我弄了那个九十块钱的那个我的一个月交不了一下的啊他帮我要帮我取消掉 我不我不需要了那他骗我的我要投诉他 我手机他就叫我退还给他他叫我不要投诉给我退还给他我退还给他他还没帮我删除掉 
关机我那我那天接到一个电话了噢那叫我一号开这个什么三十八块套餐我我不想开可以吗 我知道了他说是下个月给我开他说也不打电话给我了那我我就说想一下我我就说我不想卡因为我家里签来电脑我不想弄 啊我现在我就按原先的原先怎么怎么样就怎么样的嘞我我我我不弄三十八块的嘞 
诶我想问一下我这个本机就是说保那个说我这部手机是送的手机 只要要要用吗几个月才能用 再见噢那如果说突然之间不用了那还是 
你好我想那个就是那个我手机那个欠费了嘛然后它那个返还那个话费的话还没帮我达到那个账上然后就直接给我停掉了 不是这部手机是另外一个是吗对对对然后我那个手机它刚刚我刚才已经打过电话他说我打这部手机我这部手机打不了了 密码就是不知道啊然后他叫我用这部手机打我这部手机现在打不了 
喂您好我想问一下就是前一阵子你们有打电话来跟我们讲说呃我这个手机号码可以送一部手机会给我们寄过来可是你们都没有寄给我们呢 微信吗喂 留点小生就是了我想这个手机什么东西过来啊 
诶你你们自己省外有什么那个充一些送六百那个话费或者是啊 对啊 那为什么又场外有人打电话说有这个活动 
喂 啊你看我那个做活动送话费手机他说二十五号为华为手机我也没要怎么那个他说他已经办理成功了怎么哎又不是取消了吗 我没有办理啊 
哇哎我昨天他不是你那个什么移动公司这边说什么要送什么手机给我我回来跟我老公商量呢他说你叫我保底八十块要三十六个月我想要不划算我就不要了什么以后再送来 啊我就是这个本机之内就跟原来不是七十九块套餐嘛它昨天有一个打电话给我说叫我再加一块钱钱不是送一家包括的手机我的我回来跟我老公商量一下他说要我用三十六个月我想来想去算了我觉得怕以后都不清楚营业厅那你就不要送来吗我取消掉 噢好那谢谢你啊我就怕麻烦你送到这边来再回去太麻烦了 
哎噢就说我那个在那个福建营业厅那边剪刀石头布为什么每次都没有充值成功啊那个流量 哎 啊我想问一下 
刚才那个有幺零零八六打电话过来说办那个五十元那个套餐呢 
哎你好我就是说本来想办送一部手机的然后现在你们给我办了一个什么套餐不能送了 他给我办什么三十八套餐送那个什么语音两百分钟的那个 对对对我要取消掉不然我手机都不能使用了好吗 
你好我这边看了一下有一个一百块的数据流量那是怎么 到下个月噢 这个月月底我怎么说呢怎么会有那个一百块钱 
喂你好我想请问一下就是那个在那个就是手机微信营业厅上面它不是有个六十块钱的那个充值六g的那个流量吗然后呃五显示它是没法充呃帮我查一下是什么情况吗 噢用完之后才可以开是吧噢好的先生那我知道 
诶你好哎昨天有一个电话他打电话讲给我办那个什么他改套餐的嗯嗯用你们那边的业务啊那我现在都还没收到短信说剩二十八套餐我现在二十八的套餐嘛是啊对他想改三十八的套餐 然后流量国内的有 对对是这个啊 
你好呃我那个手机那个本月的承诺消费期的活动啊那个每个月返还五十一块到现在还没进来怎么回事啊 没有我是这样他要求我我我用我那个手机卡在另外一个送的手机要要要要不要钱一次啊我今天我这个月我已经过三次了 上个月有线上上个月进来五十块钱的呀 
唉喂你好唉是这样子啊我上个月的流量不是就从两个g变成一个月的吗后来你们让我发个什么流量大狂欢这样的帮我发你给我说这个月给两个g的刚才我一查好像还是一个g吗 哦大听明白你什么意思就是我查查不到了 噢好就是在晚上十一点到第二天四四g的七点当中用的流量是它不会扣我就是本月流量会扣那个夜夜间流量对对对是您的 
哎你好我想我想要查询一下我的那个流量的一些东西我我这边的话我今天改了一个我的那个选套餐费用还是跟原来一样但是说是那个那个就是说开的那个流量原来是一g的现在定两g的你帮我看一下能看到吗 啊 没有送吗 
您好很高兴为您服务唉你好帮我看一下我那个话费的那个活动嗯嗯怎么还没送 卡帮我哦送六十八嗯那个什么时候上网了我都用wifi了 那种吗 
二十二十一号是那个账单呐转过来的情况是这样的是这两天有人跟我说什么送我一个无线路由器把我流量送到三七送一个无线路由器其实然后打电话给我说是让我装装宽带 我然后是然后我现在查询下来他这个小姐就是说我的流量也没有收到三g突然之前多了一个无线宽带我把这个取消掉叫他明天不要了 噢不是我你既然我不忘记了我还我还是什么呢我们进去的话说什么呢我肯定是不需要跟我说你们昨天你们今天早上打电话就能就是现在我也看不懂了上面打电话一样的 
唉你好你好我这个号码的有不是有一个宽带吗上个月它那个但是呢我看我办理的时候他在我们小区搞的一个活动是两百兆二十块钱一个月那现在我看账单是一千多还是按原来的那个没有这个优惠还了呗收到我不知道怎么回事我上午已经打过电话因为这个营业厅现在正好在超出所以我跑过去才能关或者 但是我现在又自己充了钱才开通的我们已经派过去了帮我看营业厅再续休息嘛然后我想今天去要把我手机停机宽带不能耽误很多钱我要我要我要出去订机票什么都要反馈到这手机号你们这手机我觉得要尽快处理一下 那个营业厅那个九月十三号到十月十三号一个月在装修我刚才过去了过程在装修没人 
呃我开通了一个就是说是幺幺幺那个流量包是一元团购的然后我看我参团成功了别人都已经好像流流量王要没有收到短信也没收到 屏蔽一下 呃到了其他两个人已经拿到流量他们短信也来了一共三三个人对吧 
唉喂你好就是我想问一下就是我上个月在那个书联系购买了个手机然后办了一个我的好像是那个十八个月前返话费的一个五十八块钱套餐然后它是每个月返还二十三块钱然后他这个月没有返还过来我想问一下这个是什么情况 当时那个卡是在另外一个手机上用的然后但是我换手机老卡换到这个手机上来了 大概只要 
喂你好呃喂请问一下就是我这个手机这张卡里面就是办两g送一g的那个邻居它送过来没有流量 啊麻烦了 嗯不好意思我没听清楚发送什么什么东西 
唉先生你好我想申请一下那个就是三十天是免费吗 嗯嗯我看一下单位地址告诉你们具体那个继续咨询吗gps我看先生 他这样子办了送我上上个月送我的就回复那个是怎么 
你好我要做一下机卡匹配的补返因为我上个月呃没没返钱给我这个月 账号啊 呃刚刚我这边忘记了 
唉喂唉你好你帮我查一下我的手机号码是幺八二二 幺九二幺 六五三 
喂你好就是那个我现在上个月的那个话费啊然后有一个二十四块的不是那个零元三十g看就是定向的那个视频的那个东西吗然后我发现上个月还是扣费了这个是什么时候返还 对 啊 
喂你好我想问一下因为我家以前办的是那个承诺消费送宽带的然后的就东方有线来装的那个时候说移动自己的每次呀就是装东方有线的然后我现在弄下来觉得慢然后他们移动说了过一段时间他们移动会反过来 四g的什么移动资源对一遍过来然后我看我们小区里他们说已经可以办了那我想我这个宽带能不能短信移动的那个对啊 对 
呃是这样的啊我之前接到那个你们移动的电话说有一个呃三十兆到年底有一个三十兆的一个流量的一个套餐 啊对对对不是可以免费的但是为什么我现在查我这个月的账单是有一个二十四块钱的那个这个费用 那我因为他说我那个这个月的那个叫费用反正就是他二十四号二十四块已经在上面了就到时候实际上是不需要的吗对但是我的那个我的话费总额是已经把这个数据加进去嘞 
唉你好我刚刚收到一条短信就是我那个手机不是呃下个月你们打电话来让我加四块钱那个叫什么来的增加五百兆流量吗嗯嗯呃现在他说我每个月让我交一百零八块钱那个话费到五号的时候他返还我十六块钱我刚刚短信上也收了收到了你们返还我十六块钱问题我到那个余额查询那个余额的时候你们只返了我八块钱 你看一下 对啊就是说呀我那个短信说的是呃退还十六块钱那你给我查询余额是收了八块钱 
唉你好是这样的我上个月就是参加了那个噢有一个呃宽带就是半价的那个优惠活动然后我当时是订的就是一年就九百六然后骨折的话就四百八然后当时就是你们告诉我知道在月初再我的手机费里面扣费就是说要求就是说四百八然后让我再就是怎么付了六百八就是到那个五号之前会把那个两百块钱退给我当时就是存了就是怎么话费是七百多块钱但是刚刚我收到一条短信说我欠费就你们对这我了解了 噢也就是说那基本上到噢你们今天可以处理完吗 噢也就是会把多扣的钱还给我 
唉喂你好我我之前就是预约的一个那个iphonexj七想问一下大概什么时候能到货呀 噢但是具体什么时候能 我们 喂你好不在那个九月份的时候接到的电话嘛然后他说那个说价值二十四块钱的任我看然后那个什么噢噢这视频app了然后我看到他就是九月份十月份就是还是点二十四块钱 嗯这个就是呃账单上看到的是然后是 噢他不会自己退掉是吧 
哎你好我想问一下因为昨天就是你们那个客户代表打打电话过来说我有一个就是就是一个免费的三十三十个g的视频流量 不是看那个通了吗 唉他不是说有送我三十个g的就是那个那个视频流量 麻烦你给我查一查我这个上海本地流量每个月送一个g的怎么还没到账呀 是呀我这个里面还有多少流量啊你给我查一查 噢 
唉喂你好我想问一下我这手机号码不是签那个返还话费的活动的嘛他现在好像几个月都没收到过 那行 上次去营业厅那个那个那个那个那个营业员帮我他说帮我改到另外一个手机上面的呀 
你好哎我想问一下本来不是说这个月流量加倍的吗我怎么显示没有欠费吗 换套餐那我打电话来了说我这个套餐可以改什么 噢那你帮我换这个套餐好密码知道吗知道了 
唉先生你好我想问一下就是说我现在一直收到一条消息说我那个前面手机四g流量还没有开这个月还没有产生过我记得我上两个星期产生过四g流量的 g的 对的消费是的 
你知道哇 噢对这个是呃我看到我就下载那个和包支付宝这个移机机上面好像没有显示这个活动什么 噢对我就上海的呀 
唉你好就是我公司名下有一个号码呗人工用的然后再员工离职了那欠欠了一个两年的协议啊就是最低消费加到那个宽带的我想问一下这个现在员工也不承认这个事啊我们要怎么弄呀 因为他当时说你们幺零零八六打电话给他是免费的他就说一百五十八最低套餐现在还要付一个一百零八的宽带费吗 是的呀所以现在我们就是说现在这个话费加宽带都因为是他个人名义办的现在是他人走了咯到公司名下了你能不能帮我解决掉呀 
你好我网上下单买手机的时候办的那个套餐说叫雁失败你帮我查一下什么原因吗 另外一个号 幺三七六幺四四 
关键人物 这个不送 唉我我我去年办的套套餐啊然后免费送的一个宽带然后今天去交费怎么已经开始帮我重重新再算了受理宽带对啊呃号码是幺三六七幺六八七四零嗯 
喂你好你好我问一下我上次办的套餐嗯是是是九八然后哦下个月欠费返还二十元但是我说我也没收到啊 嗯幺三六嗯三幺噢幺八八 六六八吗 
唉你好呃我是想问一下我前面呃上海移动那个app送了我一个生日的五佰兆的流量但是一直没有到账我六月五号的时候领过的六月五号的时候我也不知道 噢他就是说一天的时候用用这个五百兆是吧是的没错不是一直有的是吧噢好的我知道嗯嗯那还有什么可以帮您没有了没有了好的那感谢来电再见再见 
喂 听得见吗 你这边能帮我转一个处理就是把我这个问题就存在老是搞不好的 
唉先生侬好然后本来这四g反正这个这个这个这个大概四g四g的吗 呃我认为到wifi块零八返返十块钱的吗 呃现在怎么没有换没没扣我的这个账户里面了 
你好我想问一下我六月三十号通过那个和教授和教授那个和包支付就是随便没费那么就是你们六月三十号应该还有这个活动就是呃交那个手上吗搜狐水电煤费满二十元以上的话那个是会收到十块钱的和包电子券吗那我是昨天六月三十号交过的那怎么今天没有收到呢我就想问一下 噢因为我就是六月份我是六月三十号付的那等于是月底付的吗六月三十号月底说那你们一号应该给我的老师傅多 教授或者支付因为我前面那个人也讲了他又给我转接转转转转我真搞搞不懂这样我就是看看那个和包就是和教授登上去那个荷包通过和包付水电煤说呀超过二十块手段不是有什么十块钱电子券嘛那我记得我六月份是六月三十号付的那你能帮我查一下我六月份还有付公司的吗我都不大记得你们这边有记录给我查一下 
哎 好是这样的我我那个手机不是说发了一个消息给我说用到幺幺零八元就可以就是免费的这个宽带吗然后回复了以后你们客服来了个电话他说你已经用这个宽带的我说刚刚你们没有人联系过我你上面说有客服会联系我你们谁也没联系过我我这边根本就没有宽带什么叫我用宽带了 好的 
问一下唉我那个手机啊那个一个g送买那个流量有没有到账啊你帮我看一下 七点四十五分到账的是吧 好的唉第二件事情的话你帮我看一下就是说上次我投诉的就是说我这个呃上次你们那个打电话我问过你们那个就是呃那个一个服务人员那么他说他七十块钱扣板两个g的然后我就好你十块钱两个g然后ok他把我的七十块钱两个g那个给改那个这样提供一块五毛钱吗然后后来我使用以后他还让我上面去再去加钱我也不知道是怎么回事花了一百多块钱 
您好预处理专席代表很高兴为您服务你好是这样的我在你们营业厅办理的时候说我这个现在参加的这个活动就是跟我这个手机十六块的套餐没有影响的不变的 我这父辈主号是我我你应该看得电话呃我应该还有一个幺三呃幺三八的对吧 是幺三八统一付费的我这个手机的套餐还是应该是是原来十六块了十六块的 
再见 你好我想问一下我想办下一个月就是现在不是有一个活动吗叫随你翻还是这样 反正任我翻 
喂你好 你帮我查一下那个松江这边那个营业厅是哪一个 荣乐中路一次两号这边荣乐 
唉你好那个我有一个号码就是幺呃他那个我因为我看流量快不够了嘛它里面是那个全国流量和本地流量呃但是我已经购买流量加油包以后我发现那个流量加油包的流量只能先用了 送的东西其实就是最后用呢在都营业厅能不能调呀因为我这个号码为什么就这个 噢行吧那那行我明白了好谢谢啊 
在我这个本机上五月份参加你们怎么和送宽带它是啊我说有五百分积分动的到现在还没到账嘛五百 他就合同错了你要测试家里的这个呃这个宽带的这个这样有一个有一个测试啊有一个特殊的app的吗 短信也提示要我下载你们怎么合同这个它是怎么 
喂你好就是我刚刚呃给那个和包打过电话怎么走的问题他他他让我给你打电话说是反馈到后台去 呃咱们每个记录不是都有一个使用号码我把我的活动吗就是 三十二都都会返的然后 
唉你好我我有我有一个套餐 就是现在参加的一个套餐八十八块八然后每月只扣二十四十一返还二十因为之前这个是话费是三百分钟然后流量是一千七啊 没有我现在这个短信发过来我每就是原来是但是现在发过来的时候流量变成村去了然后电话两百 
你好我这边刚刚那个在那个手机营业厅里面办了一个充一百送改的那个港湾活动充值成功但是送的业务失败是什么情况 对对对对 噢好的 
喂小姐你好唉你好我是这个手机是我的我自己的手机号本机啊我想我上面上个月打过一个电话我我这个机器不是办了一个协议期吗协议期每个月返还的钱它说我每个月的流量上个月没有留所以这个钱没返还返还回来这个上个月那我已经使用过好几次了他说你到月初的时候再打个电话再来问一下这个我帮你查一下这个流量用的没有 哎平台这个东西它哎它这个上个月三十都没匹配 噢一十八月 
嗯 喂你好哎请问你工号是多少 幺零六五九是吧对我我是这样的我说我是在一月份的时候参加你们一个活动买手机返还话费这个活动然后手机现在出现质量问题了这里面钱开关钱他管还是后台管吗 
唉你好就是我这个月月底上个月月底不是变成六十八套餐我为什么我本地一个g的流量还没过来 对对对呀 你看一下 
啊啊是这样的就是那个谁打电话过来我想换套餐嗯嗯然后他给我说什么我我在五月份的时候有开一个什么最低消费一百五十八的一个消费嗯我现在不明白我我当初就是去换个套餐怎么没一个什么最低消费出来 对啊他就跟我说每个月消费二百 我现在是这样子的因为我跟我现在是两个人二然后呢我我平时流量用的啥我想找我这个套餐就兑换到最低档把他套餐换上来然后然后然后然后就扣不了他给我说你你你一百五十八最低消费就我跟你说你们移动就是跟我说已经叫搞这种事情上次也是这样子我不知道情况就跟我说什么 
那个你帮我转一下你们投诉的 办了个活动但是现在是不给退 四八 
好吧 对啊我我这个套餐吗我这个套餐唉呀就现在我刚才我之前在你们的客服说不能改什么的必须得用一年我想想弄一下呃换一个别的 还有办了我在只能在那个那个手机店里办了啊 
嗯嗯您好很高兴为您服务你好请问下我这个手机因为那就是每个月赠送八元话费他怎么老是不赠送呢 就是说每个月返还八元他怎么老是扣了一个六元的什么意思一个六元的一个两元的什么东西呀 哎哟知道吗 
哎你好我想问一下我不是以前不是买那个手机说买那个买的那个呃红米手机掉了现在是每个月是返还我的话费话费也不返还我的那个流量也不送了我想问问是怎么回事 嗯什么你说我喂你好就是我问一下就是我如果我现在我之前那个手机掉了 就说比如我现在我就去营业厅匹配的时候就是说之前的话费还会返回来吗 
哎我想咨询一下就是我不是用那个那个上海移动营业厅充值到时候九五折不是今天礼拜三有那个活动嘛那我充值为啥享受不了这个活动通过什么渠道充值呢 支付宝呀 工商银行 
嗯是这样的我不是刚订了这个新的这个套餐吗 这个套餐应该是套餐内两个g流量然后赠送我三个g流量但是我这边上上我那个叫什么就是掌上营业厅吗然后我发现我这顶上显示是八月一号七月底为什么会发个g 那也就是那三个g我可能用不了就用不了通用的话就是您就 
唉你好你好那个我嗯我那个手机是那个一百 月租一百零八了然后他说送三百兆流量怎么没送啊 对我我上个月是八十八的然后他说加二十块钱然后送三百兆流量 
唉喂你好就是我之前这个手机号啊就是有办宽带吗但是自动到期以后就续约没有任何的提醒然后我的信用卡因为是捆绑的所以就被划帐那我想问一下为什么还要就是我承担这个一个月的那个费用因为我并没有得到我的允许怎么可以随便确认我续了呢好的 大概东西因为你们说过是会发消息过来的但是我没有收到你把那个记录给我查出来如果查不出来就是你们的责任干嘛要我承担一个月的费用呢 看您这个最晚你们说是四十八小时之内但是昨天到今天已经过了二十四小时了吧还有就是说我到你们这里我想问一下你们宽带那个机器是需要退的吗嗯 
我想问一下啊我那个充话费送手机嘛然后这个月怎么还我还这些都是这种 唉那我这个上海移动 噢 
哎你好我想查一下我这个电话吗两个月已经没有没有收到啊前面那个给我一百一百五十八块钱那个钱呢 服务 不对啊因为我你们那里她给我买的时候就说了就半个月半年了我已经半年都已经八的有没有办过了 
您好很高兴为您服务呃你帮我查一下吧我这个号码为什么会有一百多块钱的宽带费用因为我不是我记得我那个都给我那个房子不是办那个承诺消费的吗对 为什么会有这个费用我问一下 一天三块五那你们没有任何人通知过我 
那是这样我手机上就是呃上个月在上个月呢买了一个就是承诺承诺的就是转那个话费的三十二块一个月我上个月呢他那个你那个账单来了以后呢我就去付掉了就这个三十二块钱没有扣那么这个月呢我看了一下是扣了那么上个月的三十二块怎么办呢 我怎么销掉了那么我 那我那也不能用 
唉你好是这样的那个呃我上个月已经去你们移动营业厅然后做了一个激活但是本月没有返还我返话费 对的 它没有返还完 
唉喂你好我刚看了我帮忙我参加了你们那个什么一百五十八的他返二十三的时候对知道然后我刚都没有了 那个二十三五号返还以后只能仅限于当月当月什么数什么流量什么只用四月作废那我这个月套餐已经用我已经买好了我这个当月还怎么用啊 我套餐外我没有费用了呀我平时不会超过套餐的呀而且你们现在帮我定了一百五十八的套餐我根本就用不掉的我还怎么可能会产生套餐外的费用啊你们当时你们当时跟我说的时候就是说会返二十三没说要当月使用当月当月儿对因为当月用的啊套餐大大还能用啊你们根本就没说次月要作废只不过是说返返返二十三元元呀返了你说可以抵扣下次那个月租费 
你好我办了一个这个两年这个宽带八百块钱然后说是确定要办理的话就是一个月之后就会返还两百那个话费我怎么没收到啊而且我这个手机号一直停机 两年八百八的是吧 什么呢 
唉你好你好我就是问一下我是我开通了一个定向就是看视频定向流量包你们这边跟我说到八月底都是免费的为什么每个月还扣我 对我知道手机欠费了我这个月已经扣了我一号已经扣了我一百六十总共消费了一百六我是想说我这个套餐我这个现在发现里面都有什么收费的 嗯百二十 
唉你好 我上个月办的那个套餐然后这个月昨天一号生效然后就是我收到一条短消息啊 对的我上次那个办事他跟我讲是因为我不想通话了然后他跟我讲是办的那个那个就是十八然后怎么是两g的什么流量对我昨天见我我昨天收到是你们这个是这样的国内夜间流量 
唉你好我这个手机呀他哎呀这个怎么怎么出来说了就时间有点长了呃我以前是这个我这个号它是长套餐的就是每个月返还二十二块钱话费的后来我手机听到换成这个还是换同样的手机我把那个手机串号报给你们啦报给你们以后呢 他把话费用转到两个月的就返给我了反正我以后呢这个七月份八月份的时候七月份他们返给我没反正我又给你们打电话它就是说把我的账号就帮我就重新绑定一下他说应该八月份返过来了但是到现在还没 
唉你好那个我现在这个手机号呢有一个绑定的业务就是说满一百三十八反而二十块钱但是因为现在我的东西恩公司有变动我现在不在上海这个手机号我就不想要这个业务但是当时呢这个业务的办理是通过呃中国移动给我打电话然后在电话当中确认返咱们这么多加了他那个目前是一百一十八套餐然后可以申请一百三十八套餐他那个这样的话每个月返二十块钱也就相当于一样的就是我现在大概意思然后我这边就同意但是当时他并没有跟我说呃可以他应该是跟我讲过说那个应该是不可以改但是他并没有说违约金之类的而且我现在这个状态确实是不需要就行了我 呃是是可以使用但是我订房使用了那这个是不是有一个解决途径吗嗯 啊好好 
喂唉你好唉我那个移动积分我积分商场里面买了一个东西然后你帮我推送过来目前它有延迟返还然后 它说退我那个积分吧 昨天昨天我看好像还没申请过了 
唉你好我之前上个月还是前个月参加了一个活动嘛但是就是呃承诺消费月消费达到八十八块钱然后我加了一百多块钱送了一个华为那个什么畅享其手机吗当时说的是每个月返回我话费的到现在没返 当时是你们发短信然后回短信然后他们那个他们快递送过来我直接欠那个什么东西他们带多少 啊签约 
喂你好我通过微信呢订了一个预定了一个wifi到现在没有消息 但是我了解现在我我定的电已经到货开始 我的客户经理呢我找不到他你帮我转给他 
哎你好我想问一下我之前办套餐的时候他跟我说过八九十好像都送三g流量吗好像这个这个月没送吗 噢那上面不显示的我之前上个月我一查都显示的嘛然后现在我要 呃您说什么 
啊您好我在说今天上看到一个爱疯八的活动我想参加但是它提醒我我这个号码不能 八幺六 那现在怎么操作呢主号码在我身上 
